Speaker,Title,text,pageNumbers
NA,Unknown,"21Wednesday, 14 September 2016 The SPEAKER (Hon. Tony Smith) took the chair at 09:30, made an acknowledgement of country and read prayers. NA Primary Industries Levies and Charges Collection Amendment Bill 2016 Returned from Senate Message received from the Senate returning the bill without amendment or request. NA Membership The SPEAKER (09:31): I have received messages from the Senate informing the House of the appointment of senators to certain joint committees. As the list of appointments is a lengthy one, I do not propose to read the list to the House. Details will be recorded in the Votes and Proceedings. NA Budget Savings (Omnibus) Bill 2016 Second Reading Consideration resumed of the motion: That this bill be now read a second time.",19
Mr BOWEN,BILLS," Australia needs budget repair, and it needs budget repair which is fair. That is what this bill will deliver after government amendments are moved which reflect the agreement between the Labor Party and the government. This bill will deliver $6.3 billion of savings to the budget bottom line over the next four years. Of course, originally the government said that it would deliver $6.5 billion, then it became $6.1 billion, then the member for Rankin found a little $107 million problem in the bill, which brought it below $6 billion; but the arrangements entered into by the government and the opposition, thanks to some stipulations put on this by the opposition, now see the savings delivered rise back to $6.3 billion. These savings reflect policies which have been aired in the recent federal election. I will not go through all the details, but I will just take one example: the Australian Renewable Energy Agency. The Labor Party took a very comprehensive renewable energy policy to the election. It was a very comprehensive and robust policy in relation to renewable energy targets and proper investments in renewable energy. We had the change to ARENA funding as part of that overall picture. The government has brought in the cut but not the good parts of the policy-not the renewable energy targets, not the investments. So it has been necessary for the opposition to work with the government to deliver the same savings but in a way which reflects the reality that this government is in office and will not be engaging in good renewable energy policies. This is the context for this debate. As I said, I understand that the government will move amendments which reflect the arrangements entered into by the government and us. They will reflect primarily changes to ARENA funding. The government was proposing a $1.3 billion  cut. We are very pleased that it has been agreed that $800 million will be put back into ARENA. ARENA is a very important organisation for our nation's future and for our investment in renewable energy. Australia can and should be a leader in renewable energy, and ARENA has a very important part to play in that. We know that the government has previously tried to abolish ARENA. This is a significant change, which sees $800 million put back into ARENA. Of course that is a reduction in funding, but, as ARENA has made clear, it enables it to continue with its job. It is the investment that it needs to continue with its job. In addition, a process has been agreed by which the Minister for the Environment and Energy will meet with the shadow minister for climate change, the member for Port Adelaide, to discuss the profile of remaining funds over the forward estimates and a forward work program, and also, importantly, to establish whether there are opportunities for bipartisan agreement surrounding policies to accelerate the transition to modern and clean energy systems. There are other points. Of course, the government and the opposition disagree about dental care in Australia. The previous Labor government put in place a very good scheme. We want to protect that scheme. It is a scheme which works. The government has a different approach. I am pleased that the government has withdrawn, through its amendments, the changes to the dental scheme. We have agreed that there will be discussions between the minister and the shadow minister to assess other ways of finding savings. The government reserves the right to pursue its scheme under separate legislation and we, of course, reserve the right to oppose that. We, of course, reserve the right to defend the existing scheme, although we have indicated we do think there are savings which might be possible. The psychiatric confinement measure, which the Labor Party had actually opposed previously, we will continue to oppose. I am glad the government has withdrawn that from the bill. Then there is the change to the clean energy supplement. This is in relation to the government's plan to remove the clean energy supplement for all new recipients of a whole range of payments. We have made a very sensible proposal to the government that the clean energy supplement be withdrawn for new recipients of income which is additional income, not primary income-family tax benefit recipients and holders of the senior health card-but that we protect and defend the clean energy supplement for recipients of Newstart, the age pension, the disability support pension and other payments. This is appropriate. This is budget repair which is fair. This is not saying to Australia's unemployed people and Australia's age pensioners, 'All the burden is on you;' this is saying, however, 'We recognise that budget repair requires difficult decisions.' That is why, in order to ensure that we get a saving better than the one proposed by the government, we have agreed to remove the family tax benefit A supplements for families with income more than $80,000. Importantly, I am very pleased that the government accepted and agreed to Labor's insistence that the baby bonus not come back. The baby bonus is unsustainable in modern Australia, where we are talking about budget repair. The previous Labor government took the difficult decision to deal with it. Remember, when we first said that the baby bonus would only apply to firstborn children, that the then shadow Treasurer, the holder of my office, said it was akin to the one-child policy. That was their constructive approach to budget repair. It was akin to China; he said, 'It's just like the one-child policy.' He compared us to the Chinese communist party. Well, we take a more constructive approach. We are happy to say to the  Australian people, 'There are difficult decisions which are necessary for budget repair, and the baby bonus is one of them.' The Prime Minister can put it into his deal with the National Party all he likes, but this deal takes it out, because Australia should not have a baby bonus-it cannot be afforded. Whereas we have made our agreement with the government public, the agreement between the Liberal and National parties remains secret. That is a matter for them, but we have made public our agreement in a very transparent way which says the baby bonus will not come back. I am going to be brief today in the interests of the expeditious passage of this legislation through the House so it can get to the other place in an expeditious fashion and allow them the time to pass it, but I do want to say that the Labor Party has led the debate on budget repair and today we lead the way as well. We led the debate when it comes to superannuation. We announced our superannuation policy last April. The government and the now Treasurer railed around the country saying it was an unfair attack on the retirement incomes of Australians. The now Treasurer said he would never tax superannuation; he would never touch superannuation. Of course, on budget night, up he hopped to that dispatch box and launched an attack on superannuation. We have been consistent on superannuation, and a couple of weeks ago the Leader of the Opposition outlined our plans on superannuation, which avoid retrospectivity and raise another $1½ billion for the budget, a more fiscally responsible plan than the one the Treasurer in office has. So we are prepared to help the government out of its mess on superannuation. And there is more that can be done. If the government deals with the VET FEE-HELP rorts, we will help it with that. The Leader of the Opposition announced our policy in his budget reply-a very good policy; a fiscally responsible policy which cracks down on the rorts. The government should take it up and the government should talk to us about expeditious passage through the parliament. Private health insurance rebates can be fixed as well. We announced our policy in the election. It can be done. If the government chooses to do what it did on this omnibus legislation, there is more that can be done. We can fix VET FEE-HELP; we can fix the private health insurance rebate-and we can fix superannuation, as well, and the mess that this government has created. So, just as we have led the debate, we have led the way. I do, in all seriousness, want to thank the Treasurer and the Minister for Finance for their engagement in this debate. I want to thank all my colleagues on this side, particularly the member for Rankin, the shadow minister for finance, who has been a very good contributor and a very good source of advice and counsel to me during this process, and the members for Ballarat, Jagajaga and Port Adelaide, who have also made very important contributions to a good result-here comes the member for Jagajaga to receive the accolades that are her due. I want to thank my colleagues for what has been a good process. I commend the legislation to the House and I commend its expeditious process through the House.",19
Ms PLIBERSEK,BILLS," I also rise to make some comments on the Budget Savings (Omnibus) Bill 2016. This is a piece of proposed legislation in our parliament, worked on across the government and the opposition, that has, indeed, led to a much better outcome than if we had accepted the government's original proposals in this omnibus bill. The fact that we have taken some time-some weeks-and worked constructively to find not just the savings that the government initially  proposed but larger savings than the savings that the government proposed shows that, with cooperation and constructive engagement, we can not only find measures to repair the budget but do it in a fairer way that is in line with Labor values. We know that it is important to find savings over time and to reduce spending. This government have added $100 billion to net debt. They have tripled the deficit. We are at risk of losing our AAA credit rating, which affects our ability to invest in the things that we care about in the future-in health, in education, in infrastructure and in all of the things that make our society and our economy stronger. I want to pay tribute to our shadow Treasurer, our current shadow finance spokesperson and our former shadow spokesperson-Chris Bowen, Jim Chalmers and Tony Burke-for the very disciplined and methodical way they have gone about finding savings here. But I want to spend a minute also talking about our spokesperson for family and community services, the member for Jagajaga, Jenny Macklin, who, during her time in government and in opposition, has had probably the biggest impact on social policy in this country of any person in the last century or this century, with the new programs she has constructed like the National Disability Insurance Scheme, the funding that she has found to support those programs and, most particularly, in recent weeks, the fact that she has managed to find savings that protect the poorest and most vulnerable people-those going onto Newstart, pensions, age pensions, disability payments and other allowances-to protect them from the cuts that this government proposed. These are people who are just making it now. The idea that we would actually cut support for these people in the future is a sign of how heartless this government is. I am proud to be a colleague of the member for Jagajaga and proud of the work that she has done methodically over many months to find a better, fairer package of savings. I also want to pay particular tribute to our health shadow, Catherine King, who has managed to fight off the attack on the Child Dental Benefits Schedule. This is an appalling policy from the government. The Minister for Health and Aged Care says that this is an under-utilised scheme. I would like to ask her: what advertising and promotion of this scheme has she ever done? It is like the secret scheme that the government does not want your children to find out about. The shadow health minister has done a fantastic job of ensuring that this is not included in our program. I just want to make a few very brief comments about the higher education measures in this omnibus bill. We did take some difficult decisions before the last election as part of our budget repair strategy. We did that in the context of Labor investing an extra $13 billion in higher education. We will always oppose $100,000 university degrees, we will always oppose deregulation of the university sector and we will continue to oppose the more than $3 billion of zombie measures that are still there from the 2014 budget because we believe a stronger and better-funded higher education sector is not just critical for our individual students but is absolutely critical for the wealth, the productivity, the economic strength and the growth of our nation. So we will continue to fight $100,000 degrees and we will continue to fight the cuts that are still there-the 20 per cent cuts that the government continues to propose which are left over from the 2014 budget. That is an important thing to remember. I want to finish by saying that as well as protecting the most vulnerable people in this omnibus bill, we have also protected something else that is fundamental to our values set, and  that is our commitment to reducing carbon pollution and reducing carbon emissions. Mark Butler, our shadow environment and energy spokesperson, should be proud of the fact that he is the man who saved ARENA.",21
Ms MACKLIN,BILLS," I am very pleased to be able to speak on the Budget Savings (Omnibus) Bill. I think it is true to say that our cautious and careful approach in looking at this bill has been justified. We have looked at all of the measures through the lens of our Labor values. I will not talk on all of the issues that are in the bill; I will just concentrate on those that have been most significant to me, particularly in making sure that we protect the most vulnerable Australians. We do have some very serious reservations with some of the measures that were proposed in the original bill. Most significantly, Labor does not support the abolition of the clean energy supplement that goes to pensioners, people with disability, carers, job seekers and many others. Labor also does not support cuts to people in psychiatric confinement. Others will talk about the scale of cuts to ARENA. After negotiations with the government-I want to particularly thank Chris Bowen and Jim Chalmers-we have reached an agreement to have these measures amended or in some cases removed from the bill that is currently before the parliament. My primary objective has been to protect the most vulnerable Australians, and I am very pleased to say that we have done so. We on the Labor side do believe in budget repair that is fair. We believe that the budget bottom line can be fixed without making cuts to the most vulnerable Australians. The task of fiscal repair must not fall on those who have the least to give. We support sensible reforms when they do align with Labor values, and cutting the energy supplement to pensioners, carers, people with disability and the unemployed does not align with Labor values. We certainly do not accept that these people-pensioners, people with disability and the unemployed-should be forced to accept cuts in the budget while the government gives $50 billion away in tax cuts to big business. Given the time, I will not go through the detailed history of the clean energy supplement. I will just emphasise the impact of this cut if it is ever to go through this parliament. It certainly will not go through with our support. The analysis shows that a single mother on Newstart would be $4.40 a week or $220 a year worse off. A pensioner couple would be around $8 a week or $550 a year worse off. It cannot be argued that it is fair to take $220 a year from someone who is unemployed, and it cannot be argued that it is fair to take $550 a year from an old age pensioner couple. The government has suggested that they may bring back the cuts to the energy supplement in a new bill. If they do, Labor will oppose it. We will protect these vulnerable people. I want to really emphasise that there is no more vulnerable group in Australia than those living on Newstart. We already indicated before the election that we believe the Newstart allowance is already too low. It is equivalent to just 28 per cent of the average wage, and as a consequence of the low rate of Newstart many recipients of unemployment benefits are living in poverty. That is nearly 800,000 Australians. So it is a large number of people living on a very low incomes and, of course, that very much goes to our decision to oppose any further cuts as proposed by the abolition of the clean energy supplement. We even have the Business Council of Australia saying that the rate of Newstart allowance for jobseekers no longer meets  a reasonable community standard of adequacy, and of course there are many others in the community who take the same view. Newstart is clearly not the safety net that it is supposed to be; it is neither keeping people out of poverty nor providing them with the financial resources they need to look for and find work, so cutting the energy supplement from Newstart would have made an already bad situation even worse. It is bad public policy, it threatens to entrench disadvantage and inequality in this country and it is something that the Australian Labor Party cannot support. We cannot accept that it is fair to cut a payment that is widely recognised as already being below the poverty line. Labor took a policy to the last election to review the adequacy of the Newstart allowance. We think that is the place the government should start, not to cut this already very low payment. The original omnibus bill also included a measure that Labor has opposed in the past and will continue to oppose. The government wants to take income support payments away from people in psychiatric confinement who are charged with a serious offence and who are undergoing a course of rehabilitation. This would apply to people who have been found to be suffering with very serious mental health issues like schizophrenia, bipolar disorder, intellectual disabilities, acquired brain injuries and so on. We do not believe the government's proposal is good policy and we are concerned that this cut would jeopardise the mental health support that people currently receive from state governments. We have opposed this in the past. I am pleased that it is going to be removed from this legislation, but the government should actually take this proposal out of the parliament altogether. Just to summarise, I do want to emphasise again that the difficult decisions that we have had to make to get to where we are today have really been led by Bill Shorten. He really has shown that Labor is taking an approach to fairness that is serious-that he is going to make sure that the most disadvantaged people in our country are protected. I want to thank him for his leadership. It is not easy to find the savings that we have. We understand that many families are doing it tough, but I do appreciate the way in which he, Chris Bowen and Jim Chalmers",23
The SPEAKER,BILLS,I would just ask the member for Jagajaga to refer to members by their correct titles.,24
Ms MACKLIN,BILLS,Sorry-all of those colleagues of mine,24
The SPEAKER,BILLS,"I know she is not trying to be difficult, but I am going to be pulling members up on this.",24
Ms MACKLIN,BILLS,That is fair enough. I am,24
The SPEAKER,BILLS,Bad habits are going to be eradicated!,24
Ms MACKLIN,BILLS,"It is not a bad habit, Mr Speaker; I was trying to be a bit more personal.",24
