text,line_type
Presentation of Papers  21 December 1990 REPRESENTATIVES 4893,pageBreak
,lineBreak
"Friday, 21 December 1990                                 Second Reading",both
                                                    Mr DUFFY (Holt-Attorney-General),secondColumnOnly
Mr SPEAKER (Hon. Leo McLeay) took               (9.01)-1 move:,both
"the chair at 9 a.m., and read prayers.",firstColumnOnly
                                                    That the Bill be now read a second time.,secondColumnOnly
PRESENTATION OF PAPERS,firstColumnOnly
Mr BEAZLEY (Swan-Leader of the                  The purpose of this Bill is to amend,both
"House)-Papers are tabled as listed in the         section 50, the mergers and acquisitions",both
"schedule circulated to honourable mem-            provision, of the Trade Practices Act to",both
bers. Details of the papers will be re-           overcome an omission which has become,both
"corded in Hansard and the Votes and               apparent in the coverage of the provision,",both
Proceedings.                                      and to make several other improvements.,both
The schedule read as follows-,firstColumnOnly
                                                    Section 50 prohibits acquisitions of,secondColumnOnly
Horticultural Policy Council-Annual Report      shares or assets which result in a corpo-,both
"1989-90-section 28 of the Horticultural Policy    ration either obtaining, or substantially",both
"Council Act 1988.                                 strengthening, a position of dominance in",both
                                                  a substantial market in Australia. In de-,secondColumnOnly
Australian Agricultural and Veterinary Chemi-   termining whether a position of domi-,both
cals Council-Annual Report 1989-90-section        nance or strengthened dominance would,both
"47 of the Agricultural and Veterinary Chemicals   result, the section permits the aggregation",both
Act 1988.                                         of market shares of companies that are,both
                                                  related to or associated with the acquiring,secondColumnOnly
Government Response to the Report of the        corporation. The section defines an asso-,both
National Committee on Violence.                   ciated body corporate in terms of one,both
                                                  body corporate being in a position to,secondColumnOnly
The Australian National Maritime Museum-        exert a substantial degree of influence over,both
Report on Activities for the year ending 30 June  another.,both
1990.,firstColumnOnly
                                                    I have in recent months discussed with,secondColumnOnly
National Legal Aid Advisory Committee-An-       the Chairman of the Trade Practices,both
"nual Report 1989-90-section 18 of the Com-        Commission, Professor Baxt, his concerns",both
monwealth Legal Aid Act 1977.                     that an aspect of the judgment in Trade,both
                                                  Practices Commission v Australian Iron,secondColumnOnly
National Legal Aid Representative Council-      and Steel and Ors-the New Zealand Steel,both
Annual Report 1989-90-section 18 of the Com-      case-disclosed a deficiency in the merger,both
"monwealth Legal Aid Act 1977.                     provision. The case itself was settled, but",both
                                                  in the course of a judgment on some as-,secondColumnOnly
"Legal Aid and the Australian Community-a        pects of the case, the court expressed its",both
report by the National Legal-Aid Advisory Com-    views on the meaning of the words 'di-,both
mittee.                                           rectly or indirectly' in subsection 50 (1).,both
                                                  This.subsection prohibits a corporation,secondColumnOnly
Government Response to a Report by the          from directly or indirectly acquiring shares,both
National Legal Aid Advisory Committee-Legal       or assets in a body corporate if a position,both
Aid and the Australian Community.                 of dominance would result.,both
,lineBreak
National Capital Planning Authority-National      The Court interpreted the word 'indi-,both
Capital Plan-December 1990                        rectly' as applying only to a situation,both
                                                  where an acquisition was made by an-,secondColumnOnly
-Report                                      other entity as agent for the corporation.,both
-Appendices                                  In other words it would not be an indirect,both
-section 22 of the Australian Capital Ter-   acquisition by the corporation where a,both
ritory (Planning and Land Management) Act    subsidiary or associated company ac-,both
1988.                                        quired assets or shares in a target com-,both
Annual Statement on the Aid Program 1990-       pany in circumstances where it could not,both
"Minister for Foreign Affairs and Trade, Senator   be said it was acting as agent for its con-",both
the Hon Gareth Evans QC.                          trolling company. Accepting this interpre-,both
"Department of Defence-Schedule of Special       tation, the question then is what action,",both
Purpose Flights-l January 1990-30 June 1990.,firstColumnOnly
,lineBreak
TRADE PRACTICES AMENDMENT,firstColumnOnly
BILL 1990,firstColumnOnly
,lineBreak
"Bill presented by Mr Duffy, and read a",firstColumnOnly
first time.,firstColumnOnly
"4894 REPRESENTATIVES 21 December 1990 Australian Embassy, Indonesia",pageBreak
,lineBreak
"if any, could be taken under section 50 to     CONSTRUCTION OF AUSTRALIAN",both
"prevent an acquisition which might be          EMBASSY COMPLEX IN JAKARTA,",both
structured through a subsidiary or an as-,firstColumnOnly
sociated company. Where the subsidiary                          INDONESIA,both
or associated acquiring company is itself       Reference to Public Works Committee,both
"a trading, financial or foreign corporation,    Mr BEDDALL (Rankin-Minister for",both
"action can be taken directly against it,      Small Business and Customs) (9.05)-1",both
with the market positions of all associated   move:,both
"and related companies, including the",firstColumnOnly
"holding or controlling company, taken into      That, in accordance with the provisions of the",both
"account in determining dominance. How-        Public Works Committee Act 1969, the following",both
ever where the acquisition is by a body       proposed work be referred to the Parliamentary,both
"corporate that is not a corporation action    Standing Committee on Public Works, for consid-",both
cannot be taken against it using the aggre-   eration and report: Construction of an Australian,both
"gation provisions. The insertion of the       Embassy complex in Jakarta, Indonesia.",both
new section 50 (1AA) will plug this gap.,firstColumnOnly
The proposal to be referred to the Com-,both
The Government is taking the oppor-         mittee is for the construction of a per-,both
tunity to put forward some other amend-       manent chancery to replace the present,both
ments to the section to improve its           inadequate chancery and recreation facil-,both
internal consistency. An infringement         ities. The construction will be on the,both
takes place where as a result of an acqui-    recently acquired site at Jalan Rasuna Said,both
sition the relevant acquirer would be or      in the Jakarta central business district.,both
would be likely to be in a position of        The site is in a prestige area close to a,both
dominance or strengthened dominance.          number of other diplomatic missions and,both
However the concept of likely effect is not   Indonesian Government departments.,both
consistently applied in the section and the,firstColumnOnly
amendments will remedy this. Also the           The present five-storey chancery build-,both
section is not consistent in its reference    ing at Jalan Thamrin was opened on Aus-,both
to associated companies and again the         tralia Day 1967. The services in the,both
Bill addresses this.                          building are reaching the end of their,both
economic life. A large shopping and hotel,both
The Government believes these amend-        complex has recently been constructed be-,both
ments are desirable to ensure that Austra-    side and behind the chancery such that,both
lian competition law as embodied in the       our grounds and building are overlooked,both
Trade Practices Act continues to be effec-    by the new development.,both
"tive, and that any window of opportunity",firstColumnOnly
available to exploit any weakness in the        The growth of Australia's relationship,both
Act is firmly closed. The Bill is expressed   with Indonesia has resulted in a substan-,both
