year,countByYear
1901,113
1902,106
1903,78
1904,122
1905,90
1906,70
1907,97
1908,92
1909,97
1910,83
1911,61
1912,105
1913,74
1914,61
1915,72
1916,32
1917,52
1918,87
1919,51
1920,113
1921,92
1922,53
1923,52
1924,83
1925,36
1926,84
1927,59
1928,62
1929,54
1930,98
1931,94
1932,73
1933,67
1934,36
1935,54
1936,71
1937,29
1938,66
1939,51
1940,43
1941,50
1942,44
1943,48
1944,57
1945,90
1946,65
1947,92
1948,89
1949,80
1950,83
1951,55
1952,74
1953,61
1954,48
1955,53
1956,79
1957,63
1958,48
1959,71
1960,74
1961,55
1962,66
1963,53
1964,65
1965,76
1966,55
1967,62
1968,67
1969,51
1970,73
1971,74
1972,60
1973,81
1974,64
1975,69
1976,79
1977,68
1978,75
1979,68
1980,51
1981,62
1982,53
1983,49
1984,52
1985,64
1986,79
1987,74
1988,65
1989,59
1990,38
1991,66
1992,59
1993,47
1994,69
1995,71
1996,60
1997,79
1998,56
1999,73
2000,71
2001,56
2002,68
2003,74
2004,58
2005,67
2006,68
2007,50
2008,69
2009,68
2010,55
2011,64
2012,63
2013,48
2014,76
2015,75
2016,51
2017,64
