original; corrected
iinportant; important
anned services; armed services
freeflowing; free-flowing
specif- ic; specific
rea- sonable; reasonable
bUilding; building
fonner; former
rightsour; rights our
retumed; returned
Peter CosteUo; Peter Costello
Leaderwe; Leader we
Spprt; Sport
thirtyeighth; thirty-eighth
selffunded; self-funded
govemment; government
im- prove; improve
GovemorGeneral; Governor General
impossi- ble; impossible
MurrayDarling; Murray-Darling
BawLa; Baw La
fibreto; fibre to
1 9 8 1; 1981
1 98 1; 1981
A djournment; Adjournment
A mendment; Amendment
A ustralian; Australian
A'ustralian; Australian
a.ny; any
abat toirs; abattoirs
abol ition; abolition
Abor iginal; Aboriginal
absolutelyclear; absolutely clear
abun dantly; abundantly
ac cording; according
ac tivity; activity
accept ance; acceptance
action,I; action, I
action.The; action. The
ad ditional; additional
ad journed; adjourned
additionthey; addition they
adjourn ment; adjournment
adjust ing; adjusting
Adminis tration; Administration
adminis tration; administration
Adminis trative; Administrative
Administrat ive; Administrative
administrat ive; administrative
administrativeability; administrative ability
Adrriinistration; Administration
advan tage; advantage
adver tising; advertising
affort; afford
afterclause; after clause
ag gressive; aggressive
againstthat; against that
agesfor; ages for
agree ment; agreement
agree ments; agreements
air line; airline
al liance; alliance
al lowance; allowance
al lowances; allowances
al lowed; allowed
alle gations; allegations
allo cation; allocation
altogetheremployment; altogether employment
amend ment; amendment
amend ments; amendments
amquite; am quite
an nouncing; announcing
andinformation; and information
andlesstotheresponsibleMinister,With; and less to the responsible Minister, With
andperhaps; and perhaps
anotherone; another one
Answers t o Questions; Answers to Questions
anti inflationary; anti-inflationary
anyf urther; any further
ap plied; applied
ap plying; applying
ap preciate; appreciate
ap prentices; apprentices
ap proach; approach
ap proval; approval
Apartcfrom; Apart from
appliedsince; applied since
appreci ate; appreciate
appren tices; apprentices
Ar bitration; Arbitration
ar guable; arguable
ar guing; arguing
ar gument; argument
ar rangement; arrangement
architec tural; architectural
arepayingto; are paying to
argu ment; argument
argu ments; arguments
arrange ment; arrangement
artifical; artificial
as sertion; assertion
as sisted; assisted
As sociation; Association
as surance; assurance
asa; as a
ass.essors; assessors
asses sed; assessed
assesors; assessors
Assess ment; Assessment
assess ment; assessment
assist ance; assistance
Assistan t; Assistant
Associ ation; Association
assump tion; assumption
astart; a start
at mosphere; atmosphere
atmos phere; atmosphere
atten tion; attention
atti tudes; attitudes
Attorney-Gerreral; Attorney-General
AuditorsGeneral; Auditors General
Aus tralians; Australians
Aus- . tralian; Australian
AustralianCapital; Australian Capital
authori ties; authorities
Autralians; Australians
av erage; average
avail able; available
availab,le; available
aver age; average
avoid ance; avoidance
b e; be
B elgium; Belgium
B udget; Budget
b y; by
Bar rier; Barrier
base ment; basement
be came known; became known
be cause; because
be come a; become a
be comes infinitely; becomes infinitely
be fore; before
be hind; behind
be lieve; believe
be lieved; believed
be nighted; benighted
be tter; better
be tween; between
Be1connen; Belconnen
beadvisable; be advisable
beauti ful; beautiful
bedone; be done
BeefIndustry; Beef Industry
beingasked; being asked
BennelongTreasurer; Bennelong Treasurer
beomitted; be omitted
bet ter; better
bilrden; burden
biol ogists; biologists
birthright; birth right
bleed ing; bleeding
Bourkestreet; Bourke street
Braith waite; Braithwaite
broadbased; broad based
Bu reau; Bureau
