uniqueID,DELETE_UseName,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,division,state,DELETE_electionDate,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
abbotttony1994,Tony,Abbott,Anthony John,,Tony,,Warringah,NSW,26.3.1994,1994-3-26,26,3,1994,Yes,,,,,,,
abbottcharles1925,Charles,Abbott,Charles Lydiard Aubrey,,,,Gwydir,NSW,14.11.1925,1925-11-14,14,11,1925,No,Defeated,,1929-10-12,1929,10,12,
,,,,,,,Gwydir,NSW,19.12.1931,1931-12-19,19,12,1931,No,Resigned,,1937-3-28,1937,3,28,
abbottjoseph1940,Joseph,Abbott,Joseph Palmer,,,,New England,NSW,21.9.1940,1940-9-21,21,9,1940,No,Retired,,1949-10-31,1949,10,31,
abbottpercy1913,Percy,Abbott,Percy Phipps,,,,New England,NSW,31.5.1913,1913-5-31,31,5,1913,No,Retired,,1919-11-3,1919,11,3,
abeljohn1975,John,Abel,John Arthur,,,,Evans,NSW,13.12.1975,1975-12-13,13,12,1975,No,Retired,,1977-11-10,1977,11,10,
adamsdick1993,Dick,Adams,Dick Godfrey Harry,,,,Lyons,TAS,13.3.1993,1993-3-13,13,3,1993,No,Defeated,,2013-9-7,2013,9,7,
adermannevan1972,Evan,Adermann,Albert Evan,,Evan,,Fisher,QLD,2.12.1972,1972-12-2,2,12,1972,No,Until elected for Fairfax ,1,1984-12-1,1984,12,1,
,,,,,,,Fairfax,QLD,1.12.1984,1984-12-1,1,12,1984,No,Retired,,1990-2-19,1990,2,19,
adermanncharles1943,Charles,Adermann,Charles Frederick,,,Later Sir Charles,Maranoa,QLD,21.8.1943,1943-8-21,21,8,1943,No,Until elected for Fisher ,1,1949-12-10,1949,12,10,
,,,,,,,Fisher,QLD,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1972-11-2,1972,11,2,
aherncornelius1913,Cornelius,Ahern,Cornelius Joseph,,,,Indi,VIC,31.5.1913,1913-5-31,31,5,1913,No,Defeated,,1914-9-5,1914,9,5,
albaneseanthony1996,Anthony,Albanese,Anthony Norman,,,,Grayndler,NSW,2.3.1996,1996-3-2,2,3,1996,No,,,,,,,
aldredken1975,Ken,Aldred,Kenneth James,,Ken,,Henty,VIC,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1980-10-18,1980,10,18,
,,,,,,,Bruce,VIC,28.5.1983,1983-5-28,28,5,1983,Yes,Until elected for Deakin ,1,1990-3-24,1990,3,24,
,,,,,,,Deakin,VIC,24.3.1990,1990-3-24,24,3,1990,No,Retired,,1996-1-29,1996,1,29,
alexanderjohn2010,John,Alexander,John Gilbert,,,,Bennelong,NSW,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
allanarchibald1953,Archibald,Allan,Archibald Ian,,,,Gwydir,NSW,19.12.1953,1953-12-19,19,12,1953,Yes,Resigned,,1969-4-30,1969,4,30,
alyanne2016,Anne,Aly,Anne,,,,Cowan,WA,2.7.2016,2016-7-2,2,7,2016,No,,,,,,,
andersoncharles1949,Charles,Anderson,Charles Groves Wright,,,,Hume,NSW,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1951-4-28,1951,4,28,
,,,,,,,Hume,NSW,10.12.1955,1955-12-10,10,12,1955,No,Defeated,,1961-12-9,1961,12,9,
andersongordon1949,Gordon,Anderson,Gordon,,,,Kingsford-Smith,NSW,10.12.1949,1949-12-10,10,12,1949,No,Retired,,1955-11-4,1955,11,4,Same as Kingsford Smith - name was changed in 2001
andersonjohn1989,John,Anderson,John Duncan,,,,Gwydir,NSW,15.4.1989,1989-4-15,15,4,1989,Yes,Retired,,2007-10-17,2007,10,17,
andrenpeter1996,Peter,Andren,Peter James,,,,Calare,NSW,2.3.1996,1996-3-2,2,3,1996,No,Retired,,2007-10-17,2007,10,17,
andrewjohn1983,John,Andrew,John Neil,,,,Wakefield,SA,5.3.1983,1983-3-5,5,3,1983,No,Retired,,2004-8-31,2004,8,31,
andrewskaren2010,Karen,Andrews,Karen Lesley,,,,McPherson,QLD,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
andrewskevin1991,Kevin,Andrews,Kevin James,,,,Menzies,VIC,11.5.1991,1991-5-11,11,5,1991,Yes,,,,,,,
andrewsthomas1949,Thomas,Andrews,Thomas William,,,,Darebin,VIC,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1955-12-10,1955,12,10,
ansteyfrank1910,Frank,Anstey,Frank,,,,Bourke,VIC,13.4.1910,1910-4-13,13,4,1910,No,Retired,,1934-8-7,1934,8,7,
anthonyhubert1937,Hubert,Anthony,Hubert Lawrence,,,,Richmond,NSW,23.10.1937,1937-10-23,23,10,1937,No,Died,,1957-7-12,1957,7,12,
anthonydoug1957,Doug,Anthony,John Douglas,,Doug,,Richmond,NSW,14.9.1957,1957-9-14,14,9,1957,Yes,Resigned,,1984-1-18,1984,1,18,
anthonylawrence1996,Lawrence,Anthony,Lawrence James,,,,Richmond,NSW,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,2004-10-9,2004,10,9,
archeredward1906,Edward,Archer,Edward Walker,,,,Capricornia,QLD,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1910-4-13,1910,4,13,
archibaldwilliam1910,William,Archibald,William Oliver,,,,Hindmarsh,SA,13.4.1910,1910-4-13,13,4,1910,No,Defeated,,1919-12-13,1919,12,13,
armitagejohn1961,John,Armitage,John Lindsay,,,,Mitchell,NSW,9.12.1961,1961-12-9,9,12,1961,No,Defeated,,1963-11-30,1963,11,30,
,,,,,,,Chifley,NSW,25.10.1969,1969-10-25,25,10,1969,No,Retired,,1983-2-4,1983,2,4,
armstrongadam1965,Adam,Armstrong,Adam Alexander,,,,Riverina,NSW,27.2.1965,1965-2-27,27,2,1965,Yes,Defeated,,1969-10-25,1969,10,25,
arthurjohn1913,John,Arthur,John Andrew,,,,Bendigo,VIC,31.5.1913,1913-5-31,31,5,1913,No,Died,,1914-12-9,1914,12,9,
arthurwilliam1966,William,Arthur,William Tevlin,,,,Barton,NSW,26.11.1966,1966-11-26,26,11,1966,No,Defeated,,1969-10-25,1969,10,25,
ashleybrownalfred1972,Alfred,Ashley-Brown,Alfred,,,,Mitchell,NSW,2.12.1972,1972-12-2,2,12,1972,No,Defeated,,1974-5-18,1974,5,18,
astonwilliam1955,William,Aston,William John,,,Later Sir William,Phillip,NSW,10.12.1955,1955-12-10,10,12,1955,No,Defeated,,1961-12-9,1961,12,9,
,,,,,,,Phillip,NSW,30.11.1963,1963-11-30,30,11,1963,No,Defeated,,1972-12-2,1972,12,2,
atkinsonllewellyn1906,Llewellyn,Atkinson,Llewellyn,,,,Wilmot,TAS,12.12.1906,1906-12-12,12,12,1906,No,Defeated,,1929-10-12,1929,10,12,
atkinsonrodney1990,Rodney,Atkinson,Rodney Alexander,,,,Isaacs,VIC,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1996-3-2,1996,3,2,
badmanalbert1937,Albert,Badman,Albert Oliver,,,,Grey,SA,23.10.1937,1937-10-23,23,10,1937,No,Defeated,,1943-8-21,1943,8,21,
baileyfran1990,Fran,Bailey,Frances Esther,,Fran,,McEwen,VIC,24.3.1990,1990-3-24,24,3,1990,No,Defeated,,1993-3-13,1993,3,13,
,,,,,,,McEwen,VIC,2.3.1996,1996-3-2,2,3,1996,No,Retired,,2010-7-19,2010,7,19,
baillieumarshall1975,Marshall,Baillieu,Marshall,,,,La Trobe,VIC,13.12.1975,1975-12-13,13,12,1975,No,Defeated,,1980-10-18,1980,10,18,
bairdbruce1998,Bruce,Baird,Bruce George,,,,Cook,NSW,3.10.1998,1998-10-3,3,10,1998,No,Retired,,2007-10-17,2007,10,17,
bakerfrancismatthew1931,Francis Matthew,Baker,Francis Matthew John,,Francis Matthew,,Oxley,QLD,19.12.1931,1931-12-19,19,12,1931,No,Until elected for Griffith ,1,1934-9-15,1934,9,15,
,,,,,,,Griffith,QLD,15.9.1934,1934-9-15,15,9,1934,No,Died,,1939-3-28,1939,3,28,
bakerfrancispatrick1940,Francis Patrick,Baker,Francis Patrick,,Francis Patrick,,Maranoa,QLD,21.9.1940,1940-9-21,21,9,1940,No,Defeated,,1943-8-21,1943,8,21,
bakermark2004,Mark,Baker,Mark Horden,,,,Braddon,TAS,9.10.2004,2004-10-9,9,10,2004,No,Defeated,,2007-11-24,2007,11,24,
baldwinpeter1983,Peter,Baldwin,Peter Jeremy,,,,Sydney,NSW,5.3.1983,1983-3-5,5,3,1983,No,Retired,,1998-8-31,1998,8,31,
baldwinbob1996,Bob,Baldwin,Robert Charles,,Bob,,Paterson,NSW,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,1998-10-3,1998,10,3,
,,,,,,,Paterson,NSW,10.11.2001,2001-11-10,10,11,2001,No,Retired,,2016-5-9,2016,5,9,
bamfordfrederick1901,Frederick,Bamford,Frederick William,,,,Herbert,QLD,30.3.1901,1901-3-30,30,3,1901,No,Retired,,1925-10-3,1925,10,3,
bandidthenry1958,Henry,Bandidt,Henry Norman Charles,,,,Wide Bay,QLD,22.11.1958,1958-11-22,22,11,1958,No,Defeated,,1961-12-9,1961,12,9,
bandtadam2010,Adam,Bandt,Adam Paul,,,,Melbourne,VIC,21.8.2010,2010-8-21,21,8,2010,No,,,,,,,
banksjulia2016,Julia,Banks,Julia Helen,,,,Chisholm,VIC,2.7.2016,2016-7-2,2,7,2016,No,,,,,,,
barnardherbert1934,Herbert,Barnard,Herbert Claude,,,,Bass,TAS,15.9.1934,1934-9-15,15,9,1934,No,Defeated,,1949-12-10,1949,12,10,
barnardlance1954,Lance,Barnard,Lance Herbert,,,,Bass,TAS,29.5.1954,1954-5-29,29,5,1954,No,Resigned,,1975-6-2,1975,6,2,
barnescharles1958,Charles,Barnes,Charles Edward,,,,McPherson,QLD,22.11.1958,1958-11-22,22,11,1958,No,Retired,,1972-11-2,1972,11,2,
barresiphillip1996,Phillip,Barresi,Phillip Anthony,,,,Deakin,VIC,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,2007-11-24,2007,11,24,
bartlettkerry1996,Kerry,Bartlett,Kerry Joseph,,,,Macquarie,NSW,2.3.1996,1996-3-2,2,3,1996,No,Defeated,,2007-11-24,2007,11,24,
bartonedmund1901,Edmund,Barton,Edmund,,,Later Sir Edmund,Hunter,NSW,29.3.1901,1901-3-29,29,3,1901,No,Resigned,,1903-9-30,1903,9,30,
barwickgarfield1958,Garfield,Barwick,Garfield Edward John,Sir,,,Parramatta,NSW,8.3.1958,1958-3-8,8,3,1958,Yes,Resigned,,1964-4-24,1964,4,24,
batcheloregerton1901,Egerton,Batchelor,Egerton Lee,,,,South Australia,SA,30.3.1901,1901-3-30,30,3,1901,No,Until elected for Boothby ,1,1903-12-16,1903,12,16,
,,,,,,,Boothby,SA,16.12.1903,1903-12-16,16,12,1903,No,Died,,1911-10-8,1911,10,8,
batejeff1949,Jeff,Bate,Henry Jefferson,,Jeff,,Macarthur,NSW,10.12.1949,1949-12-10,10,12,1949,No,Defeated,,1972-12-2,1972,12,2,
