primeMinister,party,diedInOffice,start,end
Edmund Barton,Protectionist,0,1901-01-01,1903-09-24
Alfred Deakin,Protectionist,0,1903-09-24,1904-04-27
Chris Watson,Labour,0,1904-04-27,1904-08-18
George Reid,Free Trade,0,1904-08-18,1905-07-05
Alfred Deakin,Protectionist,0,1905-07-05,1908-11-13
Andrew Fisher,Labour,0,1908-11-13,1909-06-02
Alfred Deakin,Commonwealth Liberal,0,1909-06-02,1910-04-29
Andrew Fisher,Labor,0,1910-04-29,1913-06-24
Joseph Cook,Commonwealth Liberal,0,1913-06-24,1914-09-17
Andrew Fisher,Labor,0,1914-09-17,1915-10-27
Billy Hughes,Labor,0,1915-10-27,1923-02-09
Stanley Bruce,Nationalist (Coalition),0,1923-02-09,1929-10-22
James Scullin,Labor,0,1929-10-22,1932-01-06
Joseph Lyons,United Australia (Coalition),1,1932-01-06,1939-04-07
Earle Page,Country (Coalition),0,1939-04-07,1939-04-26
Robert Menzies,United Australia (Coalition),0,1939-04-26,1941-08-28
Arthur Fadden,Country (Coalition),0,1941-08-28,1941-10-07
John Curtin,Labor,1,1941-10-07,1945-07-05
Frank Forde,Labor,0,1945-07-06,1945-07-13
Ben Chifley,Labor,0,1945-07-13,1949-12-19
Robert Menzies,Liberal (Coalition),0,1949-12-19,1966-01-26
Harold Holt,Liberal (Coalition),1,1966-01-26,1967-12-19
John McEwen,Country (Coalition),0,1967-12-19,1968-01-10
John Gorton,Liberal (Coalition),0,1968-01-10,1971-03-10
William McMahon,Liberal (Coalition),0,1971-03-10,1972-12-05
Gough Whitlam,Labor,0,1972-12-05,1975-11-11
Malcolm Fraser,Liberal (Coalition),0,1975-11-11,1983-03-11
Bob Hawke,Labor,0,1983-03-11,1991-12-20
Paul Keating,Labor,0,1991-12-20,1996-03-11
John Howard,Liberal (Coalition),0,1996-03-11,2007-12-03
Kevin Rudd,Labor,0,2007-12-03,2010-06-24
Julia Gillard,Labor,0,2010-06-24,2013-06-27
Kevin Rudd,Labor,0,2013-06-27,2013-09-18
Tony Abbott,Liberal (Coalition),0,2013-09-18,2015-09-15
Malcolm Turnbull,Liberal (Coalition),0,2015-09-15,2018-08-24
Scott Morrison,Liberal (Coalition),0,2018-08-24,
