theDate, event
1907-11-08, Harvester case
1910-09-01, Australian pound introduced (CHECK DATE)
1929-10-29, Black Tuesday Stock Market Crash
1931-06-01, Premiers' Plan (CHECK DATE)
1966-02-14, Decimalisation
1973-01-01, Fred Gruen 25% tariff cut (DATE IS WRONG)
1983-12-12, Australian dollar is floated
1984-02-01, Medicare establised
1987-10-19, Black Monday Stock Market Crash
1991-02-10, State Bank of South Australia collapse
1990-08-27, State Bank of Victoria collapse (CHECK DATE)
2000-07-01, GST introduced
2008-09-15, Lehman Brothers bankruptcy
