theDate, event
1899-10-11, Second Boer War starts
1901-01-01, Australia federated
1902-05-31, Second Boer War ends
1914-07-28, World War I starts
1918-11-11, World War I ends
1932-05-13, Jack Lang dismissed as NSW Premier
1939-09-01, World War II starts
1945-09-02, World War II ends
1949-10-17, Snowy Hydro construction begins
1956-11-22, Melbourne Olympics
1962-08-03, Australia enters Vietnam War
1972-12-02, Australia exits Vietnam War
1973-10-20, White Australian Policy ended
1975-11-11, The Dismissal
1992-06-03, Mabo
1996-12-23, Wik decision
1996-03-28, Port Arthur massacre
1999-09-20, INTERFET deployment begins
2000-02-28, INTERFET deployment ends
2000-09-15, Sydney Olympics
2001-09-11, 9/11 attack
2002-10-12, Bali bombings
