theDate, event, expected
1901-01-01, Federation, Yes
1902-05-31, Second Boer War ends, Yes
1907-11-08, Harvester case, No
1910-09-10, Australian pound introduced, Yes
1914-07-28, World War I starts, No
1918-11-11, World War I ends, Yes
1929-10-29, Black Tuesday Stock Market Crash, No
1931-06-11, Premiers' Plan agreed, Yes
1932-05-13, Jack Lang dismissed as NSW Premier, Yes
1939-09-01, World War II starts, Yes
1945-09-02, World War II ends, Yes
1949-10-17, Snowy Hydro construction begins, Yes
1956-11-22, Melbourne Olympics, Yes
1962-08-03, Australia enters Vietnam War, Yes
1966-02-14, Decimalisation, Yes
1972-12-02, Australia exits Vietnam War, Yes
1973-01-18, Gruen tariff cut, Yes
1973-10-20, White Australian Policy ended, Yes
1975-11-11, The Dismissal, No
1983-12-12, Australian dollar is floated, Yes
1984-02-01, Medicare establised, Yes
1987-10-19, Black Monday Stock Market Crash, No
1990-08-27, State Bank of Victoria collapse, No
1991-02-10, State Bank of South Australia collapse, No
1991-02-10, First Gulf War begins (FIX DATE), No
1992-06-03, Mabo decision, No
1996-03-28, Port Arthur massacre, No
1996-12-23, Wik decision, No
1999-09-20, INTERFET deployment begins, No
2000-07-01, GST introduced, Yes
2000-09-15, Sydney Olympics, Yes
2001-09-11, 9/11 attack, No
2002-10-12, Bali bombings, No
2008-09-15, Lehman Brothers bankruptcy, No
