year,election,electionDate,seatsTotalNumber,electionWinner,comment
1901,1,29 March 1901,75,Non-labor,First election
1902,,,,,
1903,1,16 December 1903,75,Non-labor,
1904,,,,,
1905,,,,,
1906,1,12 December 1906,75,Non-labor,
1907,,,,,
1908,,,,,
1909,,,,,
1910,1,13 April 1910,75,Labor,
1911,,,,,
1912,,,,,
1913,1,31 May 1913,75,Non-labor,
1914,1,5 September 1914,75,Labor,Fisher '14
1915,,,,,
1916,,,,,
1917,1,5 May 1917,75,Non-labor,
1918,,,,,
1919,1,13 December 1919,75,Non-labor,Hughes '19
1920,,,,,
1921,,,,,
1922,1,16 December 1922,75,Non-labor,
1923,,,,,
1924,,,,,
1925,1,14 November 1925,75,Non-labor,
1926,,,,,
1927,,,,,
1928,1,17 November 1928,75,Non-labor,
1929,1,12 October 1929,75,Labor,Scullin '29
1930,,,,,
1931,1,19 December 1931,75,Non-labor,Lyons '31
1932,,,,,
1933,,,,,
1934,1,15 September 1934,74,Non-labor,Lyons '34
1935,,,,,
1936,,,,,
1937,1,23 October 1937,74,Non-labor,
1938,,,,,
1939,,,,,
1940,1,21 September 1940,74,Non-labor,
1941,,,,,
1942,,,,,
1943,1,21 August 1943,74,Labor,Curtin '43
1944,,,,,
1945,,,,,
1946,1,28 September 1946,74,Labor,
1947,,,,,
1948,,,,,
1949,1,10 December 1949,121,Non-labor,Menzies '49
1950,,,,,
1951,1,28 April 1951,121,Non-labor,Menzies '51
1952,,,,,
1953,,,,,
1954,1,29 May 1954,121,Non-labor,
1955,1,10 December 1955,122,Non-labor,Menzies '55
1956,,,,,
1957,,,,,
1958,1,22 November 1958,122,Non-labor,
1959,,,,,
1960,,,,,
1961,1,9 December 1961,122,Non-labor,
1962,,,,,
1963,1,30 November 1963,122,Non-labor,
1964,,,,,
1965,,,,,
1966,1,26 November 1966,124,Non-labor,
1967,,,,,
1968,,,,,
1969,1,25 October 1969,125,Non-labor,
1970,,,,,
1971,,,,,
1972,1,2 December 1972,125,Labor,
1973,,,,,
1974,1,18 May 1974,127,Labor,
1975,1,13 December 1975,127,Non-labor,Fraser '75
1976,,,,,
1977,1,10 December 1977,124,Non-labor,
1978,,,,,
1979,,,,,
1980,1,18 October 1980,125,Non-labor,
1981,,,,,
1982,,,,,
1983,1,5 March 1983,125,Labor,
1984,1,1 December 1984,148,Labor,
1985,,,,,
1986,,,,,
1987,1,11 July 1987,148,Labor,Hawke '87
1988,,,,,
1989,,,,,
1990,1,24 March 1990,148,Labor,
1991,,,,,
1992,,,,,
1993,1,13 March 1993,147,Labor,
1994,,,,,
1995,,,,,
1996,1,2 March 1996,148,Non-labor,Howard '96
1997,,,,,
1998,1,3 October 1998,148,Non-labor,
1999,,,,,
2000,,,,,
2001,1,10 November 2001,150,Non-labor,
2002,,,,,
2003,,,,,
2004,1,9 October 2004,150,Non-labor,
2005,,,,,
2006,,,,,
2007,1,24 November 2007,150,Labor,Kevin '07
2008,,,,,
2009,,,,,
2010,1,21 August 2010,150,Labor,
2011,,,,,
2012,,,,,
2013,1,7 September 2013,150,Non-labor,
2014,,,,,
2015,,,,,
2016,1,2 July 2016,150,Non-labor,
2017,,,,,
2018,,,,,
2019,,,,,
2020,,,,,
