original; corrected
W ill; Will
w ill; will
t u r n; turn
P a p u a; Papua
w ill; will
t h a t; that
f r e e hold; freehold
L a n d; Land
u p; up
n in e t y; ninety
n i ne; nine
P a p u a n; Papuan
L a n d; Land
M in is t e r; Minister
H o m e; Home
a n d; and
T e r r it o r i e s; Territories
u p o n; upon
t h e; the
Isi t; Is it
p r o h i b it e d; prohibited
j u s t i fy; justify
ju s t i fy; justify
Ministeri n; Minister in
faets; facts
MALCOLMM c EACHARN; MALCOLM McEACHARN
EDWARDBRADD ON; EDWARD BRADDON
Butitis; But it is
quitoclear; quite clear
EDWAHDS; EDWARDS
tlie; the
LANGD ON; LANGDON
LANGDONBONYTHON; LANGDON BONYTHON
housethat; house that
1 9 8 1; 1981
1 98 1; 1981
1 rise; I rise
1 wish; I wish
1he; the
A c t; Act
A djournment; Adjournment
A l l; All
A mendment; Amendment
A n d; And
A n; An
A s; As
A ttorney-General; Attorney-General
A u d it; Audit
A UENS; ALIENS
A ustralian; Australian
A'ustralian; Australian
a,nd; and
a-ttacbod; attached
A.L.P; ALP
a.lso; also
A.N.Z.U.S; ANZUS
a.ny; any
a.s; as
abat toirs; abattoirs
ablebodied; able bodied
ableto; able to
abol ition; abolition
abonus; a bonus
Abor iginal; Aboriginal
abovementioned; above mentioned
absolutelyclear; absolutely clear
abun dantly; abundantly
ac cording; according
ac tivity; activity
accept ance; acceptance
accordancewith; accordance with
ActingMinister; Acting Minister
ActingPrime; Acting Prime
ActingTreasurer; Acting Treasurer
action,I; action, I
action.The; action. The
actionwas; action was
ad ditional; additional
ad journed; adjourned
additionthey; addition they
AddressinReply; Address in Reply
adjourn ment; adjournment
adjust ing; adjusting
Adminis tration; Administration
adminis tration; administration
Adminis trative; Administrative
Administrat ive; Administrative
administrat ive; administrative
administrativeability; administrative ability
adressed; addressed
Adrriinistration; Administration
advan tage; advantage
advantageof; advantage of
adver tising; advertising
advisethat; advise that
affort; afford
after13th; after 13th
afterclause; after clause
afterthe; after the
ag gressive; aggressive
againstthat; against that
againstthe; against the
agamst; against
AgentGeneral; Agent General
AgentsGeneral; Agents General
agesfor; ages for
agood; a good
agreat; a great
agree ment; agreement
agree ments; agreements
air line; airline
airconditioned; air conditioned
airconditioning; air conditioning
aircraftsman; air craftsman
al liance; alliance
al lowance; allowance
al lowances; allowances
al lowed; allowed
Al!; All
AlburyWodonga; Albury Wodonga
alle gations; allegations
allimportant; all important
allnight; all night
allo cation; allocation
allparty; all party
allround; all round
allthe; all the
allweather; all weather
althoughI; although I
altogetheremployment; altogether employment
alwavs; always
alwaysbeen; always been
amatter; a matter
amember; a member
amend ment; amendment
amend ments; amendments
amquite; am quite
An d; And
an d; and
an nouncing; announcing
anadjournment; an adjournment
anamendment; an amendment
andalso; and also
andat; and at
andCustoms; and Customs
andhe; and he
andI; and I
andinformation; and information
andis; and is
andit; and it
andlesstotheresponsibleMinister,With; and less to the responsible Minister, With
andmyself; and myself
andperhaps; and perhaps
andptofessional; and professional
andRailways; and Railways
andthat; and that
andthe; and the
AngloPersian; Anglo Persian
AngloSaxon; Anglo Saxon
anight; a night
anned services; armed services
annualcharge; annual charge
anoffice; an office
anotherone; another one
Answers t o Questions; Answers to Questions
answersto; answers to
answerto; answer to
Anthonysaid; Anthony said
anti inflationary; anti-inflationary
antiAustralian; anti-Australian
antiCommunist; anti-Communist
antidumping; anti-dumping
antiinflationary; anti-inflationary
antiLabour; anti-Labour
antiSocialism; anti-Socialism
antiSocialists; anti-Socialists
AntiTrust; Anti-Trust
antiunion; anti-union
anyf urther; any further
anyfurther; any further
anyof; any of
anyother; any other
anythingto; anything to
Anzac; ANZAC
Anzacs; ANZACs
Anzus; ANZUS
ap plied; applied
ap plying; applying
ap preciate; appreciate
ap prentices; apprentices
ap proach; approach
ap proval; approval
Apartcfrom; Apart from
applegrowers; apple growers
appliedsince; applied since
appointmentof; appointment of
appreci ate; appreciate
appren tices; apprentices
approvedof; approved of
aproposal; a proposal
aquestion; a question
Ar bitration; Arbitration
Ar e; Are
ar guable; arguable
ar guing; arguing
ar gument; argument
ar rangement; arrangement
arbitary; arbitrary
ArbitrationCourt; Arbitration Court
architec tural; architectural
arebeing; are being
areemployed; are employed
arein; are in
arelikely; are likely
arenot; are not
arepayingto; are paying to
arequite; are quite
argu ment; argument
argu ments; arguments
arrange ment; arrangement
ArthurFadden; Arthur Fadden
artifical; artificial
as sertion; assertion
as sisted; assisted
As sociation; Association
as surance; assurance
asa; as a
asbeing; as being
ascertainwhat; ascertain what
asfollows; as follows
asI; as I
AsI; As I
asis; as is
askthe; ask the
aspossible; as possible
ass.essors; assessors
asses sed; assessed
assesors; assessors
Assess ment; Assessment
assess ment; assessment
assist ance; assistance
Assistan t; Assistant
AssistantMinister; Assistant Minister
assistin; assist in
Associ ation; Association
assoon; as soon
assump tion; assumption
astart; a start
asthe; as the
asthey; as they
asto; as to
aswas; as was
aswe; as we
aswell; as well
at mosphere; atmosphere
atany; atany
atime; a time
atmos phere; atmosphere
