original; corrected
papua new guinea; papua_new_guinea
new zealand; new_zealand
ad valorem; ad_valorem
northern territory; northern_territory
the bahamas; the_bahamas
cape verde; cape_verde
costa rica; costa_rica
east timor; east_timor
el salvador; el_salvador
equatorial guinea; equatorial_guinea
ivory coast; ivory_coast
north korea; north_korea
south korea ; south_korea_
marshall islands; marshall_islands
papua new guinea; papua_new_guinea
saint kitts and nevis; saint_kitts_and_nevis
san marino; san_marino
saudi arabia; saudi_arabia
sierra leone; sierra_leone
south africa; south_africa
south sudan; south_sudan
sri lanka; sri_lanka
trinidad and tobago; trinidad_and_tobago
united kingdom; united_kingdom
united states; united_states
marshall islands; marshall_islands
vatican city; vatican_city
cook islands; cook_islands
northern cyprus; northern_cyprus
sahrawi arab democratic republic; sahrawi_arab_democratic_republic
south ossetia; south_ossetia
jervis bay; jervis_bay
agnes banks; agnes_banks
anna bay; anna_bay
ariah park; ariah_park
avoca beach; avoca_beach
batemans bay; batemans_bay
berkeley vale; berkeley_vale
bonnells bay; bonnells_bay
brunswick heads; brunswick_heads
captains flat; captains_flat
clarence town; clarence_town
crescent head; crescent_head
emu plains; emu_plains
evans head; evans_head
fingal head; fingal_head
gillieston heights; gillieston_heights
glen innes; glen_innes
gol gol; gol_gol
greenwell point; greenwell_point
grose vale; grose_vale
hawks nest; hawks_nest
heddon greta; heddon_greta
kangaroo valley; kangaroo_valley
kurri kurri; kurri_kurri
lake cargelligo; lake_cargelligo
lake illawarra; lake_illawarra
lightning ridge; lightning_ridge
medlow bath; medlow_bath
megalong valley; megalong_valley
mount riverview; mount_riverview
mount victoria; mount_victoria
nambucca heads; nambucca_heads
nelson bay; nelson_bay
north richmond; north_richmond
old junee; old_junee
oxley vale; oxley_vale
peak hill; peak_hill
port kembla; port_kembla
port macquarie; port_macquarie
rankins springs; rankins_springs
raymond terrace; raymond_terrace
seven hills; seven_hills
south gundagai; south_gundagai
south west rocks; south_west_rocks
stanwell park; stanwell_park
stuart town; stuart_town
sussex inlet; sussex_inlet
tea gardens; tea_gardens
the oaks; the_oaks
the rock; the_rock
tuntable creek; tuntable_creek
tweed heads; tweed_heads
valley heights; valley_heights
warrell creek; warrell_creek
wentworth falls; wentworth_falls
west wallsend; west_wallsend
west wyalong; west_wyalong
adelaide river; adelaide_river
alice springs; alice_springs
barrow creek; barrow_creek
daly waters; daly_waters
humpty doo; humpty_doo
pine creek; pine_creek
tennant creek; tennant_creek
bray park; bray_park
crows nest; crows_nest
emu park; emu_park
mount morgan; mount_morgan
mount samson; mount_samson
st george; st_george
acton park; acton_park
arthur river; arthur_river
bakers hill; bakers_hill
big bell; big_bell
bindi bindi; bindi_bindi
bonnie rock; bonnie_rock
bonnie vale; bonnie_vale
bow bridge; bow_bridge
boxwood hill; boxwood_hill
boyup brook; boyup_brook
bremer bay; bremer_bay
broad arrow; broad_arrow
bruce rock; bruce_rock
brunswick junction; brunswick_junction
cape burney; cape_burney
carbunup river; carbunup_river
coral bay; coral_bay
day dawn; day_dawn
donnelly river; donnelly_river
drummond cove; drummond_cove
fitzroy crossing; fitzroy_crossing
gascoyne junction; gascoyne_junction
grass patch; grass_patch
grass valley; grass_valley
green head; green_head
halls creek; halls_creek
hamelin pool; hamelin_pool
hines hill; hines_hill
holt rock; holt_rock
israelite bay; israelite_bay
jigalong community; jigalong_community
jurien bay; jurien_bay
king river; king_river
lake brown; lake_brown
lake clifton; lake_clifton
lake grace; lake_grace
lake king; lake_king
ledge point; ledge_point
little grove; little_grove
lower king; lower_king
marble bar; marble_bar
margaret river; margaret_river
marvel loch; marvel_loch
monkey mia; monkey_mia
moorine rock; moorine_rock
mount barker; mount_barker
mount kokeby; mount_kokeby
mount magnet; mount_magnet
nanga brook; nanga_brook
new norcia; new_norcia
north bannister; north_bannister
north dandalup; north_dandalup
