original; corrected
Thank you\, Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
been dramatically deteriorating\, Mr KEATING; Mr KEATING
speaking to Mr HOWARD; Mr HOWARD
the Leader of the Opposition\, Mr SPEAKER; Mr SPEAKER
Questions to Mr SPEAKER; Mr SPEAKER
ment\, Mr SPEAKER; Mr SPEAKER
of the woods\, Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
\" Mr FISHER; Mr FISHER
\" Mr GABB; Mr GABB
\" Mr LATHAM; Mr LATHAM
\" Mr PAGE; Mr PAGE
\" Mr RYAN; Mr RYAN
\"\. Mr YATES; Mr YATES
\"\> Mr SPEAKER; Mr SPEAKER
\' Mr ANTHONY; Mr ANTHONY
\' Mr BLAKELEY; Mr BLAKELEY
\' Mr CHABLTON; Mr CHARLTON
\' Mr CONROY; Mr CONROY
\' Mr GROOM; Mr GROOM
\' Mr HUGHES; Mr HUGHES
\' Mr JOSEPH COOK; Mr JOSEPH COOK
\' Mr MARR; Mr MARR
\' Mr POYXTON; Mr POYXTON
\' Mr RICHARD FOSTER; Mr RICHARD FOSTER
\' Mr WATT; Mr WATT
\' Sir ELLIOT JOHNSON; Sir ELLIOT JOHNSON
\' Sir JOHN QUICK; Sir JOHN QUICK
\( Mr DEPUTY SPEAKER; Mr DEPUTY SPEAKER
\( Mr SPEAKER; Mr SPEAKER
\(New England\) Mr KELLY; Mr KELLY
\, Mr GROOM; Mr GROOM
\, Mr SPEAKER; Mr SPEAKER
\, Sir FREDERICK STEWART; Sir FREDERICK STEWART
\. _ Mr PALMER; Mr PALMER
\. Mr ANTHONY; Mr ANTHONY
\. Mr BELL; Mr BELL
\. Mr CADMAN; Mr CADMAN
\. Mr CLYDE CAMERON; Mr CLYDE CAMERON
\. Mr GREGORY; Mr GREGORY
\. Mr HAWKE; Mr HAWKE
\. Mr KEATING; Mr KEATING
\. Mr MCBRIDE; Mr MCBRIDE
\. Mr MCGRATH; Mr MCGRATH
\. Mr PAGE; Mr PAGE
\. Mr PORDE; Mr FORDE
\. Mr RYAN; Mr RYAN
\. Mr THOMPSON; Mr THOMPSON
\. Mr TUDOR; Mr TUDOR
\. Mr TUENBULL; Mr TURNBULL
\. Sir FREDERICK STEWART; Sir FREDERICK STEWART
\. Sir HENRY GULLETT; Sir HENRY GULLETT
\. Sir JOHN FORREST; Sir JOHN FORREST
\. Sir JOSEPH COOK; Sir JOSEPH COOK
\.\.21 Mr GREENE; Mr GREENE
12 5 Mr BEASLEY; Mr BEASLEY
12\,000 Mr ANTHONY; Mr ANTHONY
13\,000 Mr CUNNINGHAM; Mr CUNNINGHAM
15 Mr BLAKELEY; Mr BLAKELEY
5 Mr WATKINS; Mr WATKINS
84 per Mr ANTHONY; Mr ANTHONY
: Mr WHITE; Mr WHITE
=- Dr JF CAIRNS; Dr JF CAIRNS
=- Mr AUSTIN CHAPMAN; Mr AUSTIN CHAPMAN
=- Mr BLAKELEY; Mr BLAKELEY
=- Mr CHARLTON; Mr CHARLTON
=- Mr DEAKIN; Mr DEAKIN
=- Mr FISHER; Mr FISHER
=- Mr GABB; Mr GABB
=- Mr GLYNN; Mr GLYNN
