uniqueID,surname,allOtherNames,firstName,commonName,earlierOrLaterNames,title,birthDate,birthYear,birthMonth,birthDay,deathDate,deathYear,deathMonth,deathDay,wasEverPrimeMinister,comments,wikipedia,adb
abbotttony1994,Abbott,Anthony John,Anthony,Tony,,,1957-11-4,1957,11,4,,,,,1,,,
abbottcharles1925,Abbott,Charles Lydiard Aubrey,Charles,,,,1886-1-4,1886,1,4,1975-4-30,1975,4,30,,,,
abbottjoseph1940,Abbott,Joseph Palmer,Joseph,,,,1891-10-18,1891,10,18,1965-5-7,1965,5,7,,,,
abbottpercy1913,Abbott,Percy Phipps,Percy,,,,1869-5-14,1869,5,14,1940-9-9,1940,9,9,,,https://en.wikipedia.org/wiki/Percy_Abbott_(Australian_politician),
abeljohn1975,Abel,John Arthur,John,,,,1939-6-25,1939,6,25,,,,,,,,
adamsdick1993,Adams,Dick Godfrey Harry,Dick,,,,1951-4-29,1951,4,29,,,,,,,,
adermannevan1972,Adermann,Albert Evan,Albert,Evan,,,1927-3-10,1927,3,10,2001-11-3,2001,11,3,,,,
adermanncharles1943,Adermann,Charles Frederick,Charles,,Later Sir Charles,,1896-8-3,1896,8,3,1979-5-9,1979,5,9,,,,
aherncornelius1913,Ahern,Cornelius Joseph,Cornelius,,,,1871-7-10,1871,7,10,1955-7-10,1955,7,10,,,,
albaneseanthony1996,Albanese,Anthony Norman,Anthony,,,,1963-3-2,1963,3,2,,,,,,,,
aldredken1975,Aldred,Kenneth James,Kenneth,Ken,,,1945-8-1,1945,8,1,,,,,,,,
alexanderjohn2010,Alexander,John Gilbert,John,,,,1951-7-4,1951,7,4,,,,,,,,
allanarchibald1953,Allan,Archibald Ian,Archibald,,,,1916-1-3,1916,1,3,2000-2-13,2000,2,13,,,,
alyanne2016,Aly,Anne,Anne,,,Dr,1967-3-29,1967,3,29,,,,,,,,
andersoncharles1949,Anderson,Charles Groves Wright,Charles,,,,1897-2-12,1897,2,12,1988-11-11,1988,11,11,,,,
andersongordon1949,Anderson,Gordon,Gordon,,,,1897-12-29,1897,12,29,1958-5-23,1958,5,23,,,,
andersonjohn1989,Anderson,John Duncan,John,,,,1956-11-14,1956,11,14,,,,,,,,
