uniqueID,DELETE_surname,DELETE_otherNames,DELETE_title,DELETE_commonName,DELETE_earlierOrLaterNames,DELETE_division,DELETE_state,DELETE_dateOfElection,DELETE_party_ORIGINAL_REMOVE,party,partyFrom,partyTo,comment
abbotttony1994,Abbott,Anthony John,,Tony,,Warringah,NSW,26.3.1994,LIB,LIB,26.3.1994,,
abbottcharles1925,Abbott,Charles Lydiard Aubrey,,,,Gwydir,NSW,14.11.1925,CP,CP,14.11.1925,28.3.1937,
abbottjoseph1940,Abbott,Joseph Palmer,,,,New England,NSW,21.9.1940,CP,CP,21.9.1940,31.10.1949,
abbottpercy1913,Abbott,Percy Phipps,,,,New England,NSW,31.5.1913,LIB,LIB,31.5.1913,17.2.1917,
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,3.11.1919,
abeljohn1975,Abel,John Arthur,,,,Evans,NSW,13.12.1975,LIB,LIB,13.12.1975,10.11.1977,
adamsdick1993,Adams,Dick Godfrey Harry,,,,Lyons,TAS,13.3.1993,ALP,ALP,13.3.1993,7.9.2013,
adermannevan1972,Adermann,Albert Evan,,Evan,,Fisher,QLD,2.12.1972,CP,CP,2.12.1972,1.5.1975,
,,,,,,,,,NCP from May 1975,NCP ,1.5.1975,1.10.1982,
,,,,,,Fairfax,QLD,1.12.1984,NPA from Oct. 1982,NPA ,1.10.1982,19.2.1990,
adermanncharles1943,Adermann,Charles Frederick,,,Later Sir Charles,Maranoa,QLD,21.8.1943,CP,CP,21.8.1943,2.11.1972,
aherncornelius1913,Ahern,Cornelius Joseph,,,,Indi,VIC,31.5.1913,LIB,LIB,31.5.1913,5.9.1914,
albaneseanthony1996,Albanese,Anthony Norman,,,,Grayndler,NSW,2.3.1996,ALP,ALP,2.3.1996,,
aldredken1975,Aldred,Kenneth James,,Ken,,Henty,VIC,13.12.1975,LIB,LIB,13.12.1975,29.1.1996,
alexanderjohn2010,Alexander,John Gilbert,,,,Bennelong,NSW,21.8.2010,LIB,LIB,21.8.2010,,
allanarchibald1953,Allan,Archibald Ian,,,,Gwydir,NSW,19.12.1953,CP,CP,19.12.1953,30.4.1969,
alyanne2016,Aly,Anne,,,,Cowan,WA,2.7.2016,ALP,ALP,2.7.2016,,
andersoncharles1949,Anderson,Charles Groves Wright,,,,Hume,NSW,10.12.1949,CP,CP,10.12.1949,9.12.1961,
andersongordon1949,Anderson,Gordon,,,,Kingsford-Smith,NSW,10.12.1949,ALP,ALP,10.12.1949,4.11.1955,
andersonjohn1989,Anderson,John Duncan,,,,Gwydir,NSW,15.4.1989,NPA,NPA,15.4.1989,1.10.2003,
,,,,,,,,,NP from Oct. 2003,NP ,1.10.2003,17.10.2007,
andrenpeter1996,Andren,Peter James,,,,Calare,NSW,2.3.1996,IND,IND,2.3.1996,17.10.2007,
andrewjohn1983,Andrew,John Neil,,,,Wakefield,SA,5.3.1983,LIB,LIB,5.3.1983,31.8.2004,
andrewskaren2010,Andrews,Karen Lesley,,,,McPherson,QLD,21.8.2010,LIB,LIB,21.8.2010,,
andrewskevin1991,Andrews,Kevin James,,,,Menzies,VIC,11.5.1991,LIB,LIB,11.5.1991,,
andrewsthomas1949,Andrews,Thomas William,,,,Darebin,VIC,10.12.1949,ALP,ALP,10.12.1949,1.4.1955,
,,,,,,,,,ALP (A-C) from April 1955,ALP (A-C) ,1.4.1955,10.12.1955,
ansteyfrank1910,Anstey,Frank,,,,Bourke,VIC,13.4.1910,ALP,ALP,13.4.1910,1.1.1931,
,,,,,,,,,FLP from 1931,FLP ,1.1.1931,7.8.1934,
anthonyhubert1937,Anthony,Hubert Lawrence,,,,Richmond,NSW,23.10.1937,CP,CP,23.10.1937,12.7.1957,
anthonydoug1957,Anthony,John Douglas,,Doug,,Richmond,NSW,14.9.1957,CP,CP,14.9.1957,1.5.1975,
,,,,,,,,,NCP from May 1975,NCP ,1.5.1975,1.10.1982,
,,,,,,,,,NPA from Oct. 1982,NPA ,1.10.1982,18.1.1984,
anthonylawrence1996,Anthony,Lawrence James,,,,Richmond,NSW,2.3.1996,NPA,NPA,2.3.1996,1.10.2003,
,,,,,,,,,NP from Oct. 2003,NP ,1.10.2003,9.10.2004,
archeredward1906,Archer,Edward Walker,,,,Capricornia,QLD,12.12.1906,ANTI-SOC,ANTI-SOC,12.12.1906,13.4.1910,
archibaldwilliam1910,Archibald,William Oliver,,,,Hindmarsh,SA,13.4.1910,ALP,ALP,13.4.1910,17.2.1917,
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,13.12.1919,
armitagejohn1961,Armitage,John Lindsay,,,,Mitchell,NSW,9.12.1961,ALP,ALP,9.12.1961,4.2.1983,
armstrongadam1965,Armstrong,Adam Alexander,,,,Riverina,NSW,27.2.1965,CP,CP,27.2.1965,25.10.1969,
arthurjohn1913,Arthur,John Andrew,,,,Bendigo,VIC,31.5.1913,ALP,ALP,31.5.1913,9.12.1914,
arthurwilliam1966,Arthur,William Tevlin,,,,Barton,NSW,26.11.1966,LIB,LIB,26.11.1966,25.10.1969,
ashleybrownalfred1972,Ashley-Brown,Alfred,,,,Mitchell,NSW,2.12.1972,ALP,ALP,2.12.1972,18.5.1974,
astonwilliam1955,Aston,William John,,,Later Sir William,Phillip,NSW,10.12.1955,LIB,LIB,10.12.1955,2.12.1972,
atkinsonllewellyn1906,Atkinson,Llewellyn,,,,Wilmot,TAS,12.12.1906,ANTI-SOC,ANTI-SOC,12.12.1906,1.1.1910,
,,,,,,,,,LIB from 1910,LIB ,1.1.1910,17.2.1917,
,,,,,,,,,NAT from 1917,NAT ,17.2.1917,1.1.1923,
,,,,,,,,,CP 1923-25,CP,1.1.1923,1.1.1925,
,,,,,,,,,NAT from 1925,NAT ,1.1.1925,12.10.1929,
atkinsonrodney1990,Atkinson,Rodney Alexander,,,,Isaacs,VIC,24.3.1990,LIB,LIB,24.3.1990,2.3.1996,
badmanalbert1937,Badman,Albert Oliver,,,,Grey,SA,23.10.1937,UAP,UAP,23.10.1937,1.1.1940,
,,,,,,,,,CP from 1940,CP ,1.1.1940,21.8.1943,
baileyfran1990,Bailey,Frances Esther,,Fran,,McEwen,VIC,24.3.1990,LIB,LIB,24.3.1990,19.7.2010,
baillieumarshall1975,Baillieu,Marshall,,,,La Trobe,VIC,13.12.1975,LIB,LIB,13.12.1975,18.10.1980,
bairdbruce1998,Baird,Bruce George,,,,Cook,NSW,3.10.1998,LIB,LIB,3.10.1998,17.10.2007,
bakerfrancismatthew1931,Baker,Francis Matthew John,,Francis Matthew,,Oxley,QLD,19.12.1931,FLP,FLP,19.12.1931,28.3.1939,
bakerfrancispatrick1940,Baker,Francis Patrick,,Francis Patrick,,Maranoa,QLD,21.9.1940,ALP,ALP,21.9.1940,21.8.1943,
bakermark2004,Baker,Mark Horden,,,,Braddon,TAS,9.10.2004,LIB,LIB,9.10.2004,24.11.2007,
baldwinpeter1983,Baldwin,Peter Jeremy,,,,Sydney,NSW,5.3.1983,ALP,ALP,5.3.1983,31.8.1998,
baldwinbob1996,Baldwin,Robert Charles,,Bob,,Paterson,NSW,2.3.1996,LIB,LIB,2.3.1996,9.5.2016,
bamfordfrederick1901,Bamford,Frederick William,,,,Herbert,QLD,30.3.1901,ALP,ALP,30.3.1901,17.2.1917,
