text,pageNumbers
"         Wednesday, 19 March 1969             a private home was conducted at night,",13
                                              why it was proceeded with in the absence,13
                                              of the householder to the distress of his,13
"   The PRESIDENT (Senator tbe Hon. Sir wife and a sick child, the only people in",13
"Alister MCMullin) took the chair at 3 p.m., the house, although the customs officers",13
and read prayers.                             had been correctly informed that the hus-,13
                                             band would be home within a short time?,13
                EDUCATION                    Will he explain why the officers refused to,13
                    Petition                 give a receipt for two walkie-talkie radios,13
   Senator FITZGERALD presented a petitaken from the house and why that pro-,13
tion from certain citizens of Australia perty has been retained although no charges,13
snowing that there is a crisis in education have been laid against the householder or,13
in Australia; that a transformation of the in regard to the radios?,13
"classroom situation is necessary, where         Senator SCOTT-Informatio n was re-",13
children will have reasonable freedom to ceived that four named wharf labourers,13
"develop as self-reliant, independent indiwere illegally removing cargo and selling",13
viduals and where they can learn to funcit. Four homes were raided on 23rd October,13
tion as members of a democratic com1968 and pillaged cargo was found in two,13
munity; that proper preparation for school of them. The search was made in the,13
"and thorough guidance there, by qualified evening at 7 o'clock. In one house there",13
"teachers, are crncial to a proper education was an epileptic child who slept through-",13
for Australia's children; that the present out the investigation. She was a niece of,13
"rate of teaching training is far below the Mrs Weaver, who was at home, and who",13
requirement determined by the Martin assisted the officer in the investigations.,13
(eport which shows that 75% additional,13
teachers in government schools will be re-     Senator Murphy-Wil l you answer what,13
quired by 1975 compared with those in I asked?,13
service in 1963; that to obtain maximum         Senator SCOTT-I f the honourable,13
"benefit from the education system, presenator desires any further information I",13
school facilities should be available to all ask that he place his question on notice.,13
children; that insufficient State or Federal,13
assistance bas been made available to meet      Senator MAUNSELL- I direct a ques-,13
these requirements; fhat adequate finance tion to the Minister for Customs and Ex-,13
to meet these requirements can only be procise. What precautions have been taken by,13
vided by the Commonwealth Government; the Minister to ensure that only responsible,13
that there is an urgent need for a national officers of the Department of Customs and,13
inquiry into all aspects of Australian eduExcise are issued with warrants entitling,13
cation. The petitioners pray that the Senate them to enter and search private homes?,13
and the House of Representatives in ParHas he taken steps to make certain that,13
liament assembled will give earnest conofficers in possession of these warrants fully,13
"sideration, during Human Rights Year, to understand their responsibilities not only to",13
