text,first_column,second_column,line_type,ordering
"Friday, 21 December 1990                                 Second Reading","Friday, 21 December 1990",Second Reading,both,3
Mr SPEAKER (Hon. Leo McLeay) took               (9.01)-1 move:,Mr SPEAKER (Hon. Leo McLeay) took,(9.01)-1 move:,both,5
Mr BEAZLEY (Swan-Leader of the                  The purpose of this Bill is to amend,Mr BEAZLEY (Swan-Leader of the,The purpose of this Bill is to amend,both,9
"House)-Papers are tabled as listed in the         section 50, the mergers and acquisitions",House)-Papers are tabled as listed in the,"section 50, the mergers and acquisitions",both,10
"schedule circulated to honourable mem-            provision, of the Trade Practices Act to",schedule circulated to honourable mem-,"provision, of the Trade Practices Act to",both,11
bers. Details of the papers will be re-           overcome an omission which has become,bers. Details of the papers will be re-,overcome an omission which has become,both,12
"corded in Hansard and the Votes and               apparent in the coverage of the provision,",corded in Hansard and the Votes and,"apparent in the coverage of the provision,",both,13
Proceedings.                                      and to make several other improvements.,Proceedings.,and to make several other improvements.,both,14
Horticultural Policy Council-Annual Report      shares or assets which result in a corpo-,Horticultural Policy Council-Annual Report,shares or assets which result in a corpo-,both,17
"1989-90-section 28 of the Horticultural Policy    ration either obtaining, or substantially",1989-90-section 28 of the Horticultural Policy,"ration either obtaining, or substantially",both,18
"Council Act 1988.                                 strengthening, a position of dominance in",Council Act 1988.,"strengthening, a position of dominance in",both,19
Australian Agricultural and Veterinary Chemi-   termining whether a position of domi-,Australian Agricultural and Veterinary Chemi-,termining whether a position of domi-,both,21
cals Council-Annual Report 1989-90-section        nance or strengthened dominance would,cals Council-Annual Report 1989-90-section,nance or strengthened dominance would,both,22
"47 of the Agricultural and Veterinary Chemicals   result, the section permits the aggregation",47 of the Agricultural and Veterinary Chemicals,"result, the section permits the aggregation",both,23
Act 1988.                                         of market shares of companies that are,Act 1988.,of market shares of companies that are,both,24
Government Response to the Report of the        corporation. The section defines an asso-,Government Response to the Report of the,corporation. The section defines an asso-,both,26
National Committee on Violence.                   ciated body corporate in terms of one,National Committee on Violence.,ciated body corporate in terms of one,both,27
The Australian National Maritime Museum-        exert a substantial degree of influence over,The Australian National Maritime Museum-,exert a substantial degree of influence over,both,29
Report on Activities for the year ending 30 June  another.,Report on Activities for the year ending 30 June,another.,both,30
National Legal Aid Advisory Committee-An-       the Chairman of the Trade Practices,National Legal Aid Advisory Committee-An-,the Chairman of the Trade Practices,both,33
"nual Report 1989-90-section 18 of the Com-        Commission, Professor Baxt, his concerns",nual Report 1989-90-section 18 of the Com-,"Commission, Professor Baxt, his concerns",both,34
monwealth Legal Aid Act 1977.                     that an aspect of the judgment in Trade,monwealth Legal Aid Act 1977.,that an aspect of the judgment in Trade,both,35
National Legal Aid Representative Council-      and Steel and Ors-the New Zealand Steel,National Legal Aid Representative Council-,and Steel and Ors-the New Zealand Steel,both,37
Annual Report 1989-90-section 18 of the Com-      case-disclosed a deficiency in the merger,Annual Report 1989-90-section 18 of the Com-,case-disclosed a deficiency in the merger,both,38
"monwealth Legal Aid Act 1977.                     provision. The case itself was settled, but",monwealth Legal Aid Act 1977.,"provision. The case itself was settled, but",both,39
"Legal Aid and the Australian Community-a        pects of the case, the court expressed its",Legal Aid and the Australian Community-a,"pects of the case, the court expressed its",both,41
report by the National Legal-Aid Advisory Com-    views on the meaning of the words 'di-,report by the National Legal-Aid Advisory Com-,views on the meaning of the words 'di-,both,42
mittee.                                           rectly or indirectly' in subsection 50 (1).,mittee.,rectly or indirectly' in subsection 50 (1).,both,43
Government Response to a Report by the          from directly or indirectly acquiring shares,Government Response to a Report by the,from directly or indirectly acquiring shares,both,45
National Legal Aid Advisory Committee-Legal       or assets in a body corporate if a position,National Legal Aid Advisory Committee-Legal,or assets in a body corporate if a position,both,46
Aid and the Australian Community.                 of dominance would result.,Aid and the Australian Community.,of dominance would result.,both,47
National Capital Planning Authority-National      The Court interpreted the word 'indi-,National Capital Planning Authority-National,The Court interpreted the word 'indi-,both,49
Capital Plan-December 1990                        rectly' as applying only to a situation,Capital Plan-December 1990,rectly' as applying only to a situation,both,50
-Report                                      other entity as agent for the corporation.,-Report,other entity as agent for the corporation.,both,52
-Appendices                                  In other words it would not be an indirect,-Appendices,In other words it would not be an indirect,both,53
-section 22 of the Australian Capital Ter-   acquisition by the corporation where a,-section 22 of the Australian Capital Ter-,acquisition by the corporation where a,both,54
ritory (Planning and Land Management) Act    subsidiary or associated company ac-,ritory (Planning and Land Management) Act,subsidiary or associated company ac-,both,55
1988.                                        quired assets or shares in a target com-,1988.,quired assets or shares in a target com-,both,56
Annual Statement on the Aid Program 1990-       pany in circumstances where it could not,Annual Statement on the Aid Program 1990-,pany in circumstances where it could not,both,57
"Minister for Foreign Affairs and Trade, Senator   be said it was acting as agent for its con-","Minister for Foreign Affairs and Trade, Senator",be said it was acting as agent for its con-,both,58
the Hon Gareth Evans QC.                          trolling company. Accepting this interpre-,the Hon Gareth Evans QC.,trolling company. Accepting this interpre-,both,59
"Department of Defence-Schedule of Special       tation, the question then is what action,",Department of Defence-Schedule of Special,"tation, the question then is what action,",both,60
"if any, could be taken under section 50 to     CONSTRUCTION OF AUSTRALIAN","if any, could be taken under section 50 to",CONSTRUCTION OF AUSTRALIAN,both,70
"prevent an acquisition which might be          EMBASSY COMPLEX IN JAKARTA,",prevent an acquisition which might be,"EMBASSY COMPLEX IN JAKARTA,",both,71
sociated company. Where the subsidiary                          INDONESIA,sociated company. Where the subsidiary,INDONESIA,both,73
or associated acquiring company is itself       Reference to Public Works Committee,or associated acquiring company is itself,Reference to Public Works Committee,both,74
"a trading, financial or foreign corporation,    Mr BEDDALL (Rankin-Minister for","a trading, financial or foreign corporation,",Mr BEDDALL (Rankin-Minister for,both,75
"action can be taken directly against it,      Small Business and Customs) (9.05)-1","action can be taken directly against it,",Small Business and Customs) (9.05)-1,both,76
with the market positions of all associated   move:,with the market positions of all associated,move:,both,77
"holding or controlling company, taken into      That, in accordance with the provisions of the","holding or controlling company, taken into","That, in accordance with the provisions of the",both,79
"account in determining dominance. How-        Public Works Committee Act 1969, the following",account in determining dominance. How-,"Public Works Committee Act 1969, the following",both,80
ever where the acquisition is by a body       proposed work be referred to the Parliamentary,ever where the acquisition is by a body,proposed work be referred to the Parliamentary,both,81
"corporate that is not a corporation action    Standing Committee on Public Works, for consid-",corporate that is not a corporation action,"Standing Committee on Public Works, for consid-",both,82
cannot be taken against it using the aggre-   eration and report: Construction of an Australian,cannot be taken against it using the aggre-,eration and report: Construction of an Australian,both,83
"gation provisions. The insertion of the       Embassy complex in Jakarta, Indonesia.",gation provisions. The insertion of the,"Embassy complex in Jakarta, Indonesia.",both,84
The proposal to be referred to the Com-,The proposal to be referred to the Com-,NA,both,86
The Government is taking the oppor-         mittee is for the construction of a per-,The Government is taking the oppor-,mittee is for the construction of a per-,both,87
tunity to put forward some other amend-       manent chancery to replace the present,tunity to put forward some other amend-,manent chancery to replace the present,both,88
ments to the section to improve its           inadequate chancery and recreation facil-,ments to the section to improve its,inadequate chancery and recreation facil-,both,89
internal consistency. An infringement         ities. The construction will be on the,internal consistency. An infringement,ities. The construction will be on the,both,90
takes place where as a result of an acqui-    recently acquired site at Jalan Rasuna Said,takes place where as a result of an acqui-,recently acquired site at Jalan Rasuna Said,both,91
