speakerGroups,speaker,theText,pageNumbers,title
0,"An Act To Grant And Apply An Additional Sum Out Of The Consolidated Bevenue Fund For The Service Of The Year Encling The Thirtieth Day Of June, One Thousand Nine Hundred And Forty","four, and to appropriate such sum. COAL MINES PROFITS (WAR-TIME) ACT 1944 (No. 2 OF 1944)An Act to provide for the payment by the Owners of Controlled Coal Mines of Additional Profits which have accrued as a result of the exercise of Control by the Commonwealth Coal Commissioner. COAL PRODUCTION (WAR-TIME) ACT 1944 (No. 1 OF 1944)An Act to secure increased Production of Coal, and to provide for Distribution of Coal, in the interests of the Defence of the Commonwealth and the effectual Prosecution ot"" the present War. and for other purposes. An Aet to amend the Commonwealth Electoral (War-time) Act 1940-1943. An Act to amend the Commonwealth Employees' Compensation Act 1930. An Act to amend the Entertainments Tax Assessment Act 1942. ""ENTERTAINMENTS TAX ACT 1944 (No. 7 OF 1944)An Act to amend the Entertainments Tax Act 1942. 'EXCISE TARIFF REBATE ACT 1944 (No. 21 OF 1944)An Aot to provide for a Rebate of certain Duties of Excise. An Aot to amend the Forestry Bureau Act 1.930-1932. An Act to amend the Income Tax Assessment Act 1936-1943. An Act to grant and apply out of the Consolidated Revenue Fund a sum for Invalid and Old-age Pensions. An Act to amend the Invalid and Old-age Pensions Act 1908-1943. XOAN ACT 1944 (No. 4 OF 1944)An Aot to authorize the Raising and Expending of a certain Sum of Money. ""MATERNITY ALLOWANCE ACT 1.94.4 (No. 12 OF 1944)An Act to amend the Maternity Allowance Act 1912-1943. ""PHARMACEUTICAL BENEFITS ACT 1944 (No. 11 OF 1944)An Aet to make provision for the Supply of Pharmaceutical Benefits. An Aet to appropriate a further sum out of the Consolidated Revenue Fund for the service of the year ended the thirtieth day of June, One thousand nine hundred and forty-three. An Act to appropriate a further sum out of the Consolidated Revenue Fund for the service of the year ended the thirtieth day of June, One thousand nine hundred and forty-thrco, for the purposes of Additions, New AVorks, Buildings, &c. An Act relating to the duration of the Supply and Development Acts 1939. An Aet to grant and apply a sum out of the Consolidated Revenue Fund for the service of the year ending the thirtieth day of June, One thousand nine hundred and forty-five. ""UNEMPLOYMENT AND SICKNESS BENEFITS ACT .1944 (No. 10 OF 1944)An Act to provide for the Payment of Unemployment, Sickness and Special Benefits. W HEAT INDUSTRY (WAR-TIME CONTROL) ACT 1944 (No. 1.9 OF 1944)An Act to amend the Whe-d Industry (War-time Control) Act 1939-1.940. ""WHEAT SUBSIDY ACT 1944 (No. 17 OF 1944)An Act to provide for the Granting of Assistance to Wheat-growers. An Aet to repeal the Wheat Tax (War-time) Act 1940 and the Wheat Tax (War-time) Assessment Act 1940. ""WIDOWS' PENSIONS ACT 1944 (No. 15 OF 1944)An Art to amend the Widows' Pensions Act 1912-1943. (SECOND PEKIOD ). (SECOND PEBIOD.) Passed by both Houses and awaiting a referendum of the people. the Session. Second reading. F.3361 2 Death Of The Honourable Sir George Bell Suspension of Sitting....................................................................................................................................1019 Question Question Question Question Question Question ROAD MAINTENANCE ............................................................................................................................1020 Question Question Question Question Social Services ....................................................................................................................................................1022 Question Question Question Question POST-WAR RECONSTRUCTION.............................................................................................................1023 Question MERCHANDISE IN QUEENSLAND ........................................................................................................1024 Pharmaceutical Benefits Bill 1944 ......................................................................................................................1024 Coal Production (War-time) Bill 1944 ................................................................................................................1024 Coal Mines Profits (War-time) Bill 1944 ............................................................................................................1027 Privileges Committee New Standing Order.....................................................................................................................................1027 Privilege..............................................................................................................................................................1027 Constitution Alteration (Post-war Reconstruction) Bill 1944 Second Reading............................................................................................................................................1027 Adjournment .......................................................................................................................................................1054 Papers..................................................................................................................................................................1059 Answers To Questions Dairying Industry : Releases from Army......................................................................................................1060 Public Service: Travelling Allowances .......................................................................................................1061 Department of Information : London Services .............................................................................................1062 Service Personnel Deferred Pat..................................................................................................................1062 House of Representatives. took the chair at 3 p.m., and read prayers. Minister and Minister for Defence) With, sincere regret I inform honourable members of the death at Burnie on Sunday, the 5th March, of the Honourable Sir George Bell, KCMG., D.S.O., V.D., a former Speaker of this House. dence of the electors of Darwin, Tasmania, for a very longperiod, having been, first elected to the House of Representatives for that division at the general election in 1919. He was defeated at the general election in 1922, but was again elected for the same division at the general elections from 1925 to 1937 inclusive, during which period he held the offices of Chairman of Committees from the 17th. February, 1932, to the 7th August, 1934, and Speaker of the House of Representatives from the 23rd October, 1934, to the 19th November, 1940. He was a member of the Joint Parliamentary Committee on the operations of the'Apple and Pear Marketing Board in 1941. The order of Knight Commander of Saint Michael and Saint George was conferred on him in 1941. At the expiration of the Sixteenth Parliament in September, 1943, he did not seek re-election. great courage and determination, we also knew him to possess a kindly and gentle nature. His outlook was wide and embracing, and his service to his country unselfish and devoted. His occupancy of the office of Speaker of this House for a period of six years was marked hy a wide knowledge and just interpretation of the Standing Orders, a strict sense of impartiality, and a poise and dignity which enhanced the prestige of Parliament. man of courage. This was exemplified, not only in his political life, but also in the. gallant service which he rendered to Tuesday, 7. March, 1944. 1 SIR GEORGE BELL. 1 The late Sir George Bell held the confiWhilst Sir George Bell was a man of I have said that Sir George Bell was a",8,Appropriation Act No 2 1043 4 4 No 22 Of 1944
1,Mr Speaker (Hon. J. & Eosevear),,11,Death Of The Honourable
2,Mr Ctjutin (Fremantle,"Primehis country as a soldier. He served with distinction in the .South African War, holding the rank of captain, being mentioned in despatches and receiving the award of the Distinguished Service Order; also throughout the Great War from 1914 to 1919 in Gallipoli, Egypt and Sinai, as well as with tlie Camel Corps in Palestine. He was awarded the Cross of Saint Michael and Saint George for distinguished services in the field in June, 1917, including participation in the capture of Jerusalem. His promotion to the rank of lieutenantcolonel was gained, together with a mention in despatches, in June, 1917. After the conclusion of the war, Colonel Bell continued his active interest in the Army, being appointed on the 1st July, 1920, to the command of the 3rd Light Horse Regiment, which command he relinquished in June, 1927. I pay tribute to his sterling character, as well as to his outstanding work as a soldier and a legislator. The knowledge of the high esteem and regard in which he was held by his fellow men will, I ti;ust, in some measure comfort his proudly sorrowing family. Those of us who sat in this House under the Speakership of Sir George Bell will remember him, not only with affection, but also with infinite respect. .He' brought to that office the quality of gentleness, yet at the same time exerted a species of intangible discipline which not only contributed to the dignity of the Parliament but, indeed, was also a reflection of his own demeanour towards it. As a citizen, he rendered loyal and devoted service to his country. As a soldier he fought with great gallantry and exhibited exceptional gifts of leadership. I pay tribute to a man who deserved well of the people whom he sought to serve. As a mark of appreciation of his distinguished services to the Commonwealth, tlie deceased gentleman was accorded a State funeral. I move That this House records its sincere regret at the death of the Honourable Sir George John Bell, KCMG., D.S.O.,'V.D., a former member of tlie House of Representatives for the Division George Bell himself is no longer with us. of Darwin and Speaker of the House, places on record its appreciation of his meritorious public service, and tenders its deep sympathy to his widow and the members of his family in their bereavement. the Opposition) -The Opposition supports, with very great regret, the motion submitted by the Prime Minister( Mr Curtin). The right honourable gentleman has spoken of our late friend, George Bell, in such just terms that I hesitate to add very much to what he has said, because to add something might be to subtract something. M'ost of us in this House to-day, and all of us who were in the previous Parliament, knew George Bell very well indeed. To know him was tp have a sincere and a profound affection for him. He seemed to me to have all the great, simple qualities of a good man. He was not a complicated man, but saw things clearly and, I believe, saw them whole. What he believed in, he spoke for with unhesitating honesty. He liked good things: He liked to hear good speeches, and to read the best that had been written in the history of politics and, indeed, in the history of our race. Throughout it all, he had a simple directness and courage which, I believe, everybody must admire to the full-grea t physical courage, great moral courage, and a sort of rugged honesty which, one can well understand, commended him for so long to the people whom he represented. As Speaker of this House for a period of six years, Sir George Bell could clearly count on implicit obedience from all sides, not merely because he was Speaker, but also I venture to believe, because he was George Bell. He was a man who did not rush to conclusions, but gave his judgments with calmness and conspicuous fairness. Even though he might overrule or call one to order, one was convinced that he was discharging his duty in the most attractive and sincere way. He was a great success in the chair and, I consider, in all his public undertakings. There have been few men, if there have been any, in politics in modern times, who have exhibited a clearer patriotism in every thought, and in every act. He set a great example; and our regret on this occasion is that we must speak about that example as something derived from the past, and that Mi"". FADDEN (Darling Downs-Leade r of the Australian Country party) Members of the Australian Country party",11,Death Of The Honourable
3,Mr Menzies (Kooyong,"Leade r ofreverently and sympathetically, associate themselves with the motion. For my own part I feel that I have lost an intimate and dear friend. Sir George Bell was one of the first men I knew, apart from my Queensland friends, when I first came to Canberra, and I grew to like him immensely. In fact, to know him was to esteem him. He was a candid, forthright, trustworthy and honourable gentleman. He was loyalty personified, as far as the party that I was privileged to lead was concerned. His counsel was always wise, and his decisions always firm. His name must be added to the list of distinguished Australians who have served their country on the battlefields against our enemies and in the legislative halls of the nation. Australia is the poorer by his passing. We are consoled, however, by the fact that he has left a memory and an example that we can cherish and always honour. Dame ENID LYONS (Darwin) -It is a melancholy circumstance that during' the life of the present ' Parliament, which is only now in its second period of the opening session, the deaths have occurred of two former members for DarwinMr Whitsitt and Sir George Bell. I knew them both very well indeed. Throughout the years of my childhood, Mr Whitsitt was one of my nearest neighbours, and I think it true to say that even then, while he was still young and active, he was something more to all of us than merely a familiar neighbour and friend. He was already something of a legend, because of his great gift of friendship and his all-embracing charity. Sir George BellI knew much later, but for 25 years he was a very dear friend of myself and my husband. I know that I speak for every one in the district I represent, and particularly those who live in Burnie, when I say that they were very proud of the man who came out from among them, and who at this very hour is being taken to his grave. I know so well the road along which they are passing. I have traversed it so often in years that have gone, sometimes on a happy excursion, sometimes about"" my ordinary business, and sometimes on melancholy pilgrimages such as that to-day. The mourners will turn off to the right just outside the town and go down to the little cemetery. 1 wish that I were with them to-day to join in that last gesture, by all his friends and neighbours, of respect and admiration for a truly great man. He had many qualities of greatness. He had great courage, as has already been said, and great loyalty. He was a very true and admirable husband and father. He was a great servant of the Australian people, but I think that there was one quality above all others that marked him out, that of personal rectitude. I never knew a man who carried with him so much of the suggestion of wearing a shining armour of stainless integrity. It was inescapable and most remarkable, and the more remarkable because there was nothing flamboyant or even spectacular in his character. Throughout the quarter of a century for which he was before the public, never once did the breath of suspicion or scandal touch his name. The men of his district took the words of Sir George Bell as the standard of truth-telling. In this House, although at times many may have questioned his judgment, no one for a moment suspected his motives. I regret his passing more deeply than I can say. To his widow I have no words to express my .sympathy. Those of us who have tasted the bitter waters that she must now quaff can only stand aside in silence, but I hope that, in future, all that has passed in this place to-day may serve to stir some happy memory for her, pnd to comfort her with the knowledge' that in this Parliament, where he laboured so long, he was deeply and greatly revered. ciate myself with the remarks of the Prime Minister( Mr Curtin), the Leader of the Opposition ( Mr Menzies) and other speakers. Sir George Bell had a likable personality and was a man of outstanding character. Full of human understanding, he always respected the views of his opponents, as be. expected his opponents to respect his opinions, which I am sure they did. He had decided views on most subjects, but he was honourable in all of -his dealings. He was a great Australian. As the Prime Minister has remarked, he served his country, both as a soldier",12,Death Of The Honourable
4,Mr Guy (Wilmot) [3.15],"I assoand a citizen. He achieved great distinction in the South African War, and also in the first world war. As one of the representatives of the island State of Tasmania in this Parliament, he won honour for himself and brought credit to the nation. There was not an atom ofbitterness in his makeup, and those who were privileged to come into contact with him were all the better for having done so. I join with honourable members in expressing my kindly thoughts and deepest sympathy to his widow and the other members of the family in the irreparable loss that they have sustained. Question resolved in the affirmative, honourable members standing in their places. Minister and Minister for Defence) As a mark of respect to the memory of ing the identity of the law expert, tlie late Sir George Bell, I move That the sitting of the House be suspended to 5 p.m. Question resolved in the affirmative. Sitting suspended from S.18 to 5 p.m. Government's proposals ? Information read a criticism of the censorship by Sir Keith Murdoch, who, in an article published in the Melbourne Herald, statedTo-day, it is possible to give overseas only a distorted picture of conditions and opinion troops. in Australia. Can the Minister say whether that stateStanley! ment is correct? statement. I have not much time these probably well known to many honourable days to read the drivellings of Sir Keith members. He is a first-class journalist, Murdoch and others of his tribe. The and has a completely impartial mind. I statement is not correct-fa r from it. I have no doubt whatever that an article slialL have a look at what Sir Keith presenting the opposite view on the Murdoch has written, and if I consider referendum proposals has either been that something more should be said about arranged for, or will be arranged for. this anti-Australian newspaper magnate, During the past year, it has been the I shall say it. reports the Prime Minister indicated that opportunity of informing themselves on censorship matters would be discussed national questions, and of discussing at to-day's meeting of the Advisory War them. To that end he has ensured that Council, and that subsequently he would representative views are placed before make a statement to the House. Is the them. I refuse at this stage to believe right honourable gentleman in a position to make a statement on the subject? consultation with the Leader of the Opposition ( Mr Menzies) and the Leader of the Australian Country party ( Mr Fadden), and later this week 1 hope to be abie to comply with the honourable member's request. read an article published in Salt on the 2.8th February last headed "" Constitution Reform"" ? The article makes out a verystrong case for the Government's proposals for the reform of the Constitution. It is anonymous, but was allegedly Minister say, without necessarily discloswhether he is a member of the Government? Will an opportunity be provided to a lawyer equally expert, but holding different views, to have published in the same journal an article opposing the article, but I have some knowledge of the attitude of the editor of Salt to public questions. As the honourable member probably knows, there has been a great improvement in the newspaper Salt, a publication which circulates amongst the practice of the editor of Salt to ensure",13,Death Of The Honourable
5,Mr Curtin (Fremantle,Prime written by a law expert. Can the Prime,14,Constitutio N Alteration Aetiole In Salt
6,Mr Fuller,Has the Minister for,14,Constitutio N Alteration Aetiole In Salt
7,Mr Calwell,I have not read the is now under the control of a man who is,14,Constitutio N Alteration Aetiole In Salt
8,Mr White,According to press that the readers of that journal have an,14,Constitutio N Alteration Aetiole In Salt
9,Mr Curtin,I have had a further,14,Constitutio N Alteration Aetiole In Salt
10,Mr Holt,Has the Prime Minister,14,Constitutio N Alteration Aetiole In Salt
11,Mr Ourtin,I have not seen the,14,Constitutio N Alteration Aetiole In Salt
12,Mr Fadden,Good old Massey,14,Constitutio N Alteration Aetiole In Salt
