text,pageNumbers
"Monday, 27 February 2017",17
"The SPEAKER (Hon. Tony Smith) took the chair at 10:00, made an acknowledgement of",17
country and read prayers.,17
NOTICES,17
Mr SHORTEN (Maribyrnong-Leader of the Opposition) (10:01): I give notice of my,17
private member's bill to protect the penalty rates of Australians.,17
COMMITTEES,17
Petitions Committee,17
Report,17
Mr VASTA (Bonner) (10:01): I present the seventh report of the Standing Committee on,17
Petitions for the 45th Parliament.,17
PETITIONS,17
Mr VASTA (Bonner) (10:01): I present the following nine petitions:,17
Sara Karimi Haghighi,17
To the Honourable the Speaker and Members of the House of Representatives,17
"This petition of: Clergy, staff and parishioners of the Anglican Parish of Christ Church South Yarra",17
[Victoria] and other members of the Anglican Community in Australia and other members of the,17
community Draws to the attention of the House: that the powers ceded to the Minister of Immigration,17
and Border Protection (The Honourable Peter Dutton) by Section 417 of the Migration Act 1958 allow a,17
permanent visa to be granted to: Name: Ms Sara KARIMI HAGHIGHI of South Yarra Vic (redacted,17
"personal information). Sara is a former Muslim who became a Christian in Australia, and was Baptised",17
on 03 November 2013. If she is forced to return to Iran she will be charged with religious proselytizing,17
and committing apostasy. Leaving Islam to embrace any other religion is a capital offense under Islamic,17
law in Iran. She is a member of our church and a devout Christian seeing asylum for religious,17
persecution in Iran.,17
We therefore aske the House to: recommend to the Minister of Immigration and Border Protection,17
(The Honourable Peter Dutton) that a request has been received seeking his intervention has provided,17
"by Section 217 of the Migration Act 1958, and that the House support the request.",17
from 1 citizen,17
Helium Balloons,17
To the Honourable the Speaker and Members of the House of Representatives,17
This petition of concerned Australian citizens draws to the attention of the House: the impact that,17
"released balloons have on birds and marine wildlife in the waterways and oceans of Australia, and the",17
"depletion of helium gas. The majority of balloons are latex, hence they were not included in the Senate",17
"Inquiry into marine plastic pollution, yet they have a similar effect on marine wildlife. Plastic lips and",17
streamers attached to balloons add to the threat. Helium is a non-renewable gas extracted from the,17
"Earth's crust, and vital to many medical and scientific uses. It should not be wasted on frivolous party or",17
imprudent promotional or ceremonial balloon releases. Accidental release occurs far more easily when,17
"balloons are inflated with helium. Across Australia, many individuals, scientists, groups and local",17
"councils are trying to limit the litter and damage caused by balloons. When released, whole, burst or",17
"remnant balloons can travel long distances on both atmospheric and/or ocean currents, across council",18
"and state borders, hence a national prohibition is required. While the marine plastic pollution problem is",18
"huge and diverse, the balloon pollution cause is singular and easily solved.",18
We therefore ask the House to do all in its power to: 1.Prohibit the release of any number of,18
"balloons, and 2. Prohibit the use of helium to inflate balloons in Australia",18
from 2284 citizens,18
Newstart,18
We draw the House's attention to the disincentive to find work represented by the effective tax rate,18
for those on Newstart. If one is on the single rate of Newstart for 52 weeks in the year and earns,18
"between $239.88 and $444.99 per week every week, they are losing 79 cents in the dollar. This consists",18
"of 50 cents lost Newstart, 19 cents income tax and 10 cents Medicare levy. After the first $119 per week",18
they are losing at least 69 cents per dollar until Newstart payments are reduced to zero.,18
Change the taper rate for Newstart and similar payments to be 25 cents in the dollar and the phase in,18
"rate for Medicare to be no more than 4 cents in the dollar, resulting in less than 50 cents effective tax in",18
many cases. This may require the taper to kick in from the first dollar for Newstart to be fair to the,18
taxpayer.,18
from 66 citizens,18
Parental Leave,18
Due to inadequate legal protections for high income employees on parental leave employers are,18
targeting them for dismissal.,18
"Greater legal protection from unfair dismissal, general protections . for employees on parental leave,",18
regardless of income or gender.,18
from 15 citizens,18
Former Member Entitlements,18
It is accepted that once you are no longer employed for a role that you no longer receive any,18
"payments from that employer that should extend to ALL Australians, including members of Parliament.",18
"I have received 197,831 supporters from a Change.org petition (https://www.change.org/p/house-ofMONICA",18
representatives-stop-payments-for-non-currently-serving-politicians) only I have been told the format is,18
incorrect. This will replace that petition.,18
I seek to have removed ALL payments being paid to ALL past Members of Parliament. Once they,18
"no longer hold their seat, they shall no longer be entitled to ANY payment from the Federal",18
Government.,18
from 8356 citizens,18
Data matching compliance,18
Requesting that the House Suspend the data matching compliance system due to the reported errors,18
with the system. Not all the debts have been proven nor have customers received the original review,18
notifications. Compliance issues only being able to be dealt with online due to no other method,18
available. That due to issues with the online customer portal accessing accounts has been made difficult.,18
A loss of faith in the processes employed by government agencies. Charging customers interest on debts,18
due when a clear and fair process has not been implemented.,18
We therefore ask the House to consider each of the reasons carefully and understand that the impact,18
this is having on the citizens of Australia. Due to the large amount of claims Centrelink has to deal with,18
that the customer has a clear process for having that decision reviewed according to law. To suspend all,18
automation of the notifications and investigate any errors in the system.,18
from 1019 citizens,19
Pensions,19
"That, in light of the current controversy regarding ""welfare bludgers' and their tiny incomes, current",19
and former Members of Parliament rescind their rights to excessive retirement pensions and benefits,19
and apply for pension support from Centrelink in retirement in line with the majority of Australians,19
We therefore ask the House to act against its own best interests to rescind Parliamentary pensions,19
and to financially align them with those of the large majority of ageing Australians who barely manage,19
to survive week-to-week. We also ask the House to consider that an individuals election to Parliament is,19
"just ""another job"", and as such should not be subject to ""eminent privilege"", given that so few",19
"Parliamentarians are actually ""better"" than the rest of us and are indeed, common people.",19
from 770 citizens,19
Refugees,19
"This petition from Rural Australians for Refugees and Certain Citizens of Australia, draws to the",19
"attention of the House, the deplorable treatment of refugees seeking asylum in Australia.",19
"We therefore ask the House to: 1. Immediately close onshore and offshore detention centres, and",19
bring people seeking asylum at offshore detention centres to the mainland where all asylum claims will,19
be heard in a timely manner and with justice and compassion. 2. Reinstate into the Migration Zone the,19
Australian mainland and all other Australian territories that have been excised from Australia's,19
"Migration Zone. 3. Permanently resettle in Australia people who have sought asylum in Australia, who",19
"arrived by boat without authorization, and are found to be refugees under the UN Refugee Convention.",19
"4. Permit the right to apply for family reunion once people are recognized as refugees, with family",19
"reunions achieved in a timely manner. 5. Increase intake of refugees on the humanitarian visa to 50,000",19
per year. 6.Exercise a duty of care to ensure that people seeking asylum are not pressured to sign,19
documents to return to their home countries against their will when they have a genuine fear of,19
persecution and death.,19
from 157 citizens,19
Returned Services Entitlements,19
Requesting that returned service men & women are entitled to government housing when receiving,19
veterans pension as at this point they have no entitlement,19
So many of these men and women have given so much for this country they should automatically be,19
eligible for housing we the people ask that the house do all they can to fix this issue and adjust housing,19
eligibility for veterans,19
from 306 citizens,19
Petitions received.,19
PETITIONS,19
Responses,19
Mr VASTA (Bonner) (10:01): I present the following 11 ministerial responses to petitions,19
previously presented:,19
Royal Commission into Institutional Responses to Child Sexual Abuse,19
Dear Mr Vasta,19
"I refer to a letter from your predecessor, Dr Dennis Jensen MP, dated 5 May 2016 to the AttorneyMONICA",19
General regarding a petition submitted by Mr Vincent Alexander Charles Tough to the Standing,19
Committee on Petitions (#1144/1651). The letter was referred to the Prime Minister and he has asked,20
me to reply on his behalf. I regret the delay in responding.,20
"Last week on Friday 4 November 2016, the Minister for Social Services, the Hon Christian Porter",20
"MP, announced the Commonwealth Government would establish a redress scheme for survivors of",20
child sexual abuse in Commonwealth institutional settings. The Minister also announced an,20
independent advisory council would support the Government's design and implementation of the,20
"scheme. The council will bring together a broad group of specialists, including survivor groups, legal",20
and psychological experts.,20
"If he hasn't already, Mr Tough may wish to make a submission to the Royal Commission into",20
"Institutional Responses to Child Sexual Abuse, via www.childabuseroyalcommission.gov.au.",20
"from the Assistant Minister to the Prime Minister, Senator MCGrath",20
Department of Human Services: Service Centres,20
Dear Mr Vasta,20
Thank you for your letter of 12 October 2016 seeking my response to a petition raised by residents in,20
the Electorate of Shortland on the decision to consolidate Service Centres in New South Wales.,20
The Government is committed to offering more one-stop-shops for Department of Human Services',20
"(the Department) customers. Since 2009, over 200 one-stop shops have been established to offer both",20
"Medicare and Centrelink services from the one location, providing convenient, easy-to-access,",20
coordinated services from a single point.,20
"As property leases come up for renewal, the Department takes the opportunity to review service",20
options to ensure the service delivering setting is meeting the needs of the community and achieving the,20
best outcomes for taxpayer resources.,20
"Before any services are brought together, the Department assesses the need and location for a service",20
centre operating as a One-Stop Shop and considers many factors including;,20
 customer amenities,20
 availability and flexibility of accommodation,20
 demand for services in the community,20
 proximity of existing portfolio sites,20
 access to services through other channels,20
 capacity at each site,20
 local knowledge; and,20
 property commitments.,20
The Department engages with the local community for any changes to service delivery via,20
"community groups, local providers, direct customer contact, in-house communication products and",20
local media.,20
"As part of the community consultation for the Belmont Service Centre, federal and state members of",20
parliament and local council representatives were contacted to communicate upcoming changes to,20
service delivery arrangements. Staff from the Belmont and Charlestown Service Centres also embarked,20
on an intensive community engagement strategy to communicate the change to local community and,20
stakeholders.,20
The Belmont Service Centre was offering Medicare Services with limited Centrelink services. Since,20
"Co-location, the Charlestown Service Centre offers the full suite of both Medicare and Centrelink face",20
to face services to the community.,20
"The Charlestown Service Centre is located near two shopping centres, provides convenient car",21
"parking and public transport options for customers, including those travelling from Belmont, with the",21
bus stop 500m from the Service Centre. The Department is also co-located with the National Disability,21
"Insurance Agency (NDIA) at Hilltop Plaza across the road from the Charlestown Service Centre, with",21
this site also providing a full range of Medicare services.,21
The Department gives customers a variety of options when managing Medicare claims and,21
Centrelink business. The Charlestown Service Centre has expert staff to serve customers face-to-face,21
and help them access self-service facilities to manage their business online.,21
"Residents in and around Belmont, and across Australia, can also choose to access Medicare services",21
without having to visit an office. The easiest way to claim a Medicare rebate is at the doctor's.,21
"Nationally, more than 96 per cent of all Medicare claims are lodged digitally, the majority at the point",21
of service. A range of Medicare services can also be accessed through the internet. For claims that are,21
"lodged online, the benefit is paid into the claimant's nominated bank account usually on the same",21
business day.,21
The Department also has a number of smart phone applications to assist people to conveniently,21
"conduct their business. Information about the Medicare Express Plus App, as well as how to register for",21
"Online Services through the myGov portal, is available on the Department's website at",21
www.humanservices.gov.au/selfservice.,21
Centrelink services are also available through the myGov portal which can be found at:,21
http://www.humanservices.gov.aukustomer/subjects/self-service.,21
"from the Minister for Human Services, Mr Tudge",21
Persecution of Christians in the Middle East,21
Dear Mr Vasta,21
"Thank you for your correspondence of 12 October 2016 enclosing Petition 1167/1676, concerning",21
persecuted Christians in the Middle East. I note that this petition has also been referred to the Minister,21
