year, HoR PDFs 					 , Senate sitting days  		  , HoR sitting days  			 , HoR difference
1902, 106                        , 93                             , 107                          , 1
1908, 93                         , 84                             , 91                           , -2
1909, 97                         , 71                             , 98                           , 1
1918, 87                         , 68                             , 86                           , -1
1920, 113                        , 76                             , 114                          , 1
1921, 92                         , 79                             , 93                           , 1
1934, 36                         , 22                             , 35                           , -1
1935, 54                         , 37                             , 55                           , 1
1942, 44                         , 36                             , 45                           , 1
1948, 89                         , 39                             , 90                           , 1
1951, 55                         , 40                             , 56                           , 1
1955, 53                         , 36                             , 52                           , -1
1974, 64                         , 64                             , 62                           , -2
1985, 65                         , 74                             , 66                           , 1
1991, 66                         , 83                             , 67                           , 1
1992, 60                         , 76                             , 44                           , -16
1993, 47                         , 53                             , 46                           , -1
1994, 69                         , 80                             , 68                           , -1
1995, 71                         , 78                             , 70                           , -1
1997, 79                         , 82                             , 76                           , -3
1998, 56                         , 57                             , 54                           , -2
2000, 71                         , 71                             , 73                           , 2
2002, 68                         , 60                             , 69                           , 1
2003, 74                         , 64                             , 75                           , 1
2004, 58                         , 49                             , 59                           , 1
2012, 63                         , 57                             , 67                           , 4
