Parliament        , House                     , Years used  , Number of records
Commonwealth      , House of Representatives  , 1901 - 2017 , 7873
                  , Senate                    , 1901 - 2017 , TBD
Queensland        , Legislative Assembly      , 1860 - 2017 , 9699
                  , Legislative Council       , 1860 - 1922 , 4156
New South Wales   , Legislative Assembly  	  , 1879 - 2017 , 8903
                  , Legislative Council       , 1879 - 2017 , 6463
Victoria          , Legislative Assembly      , 1856 - 2017 , -
                  , Legislative Council       , 1851 - 2017 , -
Tasmania          , House of Assembly         , 1971 - 2017 , TBD
                  , Legislative Council       , 1971 - 2017 , TBD
South Australia   , House of Assembly         , 1992 - 2017 , TBD
                  , Legislative Council       , 1992 - 2017 , TBD
Western Australia , Legislative Assembly      , 1890 - 2017 , 5977
                  , Legislative Council       , 1870 - 2017 , 5725
