uniqueID,division,state,electionDate,electionDay,electionMonth,electionYear,byElection,reasonCeasedToBeMember,changedSeat,ceasedToBeMemberDate,ceasedToBeMemberYear,ceasedToBeMemberMonth,ceasedToBeMemberDay,Comment
abbotttony1994,Warringah,NSW,1994-03-26,26,3,1994,Yes,NA,NA,NA,NA,NA,NA,NA
abbottcharles1925,Gwydir,NSW,1925-11-14,14,11,1925,No,Defeated,NA,1929-10-12,1929,10,12,NA
abbottcharles1925,Gwydir,NSW,1931-12-19,19,12,1931,No,Resigned,NA,1937-03-28,1937,3,28,NA
abbottjoseph1940,New England,NSW,1940-09-21,21,9,1940,No,Retired,NA,1949-10-31,1949,10,31,NA
abbottpercy1913,New England,NSW,1913-05-31,31,5,1913,No,Retired,NA,1919-11-03,1919,11,3,NA
abeljohn1975,Evans,NSW,1975-12-13,13,12,1975,No,Retired,NA,1977-11-10,1977,11,10,NA
adamsdick1993,Lyons,TAS,1993-03-13,13,3,1993,No,Defeated,NA,2013-09-07,2013,9,7,NA
adermannevan1972,Fisher,QLD,1972-12-02,2,12,1972,No,Until elected for Fairfax,1,1984-12-01,1984,12,1,NA
adermannevan1972,Fairfax,QLD,1984-12-01,1,12,1984,No,Retired,NA,1990-02-19,1990,2,19,NA
adermanncharles1943,Maranoa,QLD,1943-08-21,21,8,1943,No,Until elected for Fisher,1,1949-12-10,1949,12,10,NA
adermanncharles1943,Fisher,QLD,1949-12-10,10,12,1949,No,Retired,NA,1972-11-02,1972,11,2,NA
aherncornelius1913,Indi,VIC,1913-05-31,31,5,1913,No,Defeated,NA,1914-09-05,1914,9,5,NA
albaneseanthony1996,Grayndler,NSW,1996-03-02,2,3,1996,No,NA,NA,NA,NA,NA,NA,NA
aldredken1975,Henty,VIC,1975-12-13,13,12,1975,No,Defeated,NA,1980-10-18,1980,10,18,NA
aldredken1975,Bruce,VIC,1983-05-28,28,5,1983,Yes,Until elected for Deakin,1,1990-03-24,1990,3,24,NA
aldredken1975,Deakin,VIC,1990-03-24,24,3,1990,No,Retired,NA,1996-01-29,1996,1,29,NA
alexanderjohn2010,Bennelong,NSW,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
allanarchibald1953,Gwydir,NSW,1953-12-19,19,12,1953,Yes,Resigned,NA,1969-04-30,1969,4,30,NA
alyanne2016,Cowan,WA,2016-07-02,2,7,2016,No,NA,NA,NA,NA,NA,NA,NA
andersoncharles1949,Hume,NSW,1949-12-10,10,12,1949,No,Defeated,NA,1951-04-28,1951,4,28,NA
andersoncharles1949,Hume,NSW,1955-12-10,10,12,1955,No,Defeated,NA,1961-12-09,1961,12,9,NA
andersongordon1949,Kingsford-Smith,NSW,1949-12-10,10,12,1949,No,Retired,NA,1955-11-04,1955,11,4,Same as Kingsford Smith - name was changed in 2001
andersonjohn1989,Gwydir,NSW,1989-04-15,15,4,1989,Yes,Retired,NA,2007-10-17,2007,10,17,NA
andrenpeter1996,Calare,NSW,1996-03-02,2,3,1996,No,Retired,NA,2007-10-17,2007,10,17,NA
andrewjohn1983,Wakefield,SA,1983-03-05,5,3,1983,No,Retired,NA,2004-08-31,2004,8,31,NA
andrewskaren2010,McPherson,QLD,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
andrewskevin1991,Menzies,VIC,1991-05-11,11,5,1991,Yes,NA,NA,NA,NA,NA,NA,NA
andrewsthomas1949,Darebin,VIC,1949-12-10,10,12,1949,No,Defeated,NA,1955-12-10,1955,12,10,NA
ansteyfrank1910,Bourke,VIC,1910-04-13,13,4,1910,No,Retired,NA,1934-08-07,1934,8,7,NA
anthonyhubert1937,Richmond,NSW,1937-10-23,23,10,1937,No,Died,NA,1957-07-12,1957,7,12,NA
anthonydoug1957,Richmond,NSW,1957-09-14,14,9,1957,Yes,Resigned,NA,1984-01-18,1984,1,18,NA
anthonylawrence1996,Richmond,NSW,1996-03-02,2,3,1996,No,Defeated,NA,2004-10-09,2004,10,9,NA
archeredward1906,Capricornia,QLD,1906-12-12,12,12,1906,No,Defeated,NA,1910-04-13,1910,4,13,NA
archibaldwilliam1910,Hindmarsh,SA,1910-04-13,13,4,1910,No,Defeated,NA,1919-12-13,1919,12,13,NA
armitagejohn1961,Mitchell,NSW,1961-12-09,9,12,1961,No,Defeated,NA,1963-11-30,1963,11,30,NA
armitagejohn1961,Chifley,NSW,1969-10-25,25,10,1969,No,Retired,NA,1983-02-04,1983,2,4,NA
armstrongadam1965,Riverina,NSW,1965-02-27,27,2,1965,Yes,Defeated,NA,1969-10-25,1969,10,25,NA
arthurjohn1913,Bendigo,VIC,1913-05-31,31,5,1913,No,Died,NA,1914-12-09,1914,12,9,NA
arthurwilliam1966,Barton,NSW,1966-11-26,26,11,1966,No,Defeated,NA,1969-10-25,1969,10,25,NA
ashleybrownalfred1972,Mitchell,NSW,1972-12-02,2,12,1972,No,Defeated,NA,1974-05-18,1974,5,18,NA
astonwilliam1955,Phillip,NSW,1955-12-10,10,12,1955,No,Defeated,NA,1961-12-09,1961,12,9,NA
astonwilliam1955,Phillip,NSW,1963-11-30,30,11,1963,No,Defeated,NA,1972-12-02,1972,12,2,NA
atkinsonllewellyn1906,Wilmot,TAS,1906-12-12,12,12,1906,No,Defeated,NA,1929-10-12,1929,10,12,NA
atkinsonrodney1990,Isaacs,VIC,1990-03-24,24,3,1990,No,Defeated,NA,1996-03-02,1996,3,2,NA
badmanalbert1937,Grey,SA,1937-10-23,23,10,1937,No,Defeated,NA,1943-08-21,1943,8,21,NA
baileyfran1990,McEwen,VIC,1990-03-24,24,3,1990,No,Defeated,NA,1993-03-13,1993,3,13,NA
baileyfran1990,McEwen,VIC,1996-03-02,2,3,1996,No,Retired,NA,2010-07-19,2010,7,19,NA
baillieumarshall1975,La Trobe,VIC,1975-12-13,13,12,1975,No,Defeated,NA,1980-10-18,1980,10,18,NA
bairdbruce1998,Cook,NSW,1998-10-03,3,10,1998,No,Retired,NA,2007-10-17,2007,10,17,NA
bakerfrancismatthew1931,Oxley,QLD,1931-12-19,19,12,1931,No,Until elected for Griffith,1,1934-09-15,1934,9,15,NA
bakerfrancismatthew1931,Griffith,QLD,1934-09-15,15,9,1934,No,Died,NA,1939-03-28,1939,3,28,NA
bakerfrancispatrick1940,Maranoa,QLD,1940-09-21,21,9,1940,No,Defeated,NA,1943-08-21,1943,8,21,NA
bakermark2004,Braddon,TAS,2004-10-09,9,10,2004,No,Defeated,NA,2007-11-24,2007,11,24,NA
baldwinpeter1983,Sydney,NSW,1983-03-05,5,3,1983,No,Retired,NA,1998-08-31,1998,8,31,NA
baldwinbob1996,Paterson,NSW,1996-03-02,2,3,1996,No,Defeated,NA,1998-10-03,1998,10,3,NA
baldwinbob1996,Paterson,NSW,2001-11-10,10,11,2001,No,Retired,NA,2016-05-09,2016,5,9,NA
bamfordfrederick1901,Herbert,QLD,1901-03-30,30,3,1901,No,Retired,NA,1925-10-03,1925,10,3,NA
bandidthenry1958,Wide Bay,QLD,1958-11-22,22,11,1958,No,Defeated,NA,1961-12-09,1961,12,9,NA
bandtadam2010,Melbourne,VIC,2010-08-21,21,8,2010,No,NA,NA,NA,NA,NA,NA,NA
banksjulia2016,Chisholm,VIC,2016-07-02,2,7,2016,No,NA,NA,NA,NA,NA,NA,NA
barnardherbert1934,Bass,TAS,1934-09-15,15,9,1934,No,Defeated,NA,1949-12-10,1949,12,10,NA
barnardlance1954,Bass,TAS,1954-05-29,29,5,1954,No,Resigned,NA,1975-06-02,1975,6,2,NA
barnescharles1958,McPherson,QLD,1958-11-22,22,11,1958,No,Retired,NA,1972-11-02,1972,11,2,NA
barresiphillip1996,Deakin,VIC,1996-03-02,2,3,1996,No,Defeated,NA,2007-11-24,2007,11,24,NA
bartlettkerry1996,Macquarie,NSW,1996-03-02,2,3,1996,No,Defeated,NA,2007-11-24,2007,11,24,NA
bartonedmund1901,Hunter,NSW,1901-03-29,29,3,1901,No,Resigned,NA,1903-09-30,1903,9,30,NA
barwickgarfield1958,Parramatta,NSW,1958-03-08,8,3,1958,Yes,Resigned,NA,1964-04-24,1964,4,24,NA
batcheloregerton1901,South Australia,SA,1901-03-30,30,3,1901,No,Until elected for Boothby,1,1903-12-16,1903,12,16,NA
batcheloregerton1901,Boothby,SA,1903-12-16,16,12,1903,No,Died,NA,1911-10-08,1911,10,8,NA
batejeff1949,Macarthur,NSW,1949-12-10,10,12,1949,No,Defeated,NA,1972-12-02,1972,12,2,NA
baumemichael1975,Macarthur,NSW,1975-12-13,13,12,1975,No,Defeated,NA,1983-03-05,1983,3,5,NA
bayleyjames1917,Oxley,QLD,1917-05-05,5,5,1917,No,Defeated,NA,1931-12-19,1931,12,19,NA
bealejulian1984,Deakin,VIC,1984-12-01,1,12,1984,No,Until elected for Bruce,1,1990-03-24,1990,3,24,NA
bealejulian1984,Bruce,VIC,1990-03-24,24,3,1990,No,Defeated,NA,1996-03-02,1996,3,2,NA
bealeoliver1946,Parramatta,NSW,1946-09-28,28,9,1946,No,Resigned,NA,1958-02-10,1958,2,10,NA
beardhenry1910,Batman,VIC,1910-04-13,13,4,1910,No,Died,NA,1910-12-18,1910,12,18,NA
beasleyjohn1928,West Sydney,NSW,1928-11-17,17,11,1928,No,Resigned,NA,1946-08-14,1946,8,14,NA
beatonnoel1960,Bendigo,VIC,1960-07-16,16,7,1960,Yes,Resigned,NA,1969-04-09,1969,4,9,NA
beazleykim1980,Swan,WA,1980-10-18,18,10,1980,No,Until elected for Brand,1,1996-03-02,1996,3,2,NA
beazleykim1980,Brand,WA,1996-03-02,2,3,1996,No,Retired,NA,2007-10-17,2007,10,17,NA
beazleykim1945,Fremantle,WA,1945-08-18,18,8,1945,Yes,Retired,NA,1977-11-10,1977,11,10,NA
beckarthur1940,Denison,TAS,1940-09-21,21,9,1940,No,Defeated,NA,1943-08-21,1943,8,21,NA
beddalldavid1983,Fadden,QLD,1983-03-05,5,3,1983,No,Until elected for Rankin,1,1984-12-01,1984,12,1,NA
beddalldavid1983,Rankin,QLD,1984-12-01,1,12,1984,No,Retired,NA,1998-08-31,1998,8,31,NA
bellgeorge1919,Darwin,TAS,1919-12-13,13,12,1919,No,Defeated,NA,1922-12-16,1922,12,16,Name of Darwin electorate changed to Braddon by resolution of Parliament following the redistribution of electoral boundaries 1955.
