uniqueID,surname,allOtherNames,firstName,commonName,earlierOrLaterNames,title,gender,birthDate,birthYear,birthMonth,birthDay,deathDate,deathYear,deathMonth,deathDay,comments,wikipedia,adb
abbotttony1994,Abbott,Anthony John,Anthony,Tony,NA,NA,male,1957-11-04,1957,11,4,NA,NA,NA,NA,NA,NA,NA
abbottcharles1925,Abbott,Charles Lydiard Aubrey,Charles,NA,NA,NA,male,1886-01-04,1886,1,4,1975-04-30,1975,4,30,NA,NA,NA
abbottjoseph1940,Abbott,Joseph Palmer,Joseph,NA,NA,NA,male,1891-10-18,1891,10,18,1965-05-07,1965,5,7,NA,NA,NA
abbottpercy1913,Abbott,Percy Phipps,Percy,NA,NA,NA,male,1869-05-14,1869,5,14,1940-09-09,1940,9,9,NA,https://en.wikipedia.org/wiki/Percy_Abbott_(Australian_politician),NA
abeljohn1975,Abel,John Arthur,John,NA,NA,NA,male,1939-06-25,1939,6,25,NA,NA,NA,NA,NA,NA,NA
adamsdick1993,Adams,Dick Godfrey Harry,Dick,NA,NA,NA,male,1951-04-29,1951,4,29,NA,NA,NA,NA,NA,NA,NA
adermannevan1972,Adermann,Albert Evan,Albert,Evan,NA,NA,male,1927-03-10,1927,3,10,2001-11-03,2001,11,3,NA,NA,NA
adermanncharles1943,Adermann,Charles Frederick,Charles,NA,Later Sir Charles,NA,male,1896-08-03,1896,8,3,1979-05-09,1979,5,9,NA,NA,NA
aherncornelius1913,Ahern,Cornelius Joseph,Cornelius,NA,NA,NA,male,1871-07-10,1871,7,10,1955-07-10,1955,7,10,NA,NA,NA
albaneseanthony1996,Albanese,Anthony Norman,Anthony,NA,NA,NA,male,1963-03-02,1963,3,2,NA,NA,NA,NA,NA,NA,NA
aldredken1975,Aldred,Kenneth James,Kenneth,Ken,NA,NA,male,1945-08-01,1945,8,1,NA,NA,NA,NA,NA,NA,NA
alexanderjohn2010,Alexander,John Gilbert,John,NA,NA,NA,male,1951-07-04,1951,7,4,NA,NA,NA,NA,NA,NA,NA
allanarchibald1953,Allan,Archibald Ian,Archibald,NA,NA,NA,male,1916-01-03,1916,1,3,2000-02-13,2000,2,13,NA,NA,NA
alyanne2016,Aly,Anne,Anne,NA,NA,Dr,female,1967-03-29,1967,3,29,NA,NA,NA,NA,NA,NA,NA
andersoncharles1949,Anderson,Charles Groves Wright,Charles,NA,NA,NA,male,1897-02-12,1897,2,12,1988-11-11,1988,11,11,NA,NA,NA
