uniqueID,party,partyFrom,partyTo,comment
abbotttony1994,LIB,1994-03-26,NA,NA
abbottcharles1925,CP,1925-11-14,1937-03-28,NA
abbottjoseph1940,CP,1940-09-21,1949-10-31,NA
abbottpercy1913,LIB,1913-05-31,1917-02-17,NA
abbottpercy1913,NAT,1917-02-17,1919-11-03,NA
abeljohn1975,LIB,1975-12-13,1977-11-10,NA
adamsdick1993,ALP,1993-03-13,2013-09-07,NA
adermannevan1972,CP,1972-12-02,1975-05-01,NA
adermannevan1972,NCP,1975-05-01,1982-10-01,NA
adermannevan1972,NPA,1982-10-01,1990-02-19,NA
adermanncharles1943,CP,1943-08-21,1972-11-02,NA
aherncornelius1913,LIB,1913-05-31,1914-09-05,NA
albaneseanthony1996,ALP,1996-03-02,NA,NA
aldredken1975,LIB,1975-12-13,1996-01-29,NA
alexanderjohn2010,LIB,2010-08-21,NA,NA
allanarchibald1953,CP,1953-12-19,1969-04-30,NA
alyanne2016,ALP,2016-07-02,NA,NA
andersoncharles1949,CP,1949-12-10,1961-12-09,NA
andersongordon1949,ALP,1949-12-10,1955-11-04,NA
andersonjohn1989,NPA,1989-04-15,2003-10-01,NA
andersonjohn1989,NP,2003-10-01,2007-10-17,NA
andrenpeter1996,IND,1996-03-02,2007-10-17,NA
andrewjohn1983,LIB,1983-03-05,2004-08-31,NA
andrewskaren2010,LIB,2010-08-21,NA,NA
andrewskevin1991,LIB,1991-05-11,NA,NA
andrewsthomas1949,ALP,1949-12-10,1955-04-01,NA
andrewsthomas1949,ALP (A-C),1955-04-01,1955-12-10,NA
ansteyfrank1910,ALP,1910-04-13,1931-01-01,NA
ansteyfrank1910,FLP,1931-01-01,1934-08-07,NA
anthonyhubert1937,CP,1937-10-23,1957-07-12,NA
anthonydoug1957,CP,1957-09-14,1975-05-01,NA
anthonydoug1957,NCP,1975-05-01,1982-10-01,NA
anthonydoug1957,NPA,1982-10-01,1984-01-18,NA
anthonylawrence1996,NPA,1996-03-02,2003-10-01,NA
anthonylawrence1996,NP,2003-10-01,2004-10-09,NA
archeredward1906,ANTI-SOC,1906-12-12,1910-04-13,NA
archibaldwilliam1910,ALP,1910-04-13,1917-02-17,NA
archibaldwilliam1910,NAT,1917-02-17,1919-12-13,NA
armitagejohn1961,ALP,1961-12-09,1983-02-04,NA
armstrongadam1965,CP,1965-02-27,1969-10-25,NA
arthurjohn1913,ALP,1913-05-31,1914-12-09,NA
arthurwilliam1966,LIB,1966-11-26,1969-10-25,NA
ashleybrownalfred1972,ALP,1972-12-02,1974-05-18,NA
astonwilliam1955,LIB,1955-12-10,1972-12-02,NA
atkinsonllewellyn1906,ANTI-SOC,1906-12-12,1910-01-01,NA
atkinsonllewellyn1906,LIB,1910-01-01,1917-02-17,NA
atkinsonllewellyn1906,NAT,1917-02-17,1923-01-01,NA
atkinsonllewellyn1906,CP,1923-01-01,1925-01-01,NA
atkinsonllewellyn1906,NAT,1925-01-01,1929-10-12,NA
atkinsonrodney1990,LIB,1990-03-24,1996-03-02,NA
badmanalbert1937,UAP,1937-10-23,1940-01-01,NA
badmanalbert1937,CP,1940-01-01,1943-08-21,NA
baileyfran1990,LIB,1990-03-24,2010-07-19,NA
baillieumarshall1975,LIB,1975-12-13,1980-10-18,NA
bairdbruce1998,LIB,1998-10-03,2007-10-17,NA
bakerfrancismatthew1931,FLP,1931-12-19,1939-03-28,NA
bakerfrancispatrick1940,ALP,1940-09-21,1943-08-21,NA
bakermark2004,LIB,2004-10-09,2007-11-24,NA
baldwinpeter1983,ALP,1983-03-05,1998-08-31,NA
