sitting,topic,gov,median,upper,lower
1,1,1,-1.0503792352720298,-0.8230417971472928,-1.2685070837200088
1,2,1,-1.6700510309891934,-1.4519462074064673,-1.896017716818682
1,3,1,-1.9437757937123825,-1.725855296233178,-2.1577993714997725
1,4,1,-1.07013713207298,-0.831216115787288,-1.2998306091402692
1,5,1,-0.7859502162463476,-0.5526702166974354,-1.0162468474492432
1,6,1,-1.9637543513441564,-1.739115131479489,-2.1873898769080946
1,7,1,-2.0255939727257664,-1.7973625774635509,-2.2500599792858353
1,8,1,-1.5209332155054764,-1.3012650237113794,-1.7409410434069417
1,9,1,-1.791776982167686,-1.5749216886265556,-2.0062733507285215
1,10,1,-1.6810000201760387,-1.4641861527331637,-1.9024666783133943
1,11,1,-0.9232309069002105,-0.6980331441507625,-1.1491173614433894
1,12,1,-1.7909851381178794,-1.5661017461340636,-2.0116318149513095
1,13,1,-1.5711717323100198,-1.356931464944685,-1.7865209402686162
1,14,1,-0.5757196421653376,-0.35592377180789014,-0.8001686274572626
1,15,1,-1.2987840868199787,-1.0811747009682864,-1.5152648114535894
1,16,1,-1.7593974142536186,-1.5295284140881515,-1.9822512430966472
1,17,1,-0.14364907490672205,0.09114242693234283,-0.37449199224177077
1,18,1,-1.2216609693652023,-1.0009395658714988,-1.4448357946045838
2,1,1,-0.995037551023584,-0.795001080144698,-1.199113251117081
2,2,1,-1.661325724078201,-1.4632125292855351,-1.8564619559308255
2,3,1,-1.9671136552279291,-1.773858705831053,-2.163425294281674
2,4,1,-1.1119204269206655,-0.9177261886537925,-1.3114781035830296
2,5,1,-0.6977155108179796,-0.4851225043879401,-0.9066833810540558
2,6,1,-1.9773435122384893,-1.7797969011891848,-2.1731037883555455
2,7,1,-2.050136827532673,-1.8555092009198175,-2.252142361401914
2,8,1,-1.5466604700943227,-1.3484969344150899,-1.7461830544661574
2,9,1,-1.8036320726611308,-1.6052777488917864,-1.9947052626183746
2,10,1,-1.7053863087129983,-1.5102637280232982,-1.8985752202879125
2,11,1,-0.9478374211736645,-0.7439106419018318,-1.1540193121417743
2,12,1,-1.7904128649579487,-1.5908835800492909,-1.987525290400648
2,13,1,-1.5984022064159602,-1.4025181812031469,-1.7980127813560893
2,14,1,-0.5206156782905096,-0.3244856595090621,-0.7211464343432503
2,15,1,-1.320258202344243,-1.1250650132071367,-1.5245641213738137
2,16,1,-1.8041327779293452,-1.602540973621274,-2.0097852703914705
2,17,1,-0.30114380999661994,-0.10931116363233075,-0.4912497624549382
2,18,1,-1.2306781843884051,-1.0392286730316544,-1.4282370096006685
3,1,1,-1.0714266383631998,-0.8924288919043804,-1.2679576285611178
3,2,1,-1.680835328902066,-1.4817862283884915,-1.8777694512125094
3,3,1,-1.9677724489240465,-1.7703856776242444,-2.1650816144069123
3,4,1,-1.0857690194831782,-0.8890243443340983,-1.2903532628051753
3,5,1,-0.7693261644345488,-0.5750984686904118,-0.9676815222227286
3,6,1,-1.996237944917804,-1.7910136451185525,-2.1934305342039337
3,7,1,-2.0600800789791567,-1.8641965082955838,-2.2602058149011284
3,8,1,-1.5649945359067332,-1.3684800827029129,-1.7612842502149524
3,9,1,-1.8257661318211342,-1.6336040062425434,-2.0184905650464646
3,10,1,-1.6937806764515249,-1.5032502398121688,-1.8960748426566796
3,11,1,-0.9154826431057796,-0.7173647451812744,-1.1221033785364407
3,12,1,-1.843036431380895,-1.654251222115919,-2.0435502162383017
3,13,1,-1.6151479520509469,-1.425546512247798,-1.8074278687176237
3,14,1,-0.5252311258968207,-0.3301832547285637,-0.7272673505365712
3,15,1,-1.2594121059007597,-1.0666917551114339,-1.4589541674380686
3,16,1,-1.8092368833915744,-1.6123137701647872,-2.0089904629531277
3,17,1,-0.25294411171395514,-0.06065122085303266,-0.4417553812628487
3,18,1,-1.250646357508904,-1.061960598076162,-1.452429493004698
4,1,1,-1.1209402536336648,-0.9347233056831501,-1.3153392658484058
4,2,1,-1.6805317075129453,-1.4792588127305963,-1.8779336707433454
4,3,1,-1.9645005355859895,-1.7735185726895037,-2.1637617047608404
4,4,1,-1.1367009392891467,-0.9384592077195598,-1.326572907117954
4,5,1,-0.8235654174307964,-0.630646734999126,-1.0207772577632075
4,6,1,-1.9772975448098475,-1.7815660338925898,-2.172284166062238
4,7,1,-2.0376579337441525,-1.8422806446393585,-2.2350693313619514
4,8,1,-1.5409780343611925,-1.3416369921307212,-1.738827764386487
4,9,1,-1.790095770769124,-1.5967783406474967,-1.9839659185577483
4,10,1,-1.6850257140988818,-1.4874258047319442,-1.8833546361596978
4,11,1,-0.9553149874876328,-0.7563072338201943,-1.1467471713341988
4,12,1,-1.8051234411840307,-1.6114862714029212,-2.0062483394081463
4,13,1,-1.6102657469335822,-1.4151604890778757,-1.802243437025112
4,14,1,-0.49362560221195195,-0.2991217448799291,-0.6975620628263386
4,15,1,-1.294162514717995,-1.096470976398249,-1.4893298286532406
4,16,1,-1.6829782963163336,-1.4796767936418769,-1.8852078829665702
4,17,1,-0.24494215723565624,-0.056930845078678356,-0.4361166063098847
4,18,1,-1.1878692989372701,-0.9894025468714264,-1.388320297146228
5,1,1,-1.0605750585372546,-0.86690680096407,-1.2556109819287373
5,2,1,-1.6880539705195856,-1.4968064249227857,-1.8803717337095534
5,3,1,-1.9634662604002617,-1.7675831094242742,-2.16389688212838
5,4,1,-1.0300511045088176,-0.8308206166073604,-1.23107629807775
5,5,1,-0.8636243933933019,-0.6778155448330141,-1.0508416982941506
5,6,1,-1.9668611661960682,-1.7711613260867807,-2.164496901819115
5,7,1,-2.054107765877588,-1.86395674105359,-2.2470129399436973
5,8,1,-1.5543325413976965,-1.3613496422439515,-1.7476886953655728
5,9,1,-1.7475625195658608,-1.5492246144612416,-1.9472325449346648
5,10,1,-1.7003325881128486,-1.5007169371209028,-1.8979076584366208
5,11,1,-1.0178326866899379,-0.8320687531074211,-1.2178777523347055
5,12,1,-1.8192984035413922,-1.6272444241911945,-2.021099729267199
5,13,1,-1.6022400755832056,-1.4104877356481738,-1.792616974749789
5,14,1,-0.6973210275553166,-0.5152088582016465,-0.8884056363085318
5,15,1,-1.3236773839077953,-1.140967627365927,-1.5187881778938703
5,16,1,-1.8002323545568322,-1.6046871878059832,-1.9973542845930035
5,17,1,-0.20579052594616842,-0.012935337601541192,-0.39840756915905146
5,18,1,-1.1429544968439511,-0.9394995825469359,-1.3594453855446091
6,1,1,-1.0127854168667372,-0.8089102799633014,-1.2158952239999818
6,2,1,-1.722125461947337,-1.5311456015701894,-1.9045323309935918
6,3,1,-1.9825749209159742,-1.785013054532452,-2.1747474108208995
6,4,1,-1.0160365896323116,-0.8162570129254734,-1.218879263137016
6,5,1,-0.921514820384405,-0.742496460878167,-1.1084003746704834
6,6,1,-2.0033337422794464,-1.8126769861764542,-2.202600692093284
6,7,1,-2.057207150410933,-1.8600950539490355,-2.248677436086696
6,8,1,-1.5343773688645899,-1.339679788318295,-1.7281684282498535
6,9,1,-1.8353326049890217,-1.6453838244961625,-2.0226914362940294
6,10,1,-1.7032317227003242,-1.5126299317342364,-1.9033110592222964
6,11,1,-1.1190612705377279,-0.9402530971978875,-1.298004868295932
6,12,1,-1.8254247429661732,-1.6333516227604943,-2.030019069526302
6,13,1,-1.630593055733402,-1.442902302359701,-1.8255995512423822
6,14,1,-0.7229948961179786,-0.5413321929103699,-0.9084766954022286
6,15,1,-1.3771771115635718,-1.186001906555406,-1.5563546125862942
6,16,1,-1.8469678439331156,-1.6589477328053945,-2.0399319255217043
6,17,1,0.014166851333917485,0.2290138916856688,-0.1924429113382201
6,18,1,-1.24629895127736,-1.0594668769363165,-1.4428304791710829
7,1,1,-1.1189969300489464,-0.9313700096301931,-1.3154493832237772
7,2,1,-1.7401467326286184,-1.5395943653827568,-1.9423958510545805
7,3,1,-2.0052009436248444,-1.8033414866829103,-2.210301175847856
