sitting,topic,gov,median,upper,lower
1,1,1,-1.0312369690706111,-0.8014671978120396,-1.2530985481520336
1,2,1,-1.6483672425240505,-1.4067951611293932,-1.8704102501293012
1,3,1,-1.9312871790873638,-1.6914440363027952,-2.1538873076640397
1,4,1,-1.0371799919379536,-0.7855703947084003,-1.2719773776821055
1,5,1,-0.7508468912734907,-0.5017866418100712,-0.9852895523800147
1,6,1,-1.9496854161869583,-1.712117589865275,-2.1723894652899842
1,7,1,-2.0092184395657635,-1.768879775843864,-2.2283874998730226
1,8,1,-1.4973081057069417,-1.25934335448571,-1.7315820187121216
1,9,1,-1.7765402524870715,-1.5449153190794065,-2.0049162549475446
1,10,1,-1.6659717139824273,-1.4298288471442857,-1.8982109606784228
1,11,1,-0.891743919812392,-0.6372755008603497,-1.1282701843152485
1,12,1,-1.7794963643944874,-1.5476019241896344,-2.002745919832316
1,13,1,-1.5681331239535714,-1.349457036825189,-1.7860462198687712
1,14,1,-0.5574301008145357,-0.31650296904861097,-0.7829247115485011
1,15,1,-1.2846078504190601,-1.0621123864485142,-1.5012071320722917
1,16,1,-1.7378414935594555,-1.490098994905886,-1.973207185964415
1,17,1,-0.0637014105266796,0.1880580628323248,-0.3178737023546008
1,18,1,-1.2017567411560135,-0.9729497146476832,-1.419244132521234
2,1,1,-1.066026972149905,-0.8796719071740707,-1.2720213155519475
2,2,1,-1.661863407935672,-1.4461127049257714,-1.8689166281773941
2,3,1,-1.955099349080516,-1.7569764361867697,-2.151915212209992
2,4,1,-1.0389230727355503,-0.82267372718474,-1.2465209135343216
2,5,1,-0.7614465382603193,-0.5452388618205445,-0.9707464807244921
2,6,1,-1.9821115784719185,-1.7842984297831197,-2.1843672488937935
2,7,1,-2.037182015856441,-1.84015088330483,-2.234735447225437
2,8,1,-1.5316406307855996,-1.3316927496100592,-1.7361102371699784
2,9,1,-1.8021675335073646,-1.5951433770540278,-2.0007269855446603
2,10,1,-1.6669502976647053,-1.467473734916902,-1.8739173017028228
2,11,1,-0.7889756000136783,-0.551637262719449,-1.0150008831912805
2,12,1,-1.792882008589344,-1.5799035361127147,-1.9864332110899754
2,13,1,-1.551756255047954,-1.3513624305543823,-1.753201133452003
2,14,1,-0.46959338088971314,-0.2578114985376122,-0.6741550554340513
2,15,1,-1.300013868015095,-1.1034505313446448,-1.4988134522184196
2,16,1,-1.7069237643162984,-1.4887614709964732,-1.9278735326973528
2,17,1,-0.1893093655613668,0.015577670501605466,-0.39420145510757865
2,18,1,-1.2091079466566539,-1.0070148322494272,-1.4076713197962907
3,1,1,-1.0400993732213335,-0.8384136175862049,-1.2411973579119662
3,2,1,-1.6612189726297086,-1.4515458753080197,-1.8601869608627182
3,3,1,-1.94004531821176,-1.7338755128314165,-2.134352424480136
3,4,1,-1.0869063857394963,-0.8818814837056141,-1.2888596412418958
3,5,1,-0.7445586149405745,-0.5360696071777588,-0.9585037763825146
3,6,1,-1.9756256277681978,-1.7727607944627806,-2.1804492396673636
3,7,1,-2.029711491019918,-1.8266378825143827,-2.2257530789819007
3,8,1,-1.5124438965877953,-1.3080362981873335,-1.7115533717445262
3,9,1,-1.8100888978585856,-1.609877557283894,-2.0020296499006824
3,10,1,-1.6897684492061142,-1.490126248509873,-1.8939188259691613
3,11,1,-0.8023121216243615,-0.5770073434879767,-1.015450514194054
3,12,1,-1.8170238471689957,-1.6143379649992025,-2.0211511383390897
3,13,1,-1.6167721912823834,-1.4234484930039573,-1.8209902199290888
3,14,1,-0.5559931655408579,-0.35920160890103325,-0.7520047339909901
3,15,1,-1.3217165604610046,-1.1269073148195679,-1.5097829087451977
3,16,1,-1.7344925344688886,-1.5200757067862354,-1.9405163436921415
3,17,1,-0.22950960648190558,-0.0367272001082406,-0.42725610157523997
3,18,1,-1.2253730901204185,-1.037993960762394,-1.4168988786903485
4,1,1,-1.1157415094158454,-0.9323573507771342,-1.3095565951849975
4,2,1,-1.7008709995184477,-1.500963611863124,-1.898708788386364
4,3,1,-1.9730150665661348,-1.7771214498645145,-2.1638797323278505
4,4,1,-1.1081032252176009,-0.903538352990401,-1.299211386582409
4,5,1,-0.7439500569471386,-0.5312072011030881,-0.9506517606907583
4,6,1,-2.004412987263578,-1.803443552856568,-2.200003358706289
4,7,1,-2.05123182554171,-1.8516951909925068,-2.252208575253075
4,8,1,-1.5467666937087878,-1.3506140012760868,-1.7475767602260033
4,9,1,-1.834986005831492,-1.6448003657086465,-2.0266997360804453
4,10,1,-1.7395912071782171,-1.5523364896483847,-1.9356380627962824
4,11,1,-0.7964342776546981,-0.573215229712925,-1.0170747795278434
4,12,1,-1.8384745311119501,-1.6415198379453164,-2.0360398184120703
4,13,1,-1.63810803005852,-1.4499233773843123,-1.840241350952326
4,14,1,-0.5955233565732353,-0.39942105826582447,-0.7923257886804425
4,15,1,-1.3447984853078145,-1.1493214085267254,-1.5358166258195398
4,16,1,-1.7796706141008372,-1.5753809785137698,-1.9901452121546186
4,17,1,-0.0783790187211871,0.13114715435094895,-0.29311301424038355
4,18,1,-1.261612084378691,-1.0699559247301973,-1.4545124592876346
5,1,1,-1.0550088006223701,-0.8373558102607533,-1.2758053792295219
5,2,1,-1.6816995433509043,-1.4512944853921872,-1.9062772566934725
5,3,1,-1.9586288271587955,-1.7363150336845568,-2.176286466914088
5,4,1,-1.090078748390339,-0.8617460756995593,-1.311835101441057
5,5,1,-0.7894293569839109,-0.5493414632393472,-1.018322844314671
5,6,1,-1.9771768427178973,-1.7567880682292683,-2.2023116266549105
5,7,1,-2.039921917704879,-1.8199850859419375,-2.2617702052801616
5,8,1,-1.5357568913777602,-1.3175174708496775,-1.7564084707135998
5,9,1,-1.8043275791760398,-1.5791153853792226,-2.017258762856021
5,10,1,-1.6965728091333991,-1.475935374352286,-1.9201600951361653
5,11,1,-0.928455309077478,-0.6957728938586522,-1.1471895978109883
5,12,1,-1.8135399471703297,-1.593423623377872,-2.032837849002742
5,13,1,-1.592536019819865,-1.3774385973424006,-1.8117679078314164
5,14,1,-0.5705800667002079,-0.3520815628954999,-0.7960447414040678
5,15,1,-1.3027239220180014,-1.0906295664901304,-1.5222009748579983
5,16,1,-1.7751443507100446,-1.547329093593973,-2.0063811731043395
5,17,1,-0.15339347818316057,0.07465605637389447,-0.38868763223350694
5,18,1,-1.231255544465463,-1.0105129637400596,-1.4478434890898204
6,1,1,-1.0516516168162828,-0.8293276238257288,-1.2723633636882181
6,2,1,-1.6771509506815727,-1.4604648078108324,-1.9030039141017705
6,3,1,-1.9565991922628363,-1.7353282137157395,-2.166628363814577
6,4,1,-1.080816787309045,-0.8601147749927527,-1.3093887874686623
6,5,1,-0.7977255514569115,-0.5736163544581333,-1.0197367447900287
6,6,1,-1.9767067133716116,-1.7536392570779098,-2.1949171961143414
6,7,1,-2.0364167440297356,-1.8231216780993962,-2.2401914147331716
6,8,1,-1.5314295723113878,-1.300416100180095,-1.7492655854200254
6,9,1,-1.7996938593863099,-1.5888267187018972,-2.0107977745182333
6,10,1,-1.6925282958475898,-1.477822540816868,-1.9114925228831692
6,11,1,-0.9336562556716401,-0.7042272910080054,-1.152756490561457
6,12,1,-1.8118818901111555,-1.5866955186152176,-2.0332426556494965
6,13,1,-1.5895104872805348,-1.3792611088557098,-1.801100523812354
6,14,1,-0.5907744077025889,-0.3770224710120005,-0.8060398557138704
6,15,1,-1.3016556078644879,-1.0839370754340292,-1.5190488369886501
6,16,1,-1.7802273129148496,-1.560462818546817,-1.9997033520618783
6,17,1,-0.15974030101577202,0.0700089184723622,-0.37823774285951295
6,18,1,-1.224332460434451,-1.0048068641742718,-1.4517947047828856
7,1,1,-1.0612749396788776,-0.8457166773056899,-1.280385551570836
7,2,1,-1.6813699256229846,-1.473977246662297,-1.906646358125682
7,3,1,-1.9563924268179953,-1.7391245485634963,-2.174286504915475
7,4,1,-1.0908803143275259,-0.8746417181545034,-1.3064836752204476
7,5,1,-0.8064001971834005,-0.5877255273717626,-1.023677776090681
7,6,1,-1.9795204377281865,-1.7628070129076148,-2.2005388912244763
7,7,1,-2.03762337663407,-1.8287397935682232,-2.2504705944888603
7,8,1,-1.534492616579118,-1.3132995687706481,-1.7558720040636209
7,9,1,-1.8051362445377879,-1.5872998037100017,-2.0202159385676417
7,10,1,-1.698964245120322,-1.4833088267224996,-1.921104729855352
7,11,1,-0.9449530053218521,-0.7223454823555936,-1.1532374719549139
7,12,1,-1.8156554449743665,-1.605013193460301,-2.0288153705280534
7,13,1,-1.5904119008317943,-1.3791153154159512,-1.8094658759000286
7,14,1,-0.5978182440743748,-0.3897759941716987,-0.8152333196302819
7,15,1,-1.303512917851302,-1.093508548623324,-1.5198039136035368
7,16,1,-1.7809816448085876,-1.5598297752960488,-2.007527832103665
7,17,1,-0.1760289036425958,0.04105282335186572,-0.39675434906564583
7,18,1,-1.2297136890638973,-1.0072831166082605,-1.4492143740898211
8,1,1,-1.0989880818497697,-0.9029196205790623,-1.2932565655332808
8,2,1,-1.6759733739787053,-1.4714527553199355,-1.8628227332976173
8,3,1,-1.9725933402493823,-1.7743649041138843,-2.174013205919126
8,4,1,-1.0896883226815328,-0.8888528094519955,-1.2859715684846802
8,5,1,-0.802821470522584,-0.6043317042210672,-0.9951785377393557
8,6,1,-1.9564302760583643,-1.7634371370373332,-2.163044304519573
8,7,1,-2.053993310689384,-1.861853503855563,-2.254973977624777
8,8,1,-1.5940514084864024,-1.3962568909393056,-1.793479657700464
8,9,1,-1.750013462004595,-1.5542460428698137,-1.958102565593414
8,10,1,-1.7324703199805045,-1.537513910643551,-1.9284935526958473
8,11,1,-0.8994145503771421,-0.7033216109281091,-1.1068251737649473
8,12,1,-1.809073021487801,-1.606014053074499,-2.0097873957741115
8,13,1,-1.6389066496213958,-1.448250472821814,-1.8321929081729993
8,14,1,-0.6540132894807609,-0.4691488311760844,-0.8476028390948974
8,15,1,-1.3321354513505295,-1.144896989200413,-1.5256620436167625
8,16,1,-1.8052878613539005,-1.6083527807477858,-2.0114456834455945
8,17,1,-0.3817150656225897,-0.20508743122028833,-0.5603453407509827
8,18,1,-1.178231257673342,-0.9778019772789693,-1.3798529629811758
9,1,1,-1.1082918465269245,-0.914267697808614,-1.3099290010028122
9,2,1,-1.6994687493447995,-1.491339895548261,-1.9029555759556944
9,3,1,-1.9695719495655943,-1.7677169952610097,-2.1728431015353293
9,4,1,-1.1748253633175143,-0.9773100872595021,-1.376066458208299
9,5,1,-0.7002864150603542,-0.4823418309521711,-0.9192156884952084
9,6,1,-1.9936540164145486,-1.7883838843699387,-2.2035226406287887
9,7,1,-2.064633877315879,-1.8598329054478457,-2.2653143578093364
9,8,1,-1.5933359629100192,-1.3984372303413,-1.7927993763806653
9,9,1,-1.824279035558464,-1.621182285278946,-2.0322920726189198
9,10,1,-1.7328164343863337,-1.5294394489259495,-1.9395150678381539
9,11,1,-0.9378034556856996,-0.7312469944636867,-1.147928790257545
9,12,1,-1.8230477014859785,-1.6214842596878256,-2.0373295335232373
9,13,1,-1.60744063638955,-1.4080094897607962,-1.8140333079963356
9,14,1,-0.5868653826801035,-0.3831627128474275,-0.7915248265753129
9,15,1,-1.3290997475921542,-1.1306379016061237,-1.5316228947365937
9,16,1,-1.8242712371462277,-1.6210373966176095,-2.02973866504311
9,17,1,-0.4119085175637264,-0.23748780599647024,-0.5951178779264701
9,18,1,-1.2919868428360872,-1.09485556702887,-1.4941880413896107
10,1,1,-1.1162664199041958,-0.9226337220191362,-1.3192281581737693
10,2,1,-1.6875998588824697,-1.4844885869352369,-1.8960232401830057
10,3,1,-1.9720727153148243,-1.7708794848305032,-2.1759982706973906
10,4,1,-1.1601357868732625,-0.9727225210442018,-1.3572691743928351
10,5,1,-0.8537496381972887,-0.6499971790290492,-1.0535137418386205
10,6,1,-1.9752140367215918,-1.7775364035666974,-2.182336513810883
10,7,1,-2.0468492595549943,-1.841706754109346,-2.2492729857928144
10,8,1,-1.5761740295600142,-1.382597633633161,-1.7767712332624412
10,9,1,-1.8173028113151128,-1.622170051544574,-2.022411894190184
10,10,1,-1.7184940341961308,-1.5264638632089336,-1.9167994380498679
10,11,1,-0.8368152088250844,-0.6254804504349303,-1.0495836651922934
10,12,1,-1.8284233341935705,-1.6270660714082876,-2.030925945924851
10,13,1,-1.5921800034518652,-1.3907582378947185,-1.7927196249266537
10,14,1,-0.563242328173003,-0.3579365298754543,-0.7615514979312963
10,15,1,-1.3303484526524225,-1.1364018663814885,-1.529198353680255
10,16,1,-1.8067226782008579,-1.6079373674550612,-2.0117900041820715
10,17,1,-0.3388013906951201,-0.15536385881662956,-0.5316688276449841
10,18,1,-1.2721935330825895,-1.0752035914825044,-1.4669863717689722
11,1,1,-1.0978906578992949,-0.8930109476207652,-1.3012797548504655
11,2,1,-1.6928304066955993,-1.4883152309832752,-1.9029332979161349
11,3,1,-1.9850993364367016,-1.7714978430916675,-2.1999394799131062
11,4,1,-1.155209547107285,-0.958507230767141,-1.3554359259085662
11,5,1,-0.8210034277725031,-0.6023337541049697,-1.025694526360738
11,6,1,-2.0029019912707007,-1.785576167539398,-2.2083044855934175
11,7,1,-2.0686960458162105,-1.8601707380091803,-2.2716886928319053
11,8,1,-1.5788680164089421,-1.3720106027928836,-1.7811989957143983
11,9,1,-1.8131311572996363,-1.61239235877096,-2.02420169519157
11,10,1,-1.733631167467589,-1.5279265882156228,-1.936322737606255
11,11,1,-0.9583764182211936,-0.7470330494145244,-1.1674216238607387
11,12,1,-1.8302037642146525,-1.6171171168199305,-2.0397428884591444
11,13,1,-1.6069844403180895,-1.4052805113299915,-1.8153011338238683
11,14,1,-0.6186729150135886,-0.4090194428816307,-0.8295828839487808
11,15,1,-1.3233125049086487,-1.1156278849002943,-1.5287533537824456
11,16,1,-1.8245522167464547,-1.6169752262520103,-2.035400489683813
11,17,1,-0.3245204792981758,-0.12521600135178101,-0.5285942237280566
11,18,1,-1.2316481346946637,-1.022741483650032,-1.4362651747116362
12,1,1,-1.038632993646324,-0.849355269402018,-1.2410177534916058
12,2,1,-1.7438228896941914,-1.5542771862552751,-1.9351726777998577
12,3,1,-2.0087440349488146,-1.8198671427540578,-2.2053811362152604
12,4,1,-1.0675087370080232,-0.8668704214720754,-1.259107088599375
12,5,1,-0.9052683242701196,-0.7195947321865286,-1.0844132480911117
12,6,1,-2.0300077041631104,-1.8435436587060727,-2.2182410043786365
12,7,1,-2.0881722286755826,-1.9027631704985866,-2.2855594887163377
12,8,1,-1.5344355866198693,-1.3456871180539012,-1.728756348144824
12,9,1,-1.8528345751724058,-1.6612459012358303,-2.0419505877331097
12,10,1,-1.7547142331034187,-1.5616707190945085,-1.9442727992828839
12,11,1,-1.0231902775500399,-0.839753766492652,-1.2101197871015552
12,12,1,-1.854994802616001,-1.6621891572933012,-2.052190156483206
12,13,1,-1.638922994813572,-1.4482757605346854,-1.83469086265913
12,14,1,-0.7950913440630438,-0.6167991226643632,-0.9756234287414524
12,15,1,-1.394005003010193,-1.2075387687809982,-1.5836592739406798
12,16,1,-1.8617642008878499,-1.6767711253007043,-2.047801737744729
12,17,1,-0.01992920400532061,0.18518872561677935,-0.22771963725949765
12,18,1,-1.228769427308436,-1.0363918123027451,-1.4250511098009722
13,1,1,-1.1159542607602506,-0.9238545572238631,-1.3140150765111165
13,2,1,-1.7660308153793443,-1.5727856211303677,-1.9650572061442957
13,3,1,-2.0296580734274317,-1.832734065046202,-2.2241060906857535
13,4,1,-1.111569235502183,-0.9135874935426933,-1.3095289424577667
13,5,1,-0.948372076576976,-0.759326359018534,-1.1452032502676661
13,6,1,-2.042334447147889,-1.8515303150381741,-2.245624004406969
13,7,1,-2.0958202643398636,-1.896859759914158,-2.298936782322687
13,8,1,-1.5747282566089296,-1.3711717349371793,-1.7752215360119246
13,9,1,-1.8738833091962765,-1.6774658837807628,-2.0678962817423865
13,10,1,-1.750759053610875,-1.5520813649587875,-1.9502440756883057
13,11,1,-1.1506166120696864,-0.9621127410380332,-1.3428140973821419
13,12,1,-1.891642824371559,-1.6952766266341777,-2.0916094179487326
13,13,1,-1.6494263001288179,-1.4607362114468225,-1.8489037840697684
13,14,1,-0.7504523077874605,-0.56376148224096,-0.9407205481369924
13,15,1,-1.3744809052857287,-1.1776455771726153,-1.572093789078222
13,16,1,-1.86663532043795,-1.6703914046792767,-2.064637597336747
13,17,1,-0.12015193235212494,0.09140301643509699,-0.3381568520553688
13,18,1,-1.310441161161858,-1.1151802296158315,-1.5036807761605355
14,1,1,-1.1370297043236652,-0.9487256474131168,-1.3286773832595031
14,2,1,-1.771713205588309,-1.5821405485463866,-1.9651938861251284
14,3,1,-2.0239766838217097,-1.8331552702824525,-2.218658098078009
14,4,1,-1.1543103757360669,-0.9579176965172421,-1.353302942149334
14,5,1,-1.0185158682051956,-0.839780089610651,-1.204089602336508
14,6,1,-2.0547738954305848,-1.8572821772354913,-2.252628905106026
14,7,1,-2.088443771813539,-1.8926280732981984,-2.288647689012298
14,8,1,-1.5196980130206064,-1.3227358004228202,-1.7216658476924251
14,9,1,-1.890827881908876,-1.7003806732167712,-2.086662321550786
