sitting,topic,gov,median,upper,lower
1,1,1,0.005483547804926513,0.19930127969790745,-0.18935573779513806
1,2,1,0.007045429660753819,0.1985917476927986,-0.18563949439038982
1,3,1,0.008621024692516598,0.2028538829874867,-0.1853778932633551
1,4,1,0.003438487097301497,0.19612130581157133,-0.19022369420597468
1,5,1,0.004306794617386769,0.2008780221925916,-0.19138161295164632
1,6,1,0.010940142358181443,0.2057947765868768,-0.18218636498714366
1,7,1,0.008391326474900561,0.21340250423570112,-0.18705843349732207
1,8,1,0.003926617037674135,0.19304984910673315,-0.18632864900520574
1,9,1,0.005407047858465394,0.19637899815217566,-0.18329472545541964
1,10,1,0.010645529344799898,0.19564320621638903,-0.1845430748859672
1,11,1,5.649578064601292e-4,0.1881626931644002,-0.19036645695655793
1,12,1,0.01665608457161534,0.21422050338186788,-0.18206086285718082
1,13,1,0.017838745016257852,0.2099997327994614,-0.17263799866455307
1,14,1,0.007168218573167845,0.19902738812550577,-0.18688086393086378
1,15,1,0.006947234100789582,0.20304458355171548,-0.19136944664881575
1,16,1,0.00942307499290912,0.20253868425227628,-0.19174647936442454
1,17,1,-0.018819184835907547,0.17940179579929816,-0.21184588709933116
1,18,1,5.623627154227387e-4,0.1941575657438961,-0.19395782521141314
2,1,1,0.06458815279333731,0.24764574855500301,-0.12318974794311029
2,2,1,0.017786618470730736,0.19769869223570494,-0.1579871259899013
2,3,1,-0.010709534903325837,0.169727695756091,-0.1888089249450704
2,4,1,-0.03038971588388905,0.1396392168909977,-0.2127223129458175
2,5,1,0.10343343859514983,0.2898082758257738,-0.08418692017008951
2,6,1,8.650416275325194e-4,0.18238474663530754,-0.17756923849955586
2,7,1,-0.011935710292022603,0.1709474025247442,-0.18906618379870876
2,8,1,-0.016949578959339778,0.1557458134946406,-0.19589881236908063
2,9,1,-5.25783463209098e-4,0.17389456043107293,-0.1741411516253752
2,10,1,-0.01134129605442332,0.16924865462259206,-0.18549484088151216
2,11,1,-0.015002814154344657,0.16066176237675814,-0.19814352617478664
2,12,1,0.023826430310549575,0.2036573917336981,-0.164224527010855
2,13,1,-0.005599688253551869,0.17010614536161112,-0.18595786506999692
2,14,1,0.06601291782165333,0.25027070242429045,-0.118334221423476
2,15,1,-0.011395122319929826,0.16562399706717645,-0.193202979562333
2,16,1,-0.02815139161336075,0.14873308214787517,-0.20936025746072948
2,17,1,-0.15750671438183048,0.01062995833850132,-0.32689255959339775
2,18,1,-0.0037253118756337654,0.1688453689878207,-0.1840006679629741
3,1,1,-0.009579285630463077,0.16199315209974752,-0.1909793085892855
3,2,1,0.005077873884298818,0.18904958230943159,-0.17201672802628903
3,3,1,-0.006835007674051347,0.17071681258693033,-0.1808001697974194
3,4,1,-4.642996564391266e-5,0.1797391088482257,-0.18523763608717933
3,5,1,0.04344537325432925,0.21904596436156806,-0.1446269294195973
3,6,1,-0.013713922054125853,0.16749759921637353,-0.18852533312444297
3,7,1,-0.01742296568611634,0.1642096978655672,-0.19738870900319755
3,8,1,-0.029902246614367498,0.14818407693210864,-0.20516921252486098
3,9,1,-0.022294553302648838,0.16241622359897984,-0.19439785122619746
3,10,1,0.005098365696727766,0.18030486437817003,-0.17925523198987994
3,11,1,0.02675216268863094,0.20123151054400337,-0.15974301023227203
3,12,1,-0.02775702842342897,0.14625003389732724,-0.20681631563335312
3,13,1,-0.019497613618662292,0.15478134633330726,-0.1957528310418292
3,14,1,0.06761147445357248,0.2445057129210278,-0.11463831395898996
3,15,1,0.050214385300897495,0.2314582525873308,-0.13115922396854274
3,16,1,-0.02821335177378142,0.14938003020537996,-0.20452539836472128
3,17,1,-0.0902702381150089,0.07996924804388925,-0.2597716165976333
3,18,1,-0.019648589475491585,0.15422138150315637,-0.2041422416907481
4,1,1,-0.05527176277006427,0.12066617313376612,-0.2315156345844248
4,2,1,0.01111504295950426,0.19592293987219542,-0.16501663205060504
4,3,1,0.0017735143374322943,0.17883581763776735,-0.18354534627190322
4,4,1,-0.037874676616265965,0.13890608853821276,-0.21367522323493557
4,5,1,-0.009495236460649745,0.16634335033272607,-0.1826770243058874
4,6,1,0.006866737028910962,0.18175285186497175,-0.16808710908195656
4,7,1,0.009131022185352075,0.18665426059088253,-0.17106130761902374
4,8,1,0.0016996252490537461,0.17727300190115197,-0.18482385573805374
4,9,1,0.01968322334788486,0.1996721761815258,-0.15766065223623524
4,10,1,0.02100698909635504,0.19974797373455117,-0.15600251102310472
