election,topic,median,upper,lower
1,1,-0.009012441481091826,0.004204110056068642,-0.021860189119098723
1,2,-0.006837710232841565,0.006629238484222923,-0.019563413970363715
1,3,-0.008796536694132051,0.0036952317450660785,-0.021412668398180446
1,4,3.4889059726805633e-4,0.013109916850319944,-0.012458363571663253
1,5,-0.0021078734555247877,0.011914473334288484,-0.015465005414180867
1,6,-0.010673892565652016,0.0032191250398423904,-0.023447228386716108
1,7,-0.009819150699252994,0.003656045890813349,-0.02259576732070384
1,8,-0.004858633968907658,0.007496245711299506,-0.018076266410487617
1,9,-0.008332884203498482,0.005053778816496323,-0.02145909293530276
1,10,-0.009999951006384256,0.003401294733246185,-0.023866245105897042
1,11,-0.0037471858136531914,0.011066143621271613,-0.018015342276820598
1,12,-0.008562911611364642,0.004684250963871027,-0.02206036469828498
1,13,-0.019788654776981787,-0.006574885922697763,-0.03297272743988098
1,14,-0.012396228512669125,0.0014304093377343933,-0.0260527999124262
1,15,-0.03118620156893675,-0.017362061883829764,-0.044458896440954354
1,16,-9.673740388819688e-4,0.012605459454598844,-0.014222705956087246
1,17,0.013698639268102851,0.024395053823133044,0.0028802703205088914
1,18,-0.01540563977429387,-0.0018547477374908875,-0.029359411086011755
2,1,-0.05609733602032642,-0.03894702482851115,-0.072672610325329
2,2,-0.07992633179459821,-0.063201688613683707,-0.0988695111873566
2,3,-0.09506950252652185,-0.07841228812921114,-0.11336675227130243
2,4,-0.04493956168761195,-0.027595936066626827,-0.061959731798232984
2,5,-0.003023512170476445,0.013261019172820401,-0.01990526132591808
2,6,-0.0986318753090542,-0.08120451982443719,-0.1151159153638672
2,7,-0.10448579296068777,-0.08594668858976287,-0.12224908910097566
2,8,-0.06789397538169337,-0.05183063855615145,-0.08430830841031157
2,9,-0.07436653410212973,-0.05711345946994351,-0.09147603380210456
2,10,-0.08047515543609088,-0.06291113271721277,-0.09702465418159935
2,11,-0.02423537802029176,-0.008034338564111326,-0.041191135237735474
2,12,-0.08584347387148739,-0.06922391043968326,-0.10265846235117561
2,13,-0.07166296443566161,-0.05356952794701403,-0.08913273570033499
2,14,0.0026955998388565995,0.01820457577080026,-0.013419162606733459
2,15,-0.04745897711606305,-0.030325261140362682,-0.06437106615281468
2,16,-0.08793926548639601,-0.07104464064381201,-0.1049063373908738
2,17,-0.04754972833956375,-0.030200084686372204,-0.06485430590128237
2,18,-0.032074997564816535,-0.014741735554708667,-0.04833526989870611
3,1,-0.018060581471910468,-0.007370684453275246,-0.02861431266704045
3,2,-0.03971835960774754,-0.02941894418839142,-0.0500932315717173
3,3,-0.04037412386971424,-0.030140829108459336,-0.051038344060158496
3,4,-0.012711253407291508,-0.001885037115949431,-0.02303889710499858
3,5,-0.024523056821698606,-0.014572214764778893,-0.034636088483950306
3,6,-0.042983370574204705,-0.03226068625783426,-0.053242702216821466
3,7,-0.04491963074311087,-0.03407910321401959,-0.05530774162154543
3,8,-0.03627543775841434,-0.026044354906843703,-0.04639022016649137
3,9,-0.03445817858898454,-0.024065992700568237,-0.04530611799830891
3,10,-0.0362059106393158,-0.025840900592527548,-0.04668835892725991
3,11,-0.059885758771883395,-0.049743257545492754,-0.070360622966791
3,12,-0.036311884343832986,-0.026027634127800986,-0.04669965159354177
3,13,-0.02939641739841619,-0.019065061390239287,-0.04055144190970107
3,14,-0.0069382586914765315,0.0028530490900805774,-0.017173350949675963
3,15,-0.03477356385137723,-0.02416736681268275,-0.04558842408758581
3,16,-0.04011912176178492,-0.02944130663405914,-0.05023441296567896
3,17,0.01003655235966695,0.020091939898086938,1.2885625900074606e-4
3,18,-0.03553220341434913,-0.02525150565888898,-0.046014424472074315
4,1,0.012139389217466889,0.03288502270265858,-0.007686296019072069
4,2,-0.030109720138213877,-0.009750063581305502,-0.04989142081688222
4,3,-0.03730383969351106,-0.0170819744761421,-0.057458807069426326
4,4,-0.004937938452086331,0.01542916408503575,-0.025506141465322152
4,5,-0.04691795915265341,-0.02889889718306849,-0.06504966918079327
4,6,-0.029175095942527242,-0.009684757748269527,-0.04817781964008473
4,7,-0.03202805203279594,-0.011403798804426216,-0.05138248417375734
4,8,-0.03976306674664183,-0.02010671173935469,-0.05906799168700219
4,9,-0.02613926444684626,-0.006345809042551018,-0.04524666392126507
4,10,-0.028590520469013385,-0.009053242491572704,-0.04808429206365794
4,11,-0.0510146477710772,-0.03044003457054026,-0.07060109981208819
4,12,-0.03439600064395287,-0.014725243786934504,-0.053454774472791663
4,13,-0.014270902129500832,0.004869679842782126,-0.03375311471787024
4,14,-0.03281691137786663,-0.01595510690627041,-0.049964084942175295
4,15,-0.03936407896060376,-0.021311403901019505,-0.05878227211963585
4,16,-0.025635346491895028,-0.006006946921254613,-0.04540668437060265
4,17,-0.049337147365355175,-0.03010656073524212,-0.06831166219219824
4,18,-0.03804780864598896,-0.017855050625074687,-0.05697877898815095
5,1,-0.0016409077171978363,0.04994514052927109,-0.054758273441066756
5,2,-0.08856426995870814,-0.026428933910347542,-0.1496222841442741
5,3,-0.059873336958647355,-0.002935327806227876,-0.12091946719789212
5,4,0.05220320758586363,0.10807042896596451,-0.005136026651922965
5,5,-0.012604332344613393,0.04171841461853115,-0.07099219571670501
5,6,-0.08018714016287383,-0.02060575593658333,-0.14307255727171042
5,7,-0.0858686162122075,-0.02502216214644359,-0.1460419090301972
5,8,-0.07217340406492717,-0.011050626039248983,-0.13469860919340515
5,9,-0.06996508921533677,-0.007460717602797933,-0.13392445956266086
