government,topic,median,upper,lower
1,1,-1.130391569423891,-1.0006686056922631,-1.2940256501306155
1,2,-1.7647663513278902,-1.6309602322596881,-1.9422035728331781
1,3,-2.029220563522909,-1.8926165100823589,-2.191892232793814
1,4,-1.2119029846389415,-1.065787794973768,-1.4022817188500247
1,5,-0.9299600502652667,-0.7835446463430169,-1.1423239765288493
1,6,-2.0440608774648634,-1.9143912602502224,-2.207283587554817
1,7,-2.1048167364462653,-1.9748220372376581,-2.278060708209933
1,8,-1.6123259866295925,-1.479992033621131,-1.789374819895715
1,9,-1.872076869097677,-1.74698856254767,-2.034928692200607
1,10,-1.764115754726554,-1.6366348399363286,-1.9380716355261682
1,11,-1.0645225879334477,-0.9169228697075777,-1.2902113460757445
1,12,-1.8880057620773383,-1.7492039067180827,-2.0793786726237524
1,13,-1.640199589459495,-1.5155776636594416,-1.7861463898003977
1,14,-0.662635015732806,-0.5310691012333216,-0.8322030315385041
1,15,-1.3419394335698116,-1.2180175579400956,-1.488673387067498
1,16,-1.8844895179951593,-1.744459462727512,-2.0811923654968245
1,17,-0.46237671874293484,-0.2782410237749519,-0.6520410829319907
1,18,-1.283274639900237,-1.1586966480388945,-1.4319090759150428
2,1,-0.389247568614696,-0.035010628415228756,-0.7984432114089646
2,2,-1.195086093358712,-0.8466013978446603,-1.5940653939972929
2,3,-1.4247031875077614,-1.0795614493047754,-1.8049946717684566
2,4,-0.4520774459492173,-0.07907260782028788,-0.8613581828951486
2,5,-0.16082622886721062,0.31322120592691544,-0.6830082698431017
2,6,-1.4319440868072917,-1.0783199114091944,-1.8309192893122908
2,7,-1.5258781645044837,-1.1647257855588584,-1.9168767295313398
2,8,-0.6815569513653013,-0.3142145131808092,-1.0686224146533119
2,9,-0.94701633143656,-0.5653002607749184,-1.3424653366254715
2,10,-1.0296899830768689,-0.669536533670577,-1.430343063307912
2,11,-0.5810674978067341,-0.06825295701583949,-1.1410812732557953
2,12,-1.2152199930052179,-0.8483826135681228,-1.6037572587359838
2,13,-1.028278998539472,-0.6706886043457801,-1.4361894031701399
2,14,-0.390253238473776,0.09483321263409422,-0.908643549583222
2,15,-0.5392289700476978,-0.14220517941691957,-0.9708450553063699
