sitting,dt,topic,mult
23,1904-07-15,18,16.660391935876067
50,1908-10-30,1,17.45279740064608
56,1909-10-13,16,21.1750977999571
56,1909-10-14,16,17.371775124230275
56,1909-10-19,16,21.445718272205767
56,1909-10-20,16,26.33688100522679
56,1909-10-21,16,19.82276231848231
56,1909-10-22,16,16.91369058018823
56,1909-10-26,16,18.763854647490668
66,1911-12-13,18,22.628082924277237
70,1912-10-02,18,17.830319467827444
71,1912-10-18,18,15.64610961900271
129,1923-07-27,19,17.241103388416274
129,1923-07-30,19,17.800775465910064
129,1923-07-31,19,19.502186187548077
129,1923-08-01,19,17.756947252254722
137,1925-08-26,15,15.557293120800534
146,1927-10-19,15,15.656069310970512
158,1930-06-06,15,15.134048948132833
159,1930-06-11,15,18.958982513825635
159,1930-06-12,15,16.31723217234907
185,1935-10-09,19,15.390607382709561
186,1935-11-06,19,19.28071358879152
186,1935-11-07,19,17.588081444668628
227,1944-03-17,1,15.26111018763904
229,1944-07-17,19,15.2616460403472
233,1945-04-18,19,23.393910855930134
234,1945-05-30,15,17.19904864137528
234,1945-06-12,15,17.198015077189364
242,1946-11-06,1,15.403951013787777
247,1947-11-14,18,18.352798174146148
255,1949-02-22,1,20.343996559386657
282,1954-02-15,18,18.769389564278647
309,1959-03-12,15,23.303543204915062
346,1965-05-26,16,21.170177887350754
547,1991-01-21,16,23.5229225260691
547,1991-01-22,16,19.10838459045059
636,1999-09-21,16,20.879647590761227
636,1999-09-22,16,22.50040743664956
636,1999-09-23,16,22.865019287482134
636,1999-09-27,16,23.459122736592395
652,2001-03-08,16,19.570643439453463
654,2001-05-09,15,18.531571882625002
660,2001-09-17,16,15.154598085661585
664,2002-06-04,15,18.669318207826894
666,2002-08-26,7,19.173479575993372
673,2003-03-20,7,17.971060862083295
674,2003-05-13,7,17.29146950453572
702,2006-02-16,7,16.7673367874671
743,2010-03-16,16,15.246896730386085
771,2012-10-30,16,15.343288509627161
777,2013-06-25,18,24.522597374277638
801,2015-11-30,16,15.478153081975046
