topic;terms
1;environment, convention, heritage, environmental, protection, national, world, conservation, international, species
2;death, offence, penalty, criminal, offences, crimes, crime, penalties, committed, imprisonment
3;advice, resolution, message, request, parliament, requests, clerk, representatives, adviser, christmas
4;defence, defence_force, personnel, base, military, forces, equipment, strategic, paper, navy
5;party, communist, country, communists, organization, matter, time, opposite, communism, measure
6;countries, china, world, south, vietnam, aid, international, united_states, asia, united_nations
7;petition, citizens, petitioners, assembled, pray, duty, undersigned, bound, representatives, received
8;bounty, industry, fruit, growers, cotton, production, assistance, fruits, dried, time
9;senate, president, na, greens, senators, question, fl, time, chamber, wong
10;service, public, officers, officer, salary, department, salaries, staff, commissioner, permanent
11;senators, senate, leader, chamber, measure, time, collings, war, representatives, read
12;post, postal, department, telephone, service, office, postmastergeneral, mail, services, business
13;senate, chamber, senators, representatives, bills, business, party, houses, double, sitting
14;employees, relations, workers, employers, industrial, workplace, employer, employment, employee, business
15;president, sympathy, word, personal, public, regret, record, presiding, elected, executive
16;evidence, police, royal, commission, report, information, person, inquiry, law, royal_commission
17;tax, income, taxation, sales, treasurer, per_cent, pay, revenue, rate, taxes
18;title, native, rights, land, indigenous, pursuant, racial, law, amendments, aboriginal
19;arbitration, court, industrial, conciliation, wages, award, employers, dispute, industry, workers
20;senators, senate, matter, question, time, representing, labor_party, situation, debate, relation
21;matter, time, regard, position, desire, connection, officers, affairs, department, hope
22;per_cent, ad, val, subitem, item, omitting, inserting, duty, intermediate, stead
23;senators, playford, drake, question, dobson, oconnor, col, matter, learned, time
24;debate, time, labor_party, prime_minister, issue, election, matter, deputy, political, question
25;life, insurance, private, companies, business, company, public, policy, cover, funds
26;nuclear, iraq, weapons, war, world, international, support, united_nations, security, united_states
27;department, question, answer, provided, services, staff, total, nil, program, ii
28;war, production, matter, country, time, industry, governments, control, prices, supply
29;health, medical, hospital, scheme, hospitals, benefits, doctors, services, patients, private
30;defence, military, naval, navy, training, officers, forces, time, officer, system
31;increase, million, expenditure, total, estimated, budget, grants, services, charges, payments
32;agreement, trade, treaty, new_zealand, countries, germany, agreements, united_states, pacific, negotiations
33;committee, report, committees, parliament, recommendations, parliamentary, public, inquiry, time, joint
34;country, public, parliament, party, policy, service, time, world, speech, political
35;time, question, debate, standing_orders, parliament, business, matter, standing, noes, ayes
36;tasmania, security, tasmanian, intelligence, asio, warrant, information, attorneygeneral, hobart, agencies
37;rules, service, association, public, december, received, election, dated, statutory, defence
38;capital, site, canberra, federal, building, parliament, new_south_wales, city, territory, sites
39;water, river, project, basin, scheme, national, drought, dam, development, flood
40;immigration, migration, country, citizenship, migrants, refugees, policy, visa, refugee, detention
41;amendments, subsection, schedule, section, line, person, omit, item, substitute, insert
42;electorate, prime_minister, leader, deputy, speakerorder, dr, parliament, treasurer, main, time
43;aircraft, aviation, air, airport, airlines, transport, civil, qantas, services, airline
44;duty, per_cent, item, duties, committee, imported, industry, manufacturers, article, protection
45;community, program, support, training, million, australians, funding, national, per_cent, indigenous
46;late, parliament, time, political, served, remember, loss, lost, politics, join
47;senate, senators, matter, report, question, leave, time, democrats, governments, seek
48;roads, road, railway, transport, line, construction, country, railways, northern_territory, money
49;war, army, forces, service, national, military, defence, training, force, country
50;time, development, matter, national, question, situation, overseas, programme, united_states, field
51;tariff, trade, industries, industry, board, protection, duties, customs, country, duty
52;pension, pensions, pensioners, week, age, social, benefits, services, service, repatriation
53;na, electorate, community, time, support, prime_minister, local, ms, australians, day
54;regulations, regulation, territory, parliament, governor_general, council, power, ordinance, legislative, administration
55;war, ill, soldiers, returned, matter, time, regard, prime_minister, country, desire
56;nsw, pty, centre, forest, vic, qld, st, wa, timber, forestry
57;energy, carbon, climate, change, emissions, tax, scheme, global, renewable, industry
58;matter, time, mckenna, development, question, national, position, henty, relation, report
59;wool, industry, growers, sheep, scheme, market, prices, per_cent, marketing, time
60;veterans, war, support, service, community, memorial, norfolk, affairs, island, vietnam
61;housing, homes, home, building, houses, scheme, money, service, per_cent, accommodation
62;research, tobacco, scientific, fishing, disease, quarantine, science, industry, fisheries, fish
63;clause, provision, section, agreed, committee, proposed, person, words, provisions, clauses
64;commission, parliament, constitution, power, powers, constitutional, federal, referendum, time, proposal
65;services, telstra, gst, business, regional, service, industry, committee, per_cent, million
66;british, war, nations, world, great_britain, conference, peace, america, country, japan
67;electoral, vote, election, voting, votes, system, party, elections, electors, candidates
68;land, settlement, property, lands, lease, money, country, leases, acres, settlers
69;care, services, medicare, health, aged, funding, community, committee, million, system
70;wheat, farmers, growers, bushel, industry, pool, primary, scheme, prices, production
71;excise, customs, wine, duty, revenue, spirit, gallon, beer, spirits, consumption
72;department, expenditure, estimates, money, amount, committee, appropriation, proposed, cost, vote
