document,topic,gamma
2007,1,0.9999827923009549
2017,1,1.594015556317766e-6
2009,1,0.31554031309476405
1903,1,2.282374987525345e-7
1999,1,2.8897119142750754e-7
2003,1,1.4144139389323672e-6
1998,1,6.332642688705352e-7
1907,1,1.1018135585417734e-7
2008,1,0.9999716814053486
2015,1,1.6839394969496033e-6
2004,1,2.2155706202634117e-6
2011,1,1.084364709382062e-6
1997,1,3.5251189629500217e-7
2005,1,0.9999635134297145
2013,1,2.0547550340535375e-6
1953,1,7.185607375615519e-7
1945,1,3.5259392603356803e-7
1918,1,2.587203786014373e-7
1984,1,2.673016859234873e-7
1949,1,3.3992488744060323e-7
1986,1,1.1772134161836341e-7
1944,1,2.927124763496501e-7
2010,1,2.8911061880039473e-6
2001,1,2.5435337243993208e-6
1929,1,1.8562469337092745e-7
1996,1,1.0053851334999907e-6
1988,1,6.886884623838711e-7
1950,1,2.04096837580969e-7
1941,1,9.867168183405232e-7
1987,1,1.6972949882392256e-7
1915,1,5.245535692223647e-7
1927,1,6.242227516326409e-7
1912,1,2.588257259627757e-7
1995,1,5.287336082955049e-7
1985,1,1.3727901794891095e-7
1962,1,1.201618900716404e-6
2014,1,3.564306245627722e-6
1940,1,8.734228238623039e-7
2016,1,7.441718765229491e-6
2006,1,2.532225221747156e-6
2012,1,2.1230805798736586e-6
1910,1,7.24783682460288e-7
1952,1,4.7222831447984757e-7
1935,1,1.4336734741226169e-7
2000,1,2.4101398097973264e-6
1994,1,6.739847032157457e-7
2002,1,2.532646965455004e-6
1920,1,4.179716503826037e-7
1965,1,5.463590140523475e-7
1938,1,5.576590385268224e-7
1909,1,2.5172486864649235e-7
1978,1,4.103488678701563e-7
1981,1,1.8688716086222316e-7
1964,1,3.6377907180464653e-7
1992,1,2.0284719915419087e-6
1919,1,5.234258393782954e-7
1932,1,3.6295602719268015e-7
1933,1,3.161178635765392e-7
1930,1,2.684204558585933e-7
1958,1,1.6448831596517018e-6
1946,1,4.846882279604852e-7
1942,1,1.8225202498979663e-6
1982,1,3.6827750972531503e-7
1989,1,7.416400763224263e-7
1975,1,1.487756301710176e-6
1921,1,6.02001474433495e-7
1963,1,7.097594295539957e-7
1931,1,1.9048697257958823e-7
1906,1,5.0712474084078e-7
1991,1,7.999105099371256e-7
1905,1,9.993266242821862e-7
1951,1,1.7124539933444653e-7
1948,1,4.034666595133456e-7
1939,1,1.2771822191119557e-6
1914,1,1.3801460003146877e-6
1924,1,4.5716270906797586e-7
1969,1,4.519367700603523e-7
1993,1,3.7844340543340357e-6
1904,1,2.951245425125079e-7
1928,1,2.2685945389090198e-7
1973,1,2.236251498922496e-6
1901,1,9.343208465542204e-7
1911,1,1.0287173750016388e-6
1979,1,2.7308270944826803e-7
1972,1,9.795395302393359e-7
1925,1,6.702305723487038e-7
1983,1,7.701331432490443e-7
1970,1,6.474522146292296e-7
1917,1,7.925655197606378e-7
1936,1,3.4018507416767346e-7
1977,1,3.784224174870737e-7
1955,1,1.655906784119047e-7
1926,1,4.834279538103172e-7
1902,1,3.1429060383813695e-6
1956,1,4.2758238249097924e-7
1990,1,1.2144661761296944e-6
1916,1,1.0221921145578793e-6
1922,1,5.148785476219284e-7
1947,1,3.887655700729018e-7
