sitting,topic,government,median,upper,lower
1,1,1,-1.39455471724454,-1.1696842620893335,-1.6179025512721252
1,2,1,-1.9071697527658653,-1.6840990378682195,-2.147844633121523
1,3,1,-1.847290984611666,-1.6184222205405268,-2.0919883799355667
1,4,1,-2.3248115711855424,-2.084323445069508,-2.5420758446916807
1,5,1,-0.6877044146329786,-0.46022574299830615,-0.9050340487501858
1,6,1,-1.7663926685775477,-1.544008023243402,-1.976629984710397
1,7,1,-1.9881872305123163,-1.762522690270207,-2.2286123278394196
1,8,1,-1.6787765715122336,-1.4469015471305806,-1.900005230479117
1,9,1,-2.4822620284761143,-2.2356913420292526,-2.7030299103147257
1,10,1,-1.624046465839888,-1.3915880539688406,-1.867465729206045
1,11,1,-1.7338534291076633,-1.4995828376333264,-1.9638175022972635
1,12,1,-2.1208203661293927,-1.8965600846447086,-2.371666682327483
1,13,1,-0.6075052147719568,-0.38731705958610757,-0.8349298267960511
1,14,1,-1.9389998280192775,-1.7005160385560565,-2.17789264262558
1,15,1,-1.6163741613231057,-1.4154457111944228,-1.8599588777929605
1,16,1,-2.0135463649111482,-1.771257030450451,-2.252568627971316
1,17,1,-2.1983894720226687,-1.9723638546089388,-2.449158872547809
1,18,1,-1.8175243764379712,-1.5620792065225768,-2.059633808742214
1,19,1,-2.1233229302067844,-1.8725395177192028,-2.3684404568101116
1,20,1,-1.1759717498819637,-0.9651860994407487,-1.4028175203011868
1,21,1,-1.8330414844325835,-1.6000444419704474,-2.0577416942015114
1,22,1,-0.9022836782079632,-0.6546551129083129,-1.1228588295371826
1,23,1,-2.1141489597329732,-1.9081386441790313,-2.3369003550375838
1,24,1,-1.6076035211271744,-1.3662634732832322,-1.8212170018790867
1,25,1,-2.3069565661525626,-2.0709026649413884,-2.529941763231981
1,26,1,-1.9449307582569322,-1.709955601659102,-2.1534609903010757
1,27,1,-1.9330763246695126,-1.713844336160763,-2.1717812414549544
1,28,1,-1.5441863502633661,-1.315550061205556,-1.7788164386285288
1,29,1,-1.97212034958004,-1.738151767367409,-2.204251744476663
1,30,1,-1.9958742998314334,-1.7447170537216072,-2.2446457160468705
1,31,1,-1.9551418346020766,-1.7332593406856127,-2.17191698007076
1,32,1,-1.6285773044927767,-1.3918173045672764,-1.8526299031177706
1,33,1,-2.324463235895813,-2.083770843967879,-2.5504628122343136
1,34,1,-1.755832086947083,-1.5256361885212522,-1.9676758735003723
1,35,1,-2.186649100680048,-1.9675996467305379,-2.4391450604595257
1,36,1,-1.322972716490864,-1.1123419679511168,-1.5181619267559732
1,37,1,-1.9455845591146153,-1.7068429965761243,-2.179979843685111
1,38,1,-1.863241553164978,-1.6619305149657766,-2.0871197787748703
