government,topic,median,upper,lower
1,1,-1.3843855058964043,-1.2112028373451227,-1.5658980209596038
1,2,-1.9093445000450715,-1.736442862538203,-2.0970708066071286
1,3,-1.8477237745642232,-1.6814288894264309,-2.0324224875012087
1,4,-2.323582687964937,-2.152103533734143,-2.5077376803417875
1,5,-0.672814609109416,-0.5037226746128075,-0.8419589592578168
1,6,-1.760692584987016,-1.5996718052288705,-1.9358229044498854
1,7,-1.9932611851412751,-1.8250666984149775,-2.1875520827960635
1,8,-1.6824766729279748,-1.5025236645746278,-1.8601849832191493
1,9,-2.4841212118278904,-2.302871972259946,-2.6557427908121407
1,10,-1.6242222276289215,-1.4385854387109855,-1.8237945742980897
1,11,-1.7371228677071255,-1.5532381566043432,-1.920072755963251
1,12,-2.1271897685544814,-1.9572865917420303,-2.3210478744260126
1,13,-0.6200797616912461,-0.44485143280132405,-0.7900072178542651
1,14,-1.9368218276543856,-1.7677745129934046,-2.1375417394162364
1,15,-1.6151423480250784,-1.4622415480204487,-1.8134925078547075
1,16,-2.0200479605813717,-1.8313243267094672,-2.2106585271047297
1,17,-2.200026977373277,-2.0334722154760922,-2.400684795616158
1,18,-1.815474561738574,-1.6130011068670833,-2.010427417484951
1,19,-2.128300465541562,-1.9362503132350286,-2.31065336770762
1,20,-1.1777521494195864,-1.0176506319125975,-1.3582677550297493
1,21,-1.8323382313454717,-1.66776218123503,-2.0108096679698417
1,22,-0.8987243960817957,-0.7176325426074542,-1.0678275720095347
1,23,-2.1145534772361687,-1.9580591961265217,-2.287096203962824
1,24,-1.6043183421489737,-1.422154733010661,-1.7725620323361646
1,25,-2.3107363572737225,-2.1344548044517775,-2.485433008052409
1,26,-1.9440170278995053,-1.7569252210101483,-2.1049222131115237
1,27,-1.9285398785366157,-1.7646475153972647,-2.1226499357962907
1,28,-1.5408210917206149,-1.3628395447328767,-1.7337875555385633
1,29,-1.9702524716567287,-1.7993548844602703,-2.165145352769361
1,30,-1.9971065510959807,-1.8101399116872783,-2.1897982131842375
1,31,-1.9556008884180551,-1.7855309188691988,-2.117236013903235
1,32,-1.62825378507128,-1.4456665631458863,-1.8020690356811144
1,33,-2.327709291397416,-2.14276004691845,-2.4981947542892944
1,34,-1.7584684080652115,-1.5867492141499788,-1.9275505072356522
1,35,-2.1980069030014406,-2.0355095485845363,-2.399338270345389
1,36,-1.3166049023281863,-1.1518851102360612,-1.4666125167413975
1,37,-1.9490822697277892,-1.7484445408369071,-2.125641491371779
1,38,-1.8593894843838865,-1.7100641393047993,-2.037140298378109
1,39,-2.1341962220562403,-1.9652844862844254,-2.311590710554568
1,40,-1.598275986338542,-1.4396506946702055,-1.7701303195058782
1,41,-1.281287293803843,-1.1159757805118198,-1.437877195785095
1,42,-1.9250152866629802,-1.7597478044752288,-2.1186716127494107
1,43,-2.1423639348824945,-1.962610069390144,-2.2979878032858316
1,44,-2.1624601000265447,-2.0029525288698875,-2.345743081944896
1,45,-1.6080161146044167,-1.4297206373235896,-1.798401428072629
1,46,-2.070472542630654,-1.8845228091314354,-2.2400801281966762
1,47,-2.390350352660926,-2.2208842030142457,-2.546772746242279
1,48,-1.9706501154178864,-1.8083526804413013,-2.1419794237534195
1,49,-1.843535636114181,-1.662005557311209,-2.0374050111957662
1,50,-1.619737362133241,-1.434712871341585,-1.8437669309452183
1,51,-1.5552393776149058,-1.3932004068619044,-1.7504071501887895
1,52,-1.4149907964006228,-1.2511897776016003,-1.5760170305807628
1,53,-2.3836832397563654,-2.1971199888314668,-2.560013900217533
1,54,-1.780574504581567,-1.6003535782244005,-1.972007314777112
1,55,-1.469112162389608,-1.3081045497041708,-1.640606862862617
1,56,-2.0747570152273322,-1.9127812005430656,-2.2364525843117082
1,57,-0.6156042579050625,-0.4581485555205746,-0.791808341577551
1,58,-2.0535783989293623,-1.8944276060325227,-2.2298462658772453
1,59,0.2820829043886145,0.43007720825134105,0.12309140141680519
1,60,-1.4439681775808242,-1.2780189664961423,-1.6179871449413477
2,1,-0.11750191813767301,0.4779575324780857,-0.5851025777226943
2,2,-1.973397542201297,-1.5247149233871202,-2.7450797323488367
2,3,-1.5130256599287453,-0.9545449960384252,-2.129275030724906
2,4,-2.3930409956487373,-1.8918267648441744,-2.770670772598232
2,5,1.9144451704458794,2.287290170119457,1.5349116874172481
2,6,-1.6616917418998214,-1.1177049714916871,-2.130886876448265
2,7,-2.236312617078056,-1.5916443702467402,-2.6930887805959385
2,8,-1.564582024324531,-1.0663363290893684,-2.5192410317943277
2,9,-2.6984231496112345,-1.958424751959933,-3.2257976406356343
2,10,-1.5611835928773528,-1.0771073835648433,-2.599696953969381
2,11,-2.1076413745390976,-1.5539446181085406,-2.501967427745104
2,12,-1.9099989422392731,-1.384460896312885,-2.50845349953672
2,13,-0.7237905794570317,-0.3271537356135572,-1.3880576250362189
2,14,-1.8534395331143005,-1.1933079642050857,-2.4486842144010086
2,15,-1.400489586886695,-0.7938487813906894,-1.6821809700653696
2,16,-2.0384754827600977,-1.4199953506597063,-2.565940108830099
2,17,-2.4209170821230672,-1.9395540238664377,-3.284307300542363
2,18,-1.9656322533941037,-1.3674013018237785,-2.6030456198488037
2,19,-2.196636250844402,-1.6675407066768781,-2.753985298871054
2,20,-1.0107514256595982,-0.40891752317605073,-1.5549518804595506
2,21,-2.042266642518666,-1.182128526691398,-2.511699565990412
2,22,0.6055529735472667,0.9773347988201417,0.23424901935795586
2,23,-1.9393458089751927,-1.6186615017648225,-2.729253067518929
2,24,-1.3224273854951547,-0.8088340406564826,-2.22304244848194
2,25,-2.135195681805268,-1.749113179757978,-2.690346261591607
2,26,-1.8056514360907872,-1.30038139050004,-2.8591483434484948
2,27,-2.1168517452356395,-1.6134803969022848,-2.6275766901339668
2,28,-0.8764254958295397,-0.48769517785873345,-1.3745922507133244
2,29,-2.0734030439626707,-1.2989014181571703,-2.8367059309040235
2,30,-1.9664002537479328,-1.457094143590348,-2.354810637876189
2,31,-1.9812601788794872,-1.2132253570729108,-2.9980238045621066
2,32,-1.364550899399216,-0.7292507404052322,-1.67501098479996
2,33,-2.589466081153936,-1.901958020673031,-3.0238220580565582
2,34,-1.7635410600293908,-1.3523791590668521,-2.1339816257216264
2,35,-2.0318024943901682,-1.639726509000891,-2.936546723010933
2,36,-1.4362542507176626,-0.8141261650380424,-1.7786318052114345
2,37,-2.0931346547639373,-1.5974795655483907,-2.618292737670658
2,38,-1.657292944597442,-1.0698119880824803,-2.4501398059469044
2,39,-2.140681546511355,-1.619756654201261,-2.6490444575422485
2,40,-0.9106290088117934,-0.1990882261371821,-1.6473254113734812
2,41,-1.316747776323823,-0.6843645930319253,-1.8005103252170258
2,42,-2.039463510220042,-1.2218904874986072,-2.3333276179610274
2,43,-2.3600709749175657,-1.7611350353307111,-2.754399333911724
2,44,-1.9832824973471719,-1.5132797655366301,-3.334931822671249
2,45,-1.161615515106356,-0.5515528716806013,-2.2942209550522747
2,46,-1.7561061432481535,-1.3794575276649914,-2.2847407582778807
2,47,-2.386150914913856,-1.6836880452757557,-2.890019752051456
2,48,-1.5410138443313026,-1.1624716729462095,-2.3347246995209123
2,49,-1.3345987818212783,-0.8578346735388752,-1.8338857013764704
2,50,-1.2904038647812446,-0.4171030982812776,-2.370082168746136
2,51,-1.8641225785068651,-1.083463585361026,-2.3432077808986844
2,52,-1.4195551985742345,-0.9916342540026174,-2.6633963801175318
2,53,-2.379266106849593,-1.9755720390548839,-3.0079423653325272
2,54,-1.391538580042845,-0.75573003260166,-1.8748694685972622
2,55,-0.8411418398051252,-0.16850481927381397,-2.047357626333281
2,56,-2.2317125077456517,-1.5720181883957571,-2.766385431007822
2,57,-1.7441592003100872,-1.0431000107495132,-2.449816849155828
2,58,-1.7177916791591348,-1.1234782614496355,-2.43803369240348
2,59,0.14691656280340332,0.5252075285780557,-0.5555840353686238
2,60,-0.5912772805921296,-0.20709859574335232,-1.7408254281212734
3,1,-1.3236856409857691,0.9159996538969916,-3.810873442283325
3,2,-1.954946061879943,0.6769538155904953,-4.195819939096773
3,3,-0.784734889935524,1.6787297316664718,-2.951368754644127
3,4,-2.1915077999804797,0.11175497453407952,-4.54351263382684
3,5,0.16666572801190474,2.515361135869069,-2.1304235936678824
3,6,-1.5168438764874506,1.0289877172345971,-3.7828407118034297
3,7,-2.0155874831313465,0.5098821398435694,-4.399777391679281
3,8,-1.7885527481969645,0.6218502159990672,-4.137872076086512
3,9,-2.3344953985498034,0.1078908576756637,-4.678200756604601
3,10,-1.610787568005248,0.7368114712597225,-3.8503036169284606
3,11,-1.672080987809516,0.49741098461614075,-3.975594840048924
3,12,-2.063239056733949,0.609857384846282,-4.245719471389268
3,13,-0.8909089830702004,1.4055900519047708,-3.221423427886264
3,14,-2.0833716618773597,0.4154390898662102,-4.522889843631453
3,15,-1.5272946299224344,0.9987444148651115,-3.839299250145423
3,16,-2.0072419009764193,0.3754926957435159,-4.176120166516874
3,17,-2.144594106408531,0.486129613177802,-4.359418160754223
3,18,-1.9381269615276584,0.2965613241944928,-4.2973936170446265
3,19,-2.146540607083965,0.27601696878745063,-4.362699649168885
3,20,-0.9676995794945065,1.4004997662193162,-3.346591778840835
3,21,-1.7909685267244673,0.7141579258785803,-4.022957392142687
3,22,-0.7906098366387693,1.588903889527469,-3.2730626997073933
3,23,-2.134285818046224,0.3020235572309312,-4.516388996188783
3,24,-1.2258122528130726,1.071824956496972,-3.642375662434041
3,25,-2.383018554055939,0.021110248811595598,-4.586765894766909
3,26,-1.9296663089104245,0.47073221285691685,-4.129357706925535
3,27,-2.2307209818928024,0.12661255049171022,-4.548996890316639
3,28,-1.1563235498341649,1.2099406866875493,-3.550641973556813
3,29,-2.0087235305074933,0.5318864686168208,-4.1685788161723085
3,30,-1.9866862412922668,0.4690283124767136,-4.271565950151225
3,31,-1.9659088527778206,0.5914593988361531,-4.2107669997949895
3,32,-1.7126294166659675,0.6068406717693242,-4.112162641112838
3,33,-2.311333043340545,0.136111756785376,-4.719372768200565
3,34,-1.8857199911518105,0.5473887911758736,-4.259863100062654
3,35,-2.2309513465054556,0.18644419568325096,-4.548629067437379
3,36,-1.6190229557862246,0.8005226261838772,-3.8714176412968415
3,37,-1.700000707959564,0.8232591891506051,-4.07009365944934
3,38,-1.9867793487321705,0.2732651886260839,-4.196333758153102
3,39,-2.0876928930744354,0.33639225340859114,-4.3415137689838845
3,40,-1.5854855080858332,0.7911263225619782,-3.9623870774341015
3,41,-1.5068471107225418,0.8721791074808959,-3.826288179601491
3,42,-1.8540813438799864,0.6481789885995362,-4.117976125030701
3,43,-2.1137579502859856,0.27173346595204434,-4.226478613531343
3,44,-2.1641334906680196,0.1446269017598392,-4.465356419237369
3,45,-1.6170625794701063,0.6735576687862224,-3.8322632106727093
3,46,-2.0358932783269976,0.4211129445176008,-4.398024242654022
3,47,-2.3732466654062128,-0.14014089285797376,-4.626713169842949
3,48,-1.8163784400982048,0.7255965318533626,-4.235176890112154
3,49,-1.8618760407798405,0.6419987757516398,-4.049046094448179
3,50,-1.7416704640846667,0.6663845027267662,-4.022123394658351
3,51,-1.7429300205998919,0.6673777642912455,-4.047486662598809
3,52,-1.5521130116835733,0.7674648362542784,-3.98925198983565
3,53,-2.3503720551249474,0.11562888426577335,-4.702083099280119
3,54,-1.3348497546530131,1.0231254925793432,-3.65593751891398
3,55,-0.6701022818363382,1.614960918328386,-3.0194736472026094
3,56,-2.243705986590336,0.24415239687123177,-4.594394015926876
3,57,-1.5502924232003727,0.8698015201649749,-3.777267756753654
3,58,-1.9496754237129466,0.7245445399652232,-4.254091521292563
3,59,1.0415514003664352,3.4135151477860086,-1.4159077624922765
3,60,-1.7265360647830281,0.6075496799979438,-4.105552463938595
4,1,-1.3612583864412553,0.18239775915095657,-3.0006580108753576
4,2,-1.832935248330077,-0.3826997950358689,-3.5649139314088667
4,3,-1.378024462852954,0.16827358305834425,-2.9931126128174474
4,4,-2.5273881610761073,-0.8722467141399485,-4.027505429182499
4,5,0.805908918678298,2.1412387389623606,-1.0346247693434973
4,6,-1.5716954273777053,-0.1277831947532942,-3.4347312102377945
4,7,-2.010984013008459,-0.30471018940044997,-3.635636333629189
4,8,-1.544022348474888,0.12391944935177553,-3.049031099933077
4,9,-2.5594728002269633,-0.7553660605956878,-4.1183054113040845
4,10,-1.41714437267518,-0.05028899419744144,-3.106471744085348
4,11,-1.6750216870999086,-0.08169058132749,-3.240380340787299
4,12,-2.044275619036796,-0.47585340293259876,-3.595116203161499
4,13,-0.7544062133616238,0.8421072647830341,-2.2732039062184617
4,14,-1.9507515783291272,-0.2578715592607962,-3.6389394521787257
4,15,-1.360992272538493,0.07545786016418808,-3.0865177468230156
4,16,-2.2973696871557356,-0.4088901807692705,-3.598732488081446
4,17,-2.0199404951244633,-0.5428117622974602,-3.8248341459888318
4,18,-1.5337606646074131,0.030189770101691715,-3.103659889419946
4,19,-2.1920307612542222,-0.39116257888576256,-3.6786308710309665
4,20,-1.007421169130592,0.5262862226270455,-2.769227972971294
4,21,-1.7630064923165585,0.0056916453109130205,-3.071737939114921
4,22,-0.6588439023944604,1.1692539436301195,-2.041965511437755
4,23,-2.276634592921228,-0.3618923142782,-3.6187077717457514
4,24,-1.7061676587050068,-0.172148152365574,-3.337008983872553
