sitting,topic,gov,median,upper,lower
1,1,1,-1.4237835185495311,-1.154899913000494,-1.6767672146580979
1,2,1,-0.9089105756679392,-0.6438769443335106,-1.356372392842731
1,3,1,-1.0295169119633503,-0.8118514163473158,-1.2492201371792946
1,4,1,-1.696076415533123,-1.446024655727246,-1.9699282300611693
1,5,1,-1.633276642288478,-1.3863476439848594,-1.883245641776792
1,6,1,-1.6879440235224574,-1.431373754484173,-1.9862251927048402
1,7,1,-0.9742395729995097,-0.42997694735313297,-1.3371723733500402
1,8,1,-1.084813056466797,-0.41331398975188394,-1.9076003195646316
1,9,1,-1.556182881115128,-1.1527496104036539,-1.9755100841963273
1,10,1,-1.2270283677030083,-0.6414913369379661,-1.9813039404832113
1,11,1,-1.655539901869409,-1.348042842089415,-1.9819786227018612
1,12,1,-1.3585007471393373,-0.8426255649395964,-1.9244887485309499
1,13,1,-1.9318504816585258,-1.6157448885850743,-2.180795769361847
1,14,1,-2.2430886991184935,-1.932435949779858,-2.5195633970025666
1,15,1,-1.4671571728848152,-1.2092792657220979,-1.755134524925781
1,16,1,-0.6287285896635804,-0.41001483856788645,-0.9054025107246558
1,17,1,-2.1597009450775033,-1.9328564386205402,-2.432543596666494
1,18,1,-1.5035547982002664,-1.1092620781645341,-1.9537793515589668
1,19,1,-1.841204020881165,-1.4947256611894468,-2.19043168223809
1,20,1,-1.1954496673896893,-0.7964602375600836,-1.6418940784473997
1,21,1,-2.0753332716015365,-1.8244794634185022,-2.3718666766591294
1,22,1,-1.8197828203199353,-1.5596348363023074,-2.091228252129936
1,23,1,-2.024281640667182,-1.7647874426707442,-2.277849260517754
1,24,1,-2.38037349327874,-2.0593642606859923,-2.671538837291456
1,25,1,-1.5658764472855409,-0.7231448977233166,-2.7176290520433555
1,26,1,-1.905046466781248,-1.6442010833396432,-2.1944648525543737
1,27,1,-1.266063714520612,-0.8565464536512281,-1.7757163971280139
1,28,1,-0.011453033425040005,0.5151146490231179,-0.6834241358942788
1,29,1,-1.7688918726245262,-1.4713651198990718,-2.063800998868997
1,30,1,-1.9498958667482107,-1.7350207810182519,-2.238592275088081
1,31,1,-1.5026734399176873,-1.1449286553498372,-1.9349919124229669
1,32,1,-1.672211128544117,-1.3637718565121688,-1.968249346019594
1,33,1,-2.378069742187849,-2.1127755263971872,-2.658536601346049
1,34,1,-0.9784197907340426,1.417381208582995,-1.391815491322785
1,35,1,-2.1208297879629203,-1.8131643370159363,-2.3834327156182975
1,36,1,-2.0335657951872124,-1.7257154053788875,-2.2998979754460454
1,37,1,-1.6627346847503626,-1.4334445748019238,-1.941811994289404
1,38,1,-2.1725643722339294,-1.9562664893932133,-2.4285265028066947
1,39,1,-2.378246826994661,-2.132028591460762,-2.625848457212952
1,40,1,-0.7709099504105497,-0.20307159823583226,-1.5450727722308337
2,1,1,-1.4087253520837513,-1.1924976280711836,-1.6165372084747092
2,2,1,-0.8952729617538029,-0.6687339489553832,-1.1671422229470503
2,3,1,-1.0250619264013952,-0.8329331124628481,-1.2083092055947042
2,4,1,-1.6732754460926427,-1.4681761428474571,-1.9199438795100152
2,5,1,-1.615672082939257,-1.4140934813773496,-1.8173945857113467
2,6,1,-1.6565199190202389,-1.4382467740481781,-1.911067534470194
2,7,1,-0.9752137767533844,-0.6945927344911668,-1.2573720517199076
2,8,1,-0.5202769553293873,-0.20856626543365203,-0.8680226286562029
2,9,1,-1.509556127438098,-1.2317118201143817,-1.8174546580566089
2,10,1,-1.2543298011566324,-0.9363765332321186,-1.5828189731339697
2,11,1,-1.6939676752925035,-1.47025062009049,-1.9474726401138287
2,12,1,-1.3871293235886584,-1.106855235468923,-1.7142388462750122
2,13,1,-1.933770199126954,-1.6940335654563232,-2.140028702399993
2,14,1,-2.2589645836805463,-2.0053749699892416,-2.484007720649529
2,15,1,-1.4649559510725938,-1.2647818562884634,-1.6906462711983434
2,16,1,-0.645425273795336,-0.4455900293275493,-0.8683630627733998
2,17,1,-2.1705750850620777,-1.9856944730101829,-2.3984528349934657
2,18,1,-1.5370296834570216,-1.2816151983801904,-1.8369432878875127
2,19,1,-1.8145892390910228,-1.5947072734970436,-2.093031953453776
2,20,1,-1.207985526630761,-0.9497556808779662,-1.4834788244587036
2,21,1,-2.096035134957906,-1.8757672366414473,-2.32908400345065
2,22,1,-1.8398581735361892,-1.6234753626946379,-2.060510326264453
2,23,1,-2.0452716765429306,-1.8517668610074254,-2.240763247204846
2,24,1,-2.365946734123539,-2.0978892958457775,-2.611818359564203
2,25,1,-1.1864431297588742,-0.8381585295866428,-1.575679780396883
2,26,1,-1.8895687432739063,-1.6981033342293845,-2.1673162689297345
2,27,1,-1.0510933237147575,-0.7448490735189421,-1.3614598476027964
2,28,1,1.3542426539942616,1.5670122019468868,1.1318896927076314
2,29,1,-1.7846625497262045,-1.5317616411242276,-2.0559877312086647
2,30,1,-1.940757488156823,-1.7677793877916874,-2.190750309150279
2,31,1,-1.4965122724059166,-1.2586194261783519,-1.7958150996682976
2,32,1,-1.6656108906309575,-1.4179592963357317,-1.8994151009113542
2,33,1,-2.37631163767925,-2.1563802592635035,-2.608044302194586
2,34,1,-1.000696767677494,-0.5668509744005849,-1.2988555366718109
2,35,1,-2.1215243565772175,-1.874873440937787,-2.3224788590764938
2,36,1,-2.039883303532508,-1.7741937399119971,-2.2531600900561903
2,37,1,-1.6621738440390015,-1.4853373736439466,-1.9133405500146106
2,38,1,-2.179490511052372,-1.9996396386762323,-2.4087071962034172
2,39,1,-2.378871253399747,-2.1613273486433027,-2.5717144462455312
2,40,1,-0.5765259026895171,-0.2816105303849133,-0.8916320580762633
3,1,1,-1.4328767835286589,-1.249750344703722,-1.6397339265593884
3,2,1,-0.9694815874316782,-0.7414239082915701,-1.2481075734515357
3,3,1,-1.069662050760438,-0.8811926721973161,-1.2325246467816158
3,4,1,-1.7011894730221218,-1.5007263375086901,-1.930531155528287
3,5,1,-1.6382557704222591,-1.4589947952634015,-1.854479531530401
3,6,1,-1.6290086551271779,-1.4326128864494823,-1.86721957295279
3,7,1,-1.1152624274685037,-0.8804777569516897,-1.4190452005951133
3,8,1,-0.6371751610504746,-0.32713963008679575,-0.9780709015186827
3,9,1,-1.6702248640239228,-1.421182565823845,-1.9634579231663851
3,10,1,-0.8616510279327365,-0.5539017543162089,-1.2087631994969126
3,11,1,-1.6221143954740047,-1.3909270411077848,-1.9049275518555777
3,12,1,-1.1365997884904506,-0.8333080186409221,-1.4687512219323635
3,13,1,-1.9275124780795019,-1.7056458859399495,-2.120428640143257
3,14,1,-2.2536487060257926,-2.0118816357329803,-2.474003087024024
3,15,1,-1.47248085454937,-1.2881543860782079,-1.694264950436373
3,16,1,-0.6589257984794772,-0.4593728074586779,-0.881548945307793
3,17,1,-2.1688699513826344,-1.9981819754656942,-2.3950588905573325
3,18,1,-1.5298348809233837,-1.2687606465998122,-1.8398991566271239
3,19,1,-1.7469862537908845,-1.5241840247975322,-2.02780603760195
3,20,1,-1.2108927170084738,-0.9552453316276899,-1.4978936195142705
3,21,1,-2.0896153990871937,-1.8942769542361793,-2.3315737475469915
3,22,1,-1.8492675293363707,-1.6066472508390741,-2.0512407777930894
3,23,1,-2.042542179540747,-1.8444791975297008,-2.237291522328577
3,24,1,-2.3783506347664654,-2.133046882557425,-2.598218811380301
3,25,1,-0.926622543073838,-0.6175924745952965,-1.2985750259799689
3,26,1,-1.888511134797144,-1.714369865816334,-2.146459137621021
3,27,1,-1.3104539096734422,-1.037074815151932,-1.628188393462752
3,28,1,1.3886005098283263,1.5880728278244665,1.167690961299015
3,29,1,-1.7912409200996198,-1.551567296737928,-2.061054348862205
3,30,1,-1.9246321274144937,-1.7628552683628063,-2.1712980727460756
3,31,1,-1.5254208098790185,-1.289157462187748,-1.798498802966306
3,32,1,-1.6018194516919124,-1.3562790540681555,-1.8191756273800872
3,33,1,-2.3895505646990944,-2.1660080910257125,-2.620269269239829
3,34,1,-1.3198563559300687,-1.078391029937538,-1.6505156039788007
3,35,1,-2.1365903421190935,-1.9235240963094946,-2.323345137021829
3,36,1,-2.0749807127479816,-1.8504703200171895,-2.2855167123589655
3,37,1,-1.6653315747205308,-1.494714743598272,-1.88437463049083
3,38,1,-2.2051655944601367,-2.025489141174528,-2.419040940165341
3,39,1,-2.3871891637797362,-2.181962395043754,-2.574363160573711
3,40,1,0.1505418564400209,0.4148806578107381,-0.15196545235563158
4,1,1,-1.464024856261547,-1.263205379080846,-1.6466586588720216
4,2,1,-1.0276146755926,-0.7672510736288514,-1.2946220558795154
4,3,1,-1.0784588675114306,-0.8927244675446426,-1.2334431351770838
4,4,1,-1.705637661532446,-1.5043326934032615,-1.9427124010357657
4,5,1,-1.6401424292549431,-1.4586157056381992,-1.8495584733022752
4,6,1,-1.5957451648232759,-1.3754061140571916,-1.823521706144256
4,7,1,-1.0687936851588273,-0.8379707046499614,-1.3436779993437504
4,8,1,-0.25096574143956385,0.05862954262659708,-0.5884626435075802
4,9,1,-1.6667100049417796,-1.4337211256048283,-1.9391900561519106
4,10,1,-1.1442634477017888,-0.8260536213687648,-1.5068499479362067
4,11,1,-1.6115090597720827,-1.378182648235664,-1.9164696266990542
4,12,1,-1.2880320558592921,-0.9882610280920833,-1.5843073411884405
4,13,1,-1.9086899082107933,-1.683354217750414,-2.114796151194747
4,14,1,-2.2675879942093307,-2.0104835330283968,-2.46910772067508
4,15,1,-1.4589140708739343,-1.2402324029139322,-1.6670990094496518
4,16,1,-0.6822556112568399,-0.4606129633470009,-0.9022289565020878
4,17,1,-2.192392833170175,-2.0035338242130765,-2.3880539053171255
4,18,1,-1.4546016268910407,-1.1687448560501286,-1.7449093682188324
4,19,1,-1.636673432537468,-1.390507684359232,-1.9089988443500072
4,20,1,-1.1196111558948725,-0.8533222591900204,-1.3908945955169418
4,21,1,-2.0981635798802856,-1.9076947926843502,-2.333349112083189
4,22,1,-1.8896056747701468,-1.6603306406870562,-2.0658707006897736
4,23,1,-2.05659448528211,-1.8543329068725398,-2.2513758578931253
4,24,1,-2.3614944815058885,-2.1364944843413127,-2.5707653309807967
4,25,1,-1.323198221876336,-0.9869347643890596,-1.7128158129901245
4,26,1,-1.9063594659127774,-1.703623199701102,-2.1469993723684637
4,27,1,-1.3351214434859724,-1.0753554316621876,-1.6644467207867735
4,28,1,1.2705854513999648,1.4727934556118258,1.0429297152833494
4,29,1,-1.8039782180978419,-1.5747109605841998,-2.0688546837291564
4,30,1,-1.922299730201549,-1.7260884578999098,-2.142797504077098
4,31,1,-1.4824042100406043,-1.2375665028548761,-1.739627807801029
4,32,1,-1.5925320668065468,-1.3560113794957984,-1.8284716726973034
4,33,1,-2.380636751680923,-2.142368189581469,-2.604441620529369
4,34,1,-1.3614193240097334,-1.1210231546209777,-1.6758455975780684
4,35,1,-2.1422000111185326,-1.9149779223701602,-2.3445534888588813
4,36,1,-2.0889508239625743,-1.8524443319969326,-2.3040295746399284
4,37,1,-1.6924496689610433,-1.5054750680877311,-1.9079098826425462
4,38,1,-2.215378659195334,-2.0229976953800906,-2.433532931446811
4,39,1,-2.3910189321102755,-2.17514499142192,-2.5952272296405363
4,40,1,0.33228665269237656,0.6038906657009944,0.019044139953316372
