sitting,topic,gov,median,upper,lower
1,1,1,-1.5577459932270126,-1.3558634728680772,-1.7652403382652724
1,2,1,-1.3807428537216375,-1.1058464808238975,-1.6757940662489577
1,3,1,-1.2258898848285729,-1.0228340392396023,-1.4459641950005861
1,4,1,-1.8056929728618492,-1.5888077540073713,-2.024850315198181
1,5,1,-1.7651717837406973,-1.561016747674035,-1.986384482774351
1,6,1,-1.5123939566478293,-1.2980967593374784,-1.7340566258259826
1,7,1,-1.0236975435615072,-0.6934395368349644,-1.2572503526574115
1,8,1,-0.906184462354716,-0.15814895063578735,-1.5734182485342265
1,9,1,-1.5794191503058905,-1.2231672615068099,-1.8364187130694059
1,10,1,-1.482225843571665,-1.2022594891586897,-1.7869897882215013
1,11,1,-1.778941271973929,-1.5797568760247047,-1.9888117642851308
1,12,1,-1.3874122666299358,-1.1482252154605792,-1.6430786434512348
1,13,1,-1.9317142184855025,-1.7405193643387828,-2.1457579169958203
1,14,1,-2.2895573384003014,-2.0762348569137745,-2.512468298672076
1,15,1,-1.5048560171779108,-1.3166659062394768,-1.6985709282966113
1,16,1,-0.8052898762963139,-0.5885282945694164,-1.0081825253960364
1,17,1,-2.277728086729967,-2.0684042462911076,-2.505447091004255
1,18,1,-1.652623261783278,-1.4030073520770943,-1.9641762724891039
1,19,1,-1.563477369048993,-1.264305276398189,-1.8267665183374315
1,20,1,-1.2011577200845933,-0.9333741683995924,-1.497071694000427
1,21,1,-2.1581472042782757,-1.9496616716515276,-2.356730529785432
1,22,1,-1.9675394821714516,-1.7750301388142689,-2.192487094984375
1,23,1,-2.122766615392808,-1.9349478862975322,-2.3393181493641118
1,24,1,-2.3831498450006023,-2.1724559843736038,-2.5881067867828813
1,25,1,-0.33022430387806156,0.43698653345422117,-1.2465961148192075
1,26,1,-2.0566243661508428,-1.8480205842483128,-2.26061511365712
1,27,1,-1.260666236788595,-0.982228760588837,-1.530512106610418
1,28,1,0.7681170498153715,1.1484287760091842,0.3107910878938009
1,29,1,-1.938148787935311,-1.7164293730912248,-2.1413965015276317
1,30,1,-1.9792306583244013,-1.768403366620695,-2.1739403699142708
1,31,1,-1.654237133787349,-1.4330519663307835,-1.915038633710164
1,32,1,-1.530738019805538,-1.3482249616862942,-1.7394481225507932
1,33,1,-2.359381076080375,-2.128513839672675,-2.560091022838698
1,34,1,-0.9407675462143799,0.08257734532079886,-1.873827248702629
1,35,1,-2.1887408392579353,-2.002921247048902,-2.3966511813991147
1,36,1,-2.1473118634333384,-1.9386583402073936,-2.3686286928618583
1,37,1,-1.825866570693511,-1.6497853258466084,-2.024951910577807
1,38,1,-2.3065169606772655,-2.108574987470577,-2.5131884296988862
1,39,1,-2.4768934367912063,-2.2839572725624353,-2.6761788866540033
1,40,1,-1.0533463209676226,-0.7171752605234201,-1.426166161892898
2,1,1,-1.5690677855877733,-1.405168251262368,-1.73398178596546
2,2,1,-1.3987782828594444,-1.1517371152665854,-1.6702180128771724
2,3,1,-1.2390339836555309,-1.0725061672901175,-1.4306549905607093
2,4,1,-1.8108740089977453,-1.6310453465006827,-2.0045140333884017
2,5,1,-1.778879323928181,-1.6042276174384373,-1.977386383582007
2,6,1,-1.504067193433194,-1.3292843400083436,-1.7014381793516016
2,7,1,-1.0471150852002045,-0.7138714767692472,-1.2440190586350854
2,8,1,-0.8993414273437258,-0.1823467736259393,-1.5574437404241204
2,9,1,-1.5712304537130852,-1.225781898671809,-1.7963132656478997
2,10,1,-1.5008533620056554,-1.2439864130843143,-1.7732707557836629
2,11,1,-1.7921871528879392,-1.6267506936397935,-1.95807009740162
2,12,1,-1.3952991643442485,-1.1741259600024052,-1.6281387226222115
2,13,1,-1.94427407221612,-1.7797515887621174,-2.1204770298694746
2,14,1,-2.294433579770255,-2.1156367358398063,-2.47963008880657
2,15,1,-1.5060692600064782,-1.349171507365936,-1.6763320516822722
2,16,1,-0.8130710548347522,-0.6250850595047257,-0.9753001437063357
2,17,1,-2.29210917986185,-2.1111789088704915,-2.4838418743052753
2,18,1,-1.6671305334016118,-1.4412934785271587,-1.953076925074333
2,19,1,-1.5483653786598874,-1.284039331143372,-1.8022567997503434
2,20,1,-1.206739509676808,-0.9661395677793734,-1.4743486466582694
2,21,1,-2.1541964794370063,-1.98711867910742,-2.3267294719173446
2,22,1,-1.9765358925168917,-1.8162305869890225,-2.1705942612434246
2,23,1,-2.1330528806199944,-1.9702200512145158,-2.3148925629823998
2,24,1,-2.3827987187561073,-2.211812609814567,-2.5540778787038447
2,25,1,-0.3245026018800824,0.4319286845609732,-1.2411625606305023
2,26,1,-2.0680671512065003,-1.8985959861651955,-2.233448979914366
2,27,1,-1.246473602341147,-0.9965877235483189,-1.4953882376430176
2,28,1,0.7875056340202905,1.1408017644604724,0.31850193350127187
2,29,1,-1.945704519007411,-1.7523419356385264,-2.1233487548722354
2,30,1,-1.9773498702850745,-1.801548612413829,-2.1358704652967013
2,31,1,-1.6758222493254213,-1.479605650235721,-1.9062520388489137
2,32,1,-1.5380855547401715,-1.3780039656989262,-1.69656020799555
2,33,1,-2.3592615168978437,-2.188362276256322,-2.522944941446327
2,34,1,-0.9469319071839785,0.07520263546015056,-1.872829491305656
2,35,1,-2.1969777319436816,-2.0431719454419066,-2.3758297922267473
2,36,1,-2.156020115730451,-1.9704926876397428,-2.3404623838283354
2,37,1,-1.8319251346300236,-1.6852868590496277,-2.0005230599118993
2,38,1,-2.3154634278369897,-2.1471279118993922,-2.485435607231423
2,39,1,-2.4767591505234936,-2.3220093565459936,-2.6418365959632224
2,40,1,-1.0610734689627404,-0.7519496012931917,-1.4156957330727185
3,1,1,-1.5812662712878018,-1.418396728764227,-1.7403965890575228
3,2,1,-1.4168333188465356,-1.164709278470248,-1.6647490801043625
3,3,1,-1.2460855916783884,-1.0872248482296802,-1.4383761323975972
3,4,1,-1.8190597237309163,-1.647506010086409,-1.9992807567524096
3,5,1,-1.792402001548702,-1.6267202949505224,-1.9811881314110065
3,6,1,-1.504498337749233,-1.3268501659860152,-1.685555293091754
3,7,1,-1.0675048824531808,-0.7564150087833228,-1.2564348700031298
3,8,1,-0.8861970400869199,-0.17062295882393408,-1.5370514011713998
3,9,1,-1.5530557917478562,-1.2135214212761616,-1.7790481527479989
3,10,1,-1.518344987707281,-1.2590671138893494,-1.7742984308750993
3,11,1,-1.7999088388192737,-1.6391461761906119,-1.9622039509807625
3,12,1,-1.3949156121837427,-1.1839202328388034,-1.6108399741070474
3,13,1,-1.9562224385661855,-1.795894066194075,-2.123288381676703
3,14,1,-2.298280037102674,-2.127269200808328,-2.4688328854285957
3,15,1,-1.505661430884502,-1.351574124590194,-1.668005660549787
3,16,1,-0.812117040214493,-0.6373478579086714,-0.9692941406022596
3,17,1,-2.30526889125431,-2.132270777696611,-2.4891749761099256
3,18,1,-1.6801336984324975,-1.4665242758434132,-1.9516036470205356
3,19,1,-1.536094670145005,-1.285865769737462,-1.7984972466655471
3,20,1,-1.2051428229195564,-0.9678961419277293,-1.4572616928865127
3,21,1,-2.154295998090151,-1.9924501074200207,-2.3220844734436237
3,22,1,-1.990884815388501,-1.8275169581345778,-2.175407471778427
3,23,1,-2.1389787820695485,-1.983195409928719,-2.3053385965465245
3,24,1,-2.3816043358005423,-2.2204699821886704,-2.5343951908977065
3,25,1,-0.3228481803878852,0.4282538521178274,-1.2456940320687038
3,26,1,-2.074082233541483,-1.9140655267824858,-2.2290936444381604
3,27,1,-1.2308221625294453,-0.9961372653488181,-1.4871725779649323
3,28,1,0.8057724067451109,1.1610660404579212,0.34825181036385083
3,29,1,-1.946839421288956,-1.7645590089004968,-2.1145783140219065
3,30,1,-1.9744341770219553,-1.814122923770941,-2.132384965339484
3,31,1,-1.6917824948623896,-1.5015301445633407,-1.905059067944092
3,32,1,-1.5438305818831157,-1.383489123163847,-1.700782889434048
3,33,1,-2.367869006168582,-2.203545851956634,-2.5091882403584096
3,34,1,-0.9616492142024757,0.05746270797309287,-1.886181187109942
3,35,1,-2.205520637623338,-2.0503811173225093,-2.3769334066546453
3,36,1,-2.1654435901516487,-1.9737410647090372,-2.336507793065795
3,37,1,-1.8406392205802047,-1.6921856082577937,-1.998370519724028
3,38,1,-2.3263342482456038,-2.1626468590699184,-2.4867409755485954
3,39,1,-2.476242300655377,-2.3217690026432587,-2.6372974473786535
3,40,1,-1.0632610437505596,-0.7515440646667831,-1.4009453553922975
4,1,1,-1.5877575041929453,-1.4133055403618862,-1.7758895825504224
4,2,1,-1.4235668781625397,-1.1712581723918882,-1.6696202722669315
4,3,1,-1.2560678199388575,-1.08165230390656,-1.4624396677080156
4,4,1,-1.826928392028241,-1.6474842151613207,-2.02729516058019
4,5,1,-1.8065903689343181,-1.6257704778631932,-2.0104253148368794
4,6,1,-1.508939080119466,-1.2868053184240837,-1.7159938732486295
4,7,1,-1.086067145829106,-0.7792896567828029,-1.2818453433794856
4,8,1,-0.8761795867916449,-0.16661368872743287,-1.5384359312919071
4,9,1,-1.5252617771086983,-1.1971498973817327,-1.7762469773388632
4,10,1,-1.5248990929473087,-1.2441749751433864,-1.7904188033088295
4,11,1,-1.8050319944929916,-1.6221351575004375,-1.984805414657016
4,12,1,-1.3882467557337317,-1.1742808645898843,-1.611184640885242
4,13,1,-1.9724869563131784,-1.7805549878449367,-2.1489065977279167
4,14,1,-2.297584442008654,-2.1019510836453046,-2.4850560661964374
4,15,1,-1.4999731909118883,-1.3221813422450206,-1.6851068024588118
4,16,1,-0.804141178484512,-0.6172156649400381,-0.9855404416311575
4,17,1,-2.3149867310603582,-2.10979987999016,-2.505974317774883
4,18,1,-1.6904097176499793,-1.4640018593384603,-1.9510585536005622
4,19,1,-1.5324857965065435,-1.2693203271021014,-1.8076822962962715
4,20,1,-1.206083488413851,-0.9551758587522026,-1.4664061344278603
4,21,1,-2.15346538653373,-1.9693930398525845,-2.340473973500707
4,22,1,-1.9957722803639997,-1.8075116890600647,-2.196409185672348
4,23,1,-2.1382702747116533,-1.9602407608392536,-2.327120018293404
4,24,1,-2.380036843900427,-2.190152349927893,-2.559451499781179
4,25,1,-0.33084612721414963,0.43983522611218806,-1.2504966818031351
4,26,1,-2.0805714889535247,-1.8978278874568604,-2.2448388262629106
4,27,1,-1.2251533884204342,-0.9746343918283236,-1.4888835926254653
4,28,1,0.830234567200173,1.1840162898216062,0.35079098768533323
4,29,1,-1.9463212247084523,-1.7642081394142946,-2.1360149232789905
4,30,1,-1.971581670483714,-1.8025516162456254,-2.1571647742125886
4,31,1,-1.7042480014297232,-1.4974069331334825,-1.9172863344835485
4,32,1,-1.559958566339107,-1.3706214018065015,-1.737866282668139
4,33,1,-2.3744694145219363,-2.1875340415209865,-2.5260139502427545
4,34,1,-0.9779887381150589,0.06635165855732086,-1.8819990420449995
4,35,1,-2.211372807901431,-2.022165289221648,-2.3983296563325074
4,36,1,-2.1688536695751353,-1.9598219045540521,-2.351108321313163
4,37,1,-1.8466993977088926,-1.6758070664025866,-2.023924383894253
4,38,1,-2.331004512176697,-2.1538433118296556,-2.5097611467071648
4,39,1,-2.4791023849855502,-2.299984151196431,-2.6591553164434143
4,40,1,-1.059779678991137,-0.7399377647689405,-1.4195144853762973
5,1,1,-1.5628068145672138,-1.3889305691594196,-1.7152708118826976
5,2,1,-1.2935225790376088,-1.086957219677355,-1.5004985223963554
5,3,1,-1.203742579570596,-1.0245208268786086,-1.3711307050693664
5,4,1,-1.8139897330696573,-1.6502262821300677,-1.9696294155465326
5,5,1,-1.8267654409461005,-1.6823917845318994,-2.006552817469051
5,6,1,-1.620538215028553,-1.4605124630743265,-1.8118974927040923
5,7,1,-1.1271026317478006,-0.9201680065137744,-1.3169648889872008
5,8,1,-0.3478839853763418,0.24921369506256424,-0.9821857736130057
5,9,1,-1.221508975829657,-0.9261332055895013,-1.453061125481863
5,10,1,-1.3653589922589613,-1.1341334501750007,-1.580454236123959
5,11,1,-1.7890459268545313,-1.6384632593039026,-1.937771042827013
5,12,1,-1.297080042116793,-1.0993680828732864,-1.472651786045962
5,13,1,-2.0385934443893903,-1.8911947763533619,-2.2146205654801516
5,14,1,-2.2688144874784015,-2.1077292748613043,-2.4295134932065308
5,15,1,-1.4569192555273778,-1.299272654572907,-1.624978522127183
5,16,1,-0.7016892294302987,-0.5277877509091335,-0.8492000146612527
5,17,1,-2.289574360448262,-2.1276446585405937,-2.464570159843448
5,18,1,-1.6880255783783853,-1.505379030604522,-1.9317086895704265
5,19,1,-1.718721876049389,-1.4992718870155877,-1.9736252392947693
5,20,1,-1.0864745730673293,-0.8296734340238762,-1.2951263810530618
5,21,1,-2.12758275960989,-1.9648931213901437,-2.304011650082091
5,22,1,-1.9698891734482076,-1.7994150205407442,-2.1470339226281263
5,23,1,-2.106500545459471,-1.9487783066696325,-2.268597535742513
5,24,1,-2.387672492368769,-2.2257964990490797,-2.5569247815582328
5,25,1,-0.6995254086106306,0.017613092759559162,-1.4524616742869423
5,26,1,-2.078864167400835,-1.930766455053797,-2.2300198421621973
5,27,1,-1.0730973113200417,-0.7950960404700578,-1.2742736365299374
5,28,1,0.9854111244295571,1.3261487636234124,0.610709448389502
5,29,1,-1.9476445373915854,-1.774824394776157,-2.1489031574850874
5,30,1,-2.028251414946557,-1.8708800789306659,-2.1947504086317693
5,31,1,-1.6316368720241787,-1.4614658956417073,-1.8073470929687634
5,32,1,-1.6590794010280157,-1.504458070511663,-1.8340356537073226
5,33,1,-2.39261449028465,-2.2522391600015057,-2.543351546694483
5,34,1,-1.1089872049552905,-0.16485870325903124,-1.9191863430897753
5,35,1,-2.2277570372930975,-2.0869378846647937,-2.379909474311138
5,36,1,-2.1257368506564145,-1.9390087922760737,-2.294914314048869
5,37,1,-1.8328405179251632,-1.683414345844561,-1.9826746934658506
5,38,1,-2.3289403368221424,-2.185293751234478,-2.489444208684998
5,39,1,-2.465676043258564,-2.3185625934349754,-2.6272804006329062
5,40,1,-0.815160077957867,-0.511309281821781,-1.1112397545231134
6,1,1,-1.5460630888539115,-1.360506771780148,-1.7126968080290719
6,2,1,-1.207008176542708,-0.9966761766119991,-1.4594283324933928
6,3,1,-1.172289042144531,-0.9923063897772584,-1.3554197753729713
6,4,1,-1.810242039821564,-1.6317094237643637,-1.9754745209203555
6,5,1,-1.8338036148595758,-1.6707614760452183,-2.0325936233622355
6,6,1,-1.6769696806370145,-1.501534766281991,-1.8658637467553996
6,7,1,-1.1407205827191023,-0.9399554150017281,-1.3428899210016843
6,8,1,-0.1873616147317767,0.4311507758991749,-0.9143113072238833
6,9,1,-1.1092588717810241,-0.8622254756216146,-1.3767247411019499
6,10,1,-1.264024058440448,-1.0360556817164428,-1.5245236461172966
6,11,1,-1.7697394485278053,-1.6176987730201438,-1.9359426133868944
6,12,1,-1.2370714214802274,-1.0238433820554054,-1.4347552731270494
6,13,1,-2.071108297337511,-1.9103580560176419,-2.2501620254262065
6,14,1,-2.2548495573951213,-2.0722340800480152,-2.4249935414299504
6,15,1,-1.4350270366171376,-1.2559766768067793,-1.6091336820903552
6,16,1,-0.6397653526503998,-0.4635343052146513,-0.8088280717714518
6,17,1,-2.2688776594856366,-2.0966335119896145,-2.46481143177467
6,18,1,-1.6723425936117509,-1.4685495862512221,-1.9384346245732538
6,19,1,-1.799836134426716,-1.5467604714413494,-2.054821796836786
6,20,1,-1.031588870173157,-0.7511178117088713,-1.2603215227706583
6,21,1,-2.117384015862679,-1.9461350580420405,-2.302029879293851
6,22,1,-1.952562862848069,-1.7747979755572967,-2.152096929748226
6,23,1,-2.0820882927647575,-1.9095015861107763,-2.267171253263206
6,24,1,-2.3796921448816493,-2.2190651061828883,-2.569546855449628
6,25,1,-0.8385701834667498,-0.03240292929268424,-1.6090212142817422
6,26,1,-2.0680967559590258,-1.9062093343133764,-2.2447733732675235
6,27,1,-1.0180713398401315,-0.7281337453588324,-1.2424951005001734
6,28,1,1.0697422306858257,1.4362004751825093,0.6530666366851354
6,29,1,-1.9393314417572878,-1.7633277926470978,-2.1593577765908694
6,30,1,-2.0476423183530406,-1.890689922699451,-2.226875289834484
6,31,1,-1.576869149992539,-1.3935011576607632,-1.784281946020597
6,32,1,-1.7111464127986904,-1.5413638659157203,-1.8811950345447546
6,33,1,-2.4022697051096253,-2.2523452618088453,-2.5719272389806402
6,34,1,-1.1476527308062696,-0.1393316497244004,-2.0309048962233005
6,35,1,-2.2318371862984234,-2.0812416820830086,-2.3999012709360046
6,36,1,-2.1073442965403366,-1.9150139718778278,-2.2920424782477746
